gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LU_0101,LU,LU00,LU000,0101,Dippach,4178,17.26069088,2017,LU_0101
LU_0102,LU,LU00,LU000,0102,Garnich,2099,20.92955379,2017,LU_0102
LU_0103,LU,LU00,LU000,0103,Hobscheid,3518,17.58856368,2017,LU_0103
LU_0104,LU,LU00,LU000,0104,Käerjeng,10232,33.70573377,2017,LU_0104
LU_0105,LU,LU00,LU000,0105,Kehlen,5903,28.56067113,2017,LU_0105
LU_0106,LU,LU00,LU000,0106,Koerich,2528,19.01093975,2017,LU_0106
LU_0107,LU,LU00,LU000,0107,Kopstal,3673,8.01628992,2017,LU_0107
LU_0108,LU,LU00,LU000,0108,Mamer,9185,27.80964181,2017,LU_0108
LU_0109,LU,LU00,LU000,0109,Septfontaines,812,14.99869754,2017,LU_0109
LU_0110,LU,LU00,LU000,0110,Steinfort,5081,12.16851076,2017,LU_0110
LU_0201,LU,LU00,LU000,0201,Bettembourg,10736,21.60252121,2017,LU_0201
LU_0202,LU,LU00,LU000,0202,Differdange,25402,22.13070629,2017,LU_0202
LU_0203,LU,LU00,LU000,0203,Dudelange,20480,21.28861963,2017,LU_0203
LU_0204,LU,LU00,LU000,0204,Esch-sur-Alzette,34378,14.48547107,2017,LU_0204
LU_0205,LU,LU00,LU000,0205,Frisange,4557,18.30926206,2017,LU_0205
LU_0206,LU,LU00,LU000,0206,Kayl,8982,14.8750481,2017,LU_0206
LU_0207,LU,LU00,LU000,0207,Leudelange,2596,13.68132365,2017,LU_0207
LU_0208,LU,LU00,LU000,0208,Mondercange,6708,21.4046638,2017,LU_0208
LU_0209,LU,LU00,LU000,0209,Pétange,18238,11.98491666,2017,LU_0209
LU_0210,LU,LU00,LU000,0210,Reckange-sur-Mess,2397,20.53112306,2017,LU_0210
LU_0211,LU,LU00,LU000,0211,Roeser,6125,24.0815711,2017,LU_0211
LU_0212,LU,LU00,LU000,0212,Rumelange,5573,6.80499014,2017,LU_0212
LU_0213,LU,LU00,LU000,0213,Sanem,16136,24.4640464,2017,LU_0213
LU_0214,LU,LU00,LU000,0214,Schifflange,10379,7.75896165,2017,LU_0214
LU_0301,LU,LU00,LU000,0301,Bertrange,7999,17.26162451,2017,LU_0301
LU_0302,LU,LU00,LU000,0302,Contern,3736,20.80778936,2017,LU_0302
LU_0303,LU,LU00,LU000,0303,Hesperange,15049,27.39803268,2017,LU_0303
LU_0304,LU,LU00,LU000,0304,Luxembourg,114303,51.73715417,2017,LU_0304
LU_0305,LU,LU00,LU000,0305,Niederanven,6090,41.48256127,2017,LU_0305
LU_0306,LU,LU00,LU000,0306,Sandweiler,3592,7.76499001,2017,LU_0306
LU_0307,LU,LU00,LU000,0307,Schuttrange,4028,16.16433765,2017,LU_0307
LU_0308,LU,LU00,LU000,0308,Steinsel,5311,21.8845623,2017,LU_0308
LU_0309,LU,LU00,LU000,0309,Strassen,8828,10.61307049,2017,LU_0309
LU_0310,LU,LU00,LU000,0310,Walferdange,8046,7.05876127,2017,LU_0310
LU_0311,LU,LU00,LU000,0311,Weiler-la-Tour,2387,17.11948496,2017,LU_0311
LU_0401,LU,LU00,LU000,0401,Colmar-Berg,2175,12.35533155,2017,LU_0401
LU_0402,LU,LU00,LU000,0402,Bissen,3021,20.82635254,2017,LU_0402
LU_0403,LU,LU00,LU000,0403,Boevange-sur-Attert,2375,18.86164413,2017,LU_0403
LU_0404,LU,LU00,LU000,0404,Fischbach,1195,19.54094083,2017,LU_0404
LU_0405,LU,LU00,LU000,0405,Heffingen,1317,13.27791377,2017,LU_0405
LU_0406,LU,LU00,LU000,0406,Larochette,2162,15.41560806,2017,LU_0406
LU_0407,LU,LU00,LU000,0407,Lintgen,2902,15.42186162,2017,LU_0407
LU_0408,LU,LU00,LU000,0408,Lorentzweiler,3896,17.66955922,2017,LU_0408
LU_0409,LU,LU00,LU000,0409,Mersch,9195,49.49356153,2017,LU_0409
LU_0410,LU,LU00,LU000,0410,Nommern,1393,22.68150973,2017,LU_0410
LU_0411,LU,LU00,LU000,0411,Tuntange,1720,18.84966532,2017,LU_0411
LU_0501,LU,LU00,LU000,0501,Clervaux,5069,85.65360236,2017,LU_0501
LU_0502,LU,LU00,LU000,0502,Wincrange,4227,113.80443531,2017,LU_0502
LU_0503,LU,LU00,LU000,0503,Parc Hosingen,3434,70.65077883,2017,LU_0503
LU_0504,LU,LU00,LU000,0504,Troisvierges,3141,38.11553695,2017,LU_0504
LU_0505,LU,LU00,LU000,0505,Weiswampach,1760,35.16119268,2017,LU_0505
LU_0601,LU,LU00,LU000,0601,Bettendorf,2753,23.24767204,2017,LU_0601
LU_0602,LU,LU00,LU000,0602,Bourscheid,1820,36.85965735,2017,LU_0602
LU_0603,LU,LU00,LU000,0603,Diekirch,6472,12.45446746,2017,LU_0603
LU_0604,LU,LU00,LU000,0604,Erpeldange-sur-Sûre,2392,17.91236507,2017,LU_0604
LU_0605,LU,LU00,LU000,0605,Ettelbruck,8833,15.21066726,2017,LU_0605
LU_0606,LU,LU00,LU000,0606,Feulen,2062,22.81797361,2017,LU_0606
LU_0607,LU,LU00,LU000,0607,Mertzig,2115,11.09572757,2017,LU_0607
LU_0608,LU,LU00,LU000,0608,Reisdorf,1202,14.8663231,2017,LU_0608
LU_0609,LU,LU00,LU000,0609,Schieren,2004,10.40266018,2017,LU_0609
LU_0610,LU,LU00,LU000,0610,Vallée de l'Ernz,2591,39.91757867,2017,LU_0610
LU_0701,LU,LU00,LU000,0701,Beckerich,2489,28.54797778,2017,LU_0701
LU_0702,LU,LU00,LU000,0702,Preizerdaul,1705,15.73759909,2017,LU_0702
LU_0703,LU,LU00,LU000,0703,Ell,1265,21.66028685,2017,LU_0703
LU_0704,LU,LU00,LU000,0704,Rambrouch,4284,79.4672264,2017,LU_0704
LU_0705,LU,LU00,LU000,0705,Grosbous,1026,20.35142018,2017,LU_0705
LU_0706,LU,LU00,LU000,0706,Redange-sur-Attert,2795,32.3361983,2017,LU_0706
LU_0707,LU,LU00,LU000,0707,Saeul,780,14.93897181,2017,LU_0707
LU_0708,LU,LU00,LU000,0708,Useldange,1800,23.99632181,2017,LU_0708
LU_0709,LU,LU00,LU000,0709,Vichten,1246,12.43464442,2017,LU_0709
LU_0710,LU,LU00,LU000,0710,Wahl,961,20.09108199,2017,LU_0710
LU_0801,LU,LU00,LU000,0801,Boulaide,1223,32.28333915,2017,LU_0801
LU_0802,LU,LU00,LU000,0802,Esch-sur-Sûre,2640,51.40838137,2017,LU_0802
LU_0804,LU,LU00,LU000,0804,Goesdorf,1543,29.39722693,2017,LU_0804
LU_0805,LU,LU00,LU000,0805,Kiischpelt,1168,33.77442468,2017,LU_0805
LU_0806,LU,LU00,LU000,0806,Lac de la Haute-Sûre,1860,48.70030812,2017,LU_0806
LU_0807,LU,LU00,LU000,0807,Wiltz,6730,39.50990199,2017,LU_0807
LU_0808,LU,LU00,LU000,0808,Winseler,1285,30.62063588,2017,LU_0808
LU_0901,LU,LU00,LU000,0901,Tandel,2031,41.7788095,2017,LU_0901
LU_0902,LU,LU00,LU000,0902,Putscheid,1123,27.13490525,2017,LU_0902
LU_0903,LU,LU00,LU000,0903,Vianden,2008,9.65630712,2017,LU_0903
LU_1001,LU,LU00,LU000,1001,Beaufort,2699,13.8068199,2017,LU_1001
LU_1002,LU,LU00,LU000,1002,Bech,1287,23.40451821,2017,LU_1002
LU_1003,LU,LU00,LU000,1003,Berdorf,1870,22.02928593,2017,LU_1003
LU_1004,LU,LU00,LU000,1004,Consdorf,1953,25.95680118,2017,LU_1004
LU_1005,LU,LU00,LU000,1005,Echternach,5530,20.54165878,2017,LU_1005
LU_1006,LU,LU00,LU000,1006,Mompach,1303,27.52897343,2017,LU_1006
LU_1007,LU,LU00,LU000,1007,Rosport,2293,29.50809627,2017,LU_1007
LU_1008,LU,LU00,LU000,1008,Waldbillig,1767,23.22431815,2017,LU_1008
LU_1101,LU,LU00,LU000,1101,Betzdorf,3810,26.18057225,2017,LU_1101
LU_1102,LU,LU00,LU000,1102,Biwer,1813,23.05372696,2017,LU_1102
LU_1103,LU,LU00,LU000,1103,Flaxweiler,2060,30.15445905,2017,LU_1103
LU_1104,LU,LU00,LU000,1104,Grevenmacher,4923,16.49013105,2017,LU_1104
LU_1105,LU,LU00,LU000,1105,Junglinster,7537,55.73475427,2017,LU_1105
LU_1106,LU,LU00,LU000,1106,Manternach,2068,27.85769813,2017,LU_1106
LU_1107,LU,LU00,LU000,1107,Mertert,4530,15.41838484,2017,LU_1107
