gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
NL_GM0003,NL,NL11,NL112,GM0003,Appingedam,11971,24.58520073,2017,NL_GM0003
NL_GM0005,NL,NL11,NL113,GM0005,Bedum,10479,44.98900171,2017,NL_GM0005
NL_GM0007,NL,NL11,NL111,GM0007,Bellingwedde,8919,109.98068457,2017,NL_GM0007
NL_GM0009,NL,NL11,NL113,GM0009,Ten Boer,7288,45.73290502,2017,NL_GM0009
NL_GM0010,NL,NL11,NL112,GM0010,Delfzijl,24965,136.44923462,2017,NL_GM0010
NL_GM0014,NL,NL11,NL113,GM0014,Groningen,202636,100.00395853,2017,NL_GM0014
NL_GM0015,NL,NL11,NL113,GM0015,Grootegast,12166,87.76991295,2017,NL_GM0015
NL_GM0017,NL,NL11,NL113,GM0017,Haren,19570,50.69931618,2017,NL_GM0017
NL_GM0018,NL,NL11,NL113,GM0018,Hoogezand-Sappemeer,34232,73.04426382,2017,NL_GM0018
NL_GM0022,NL,NL11,NL113,GM0022,Leek,19643,64.26098629,2017,NL_GM0022
NL_GM0024,NL,NL11,NL112,GM0024,Loppersum,9914,112.0113883,2017,NL_GM0024
NL_GM0025,NL,NL11,NL113,GM0025,Marum,10388,64.88592047,2017,NL_GM0025
NL_GM0034,NL,NL23,NL230,GM0034,Almere,200914,248.85918851,2017,NL_GM0034
NL_GM0037,NL,NL11,NL111,GM0037,Stadskanaal,32252,119.96824228,2017,NL_GM0037
NL_GM0040,NL,NL11,NL113,GM0040,Slochteren,14737,142.47296592,2017,NL_GM0040
NL_GM0047,NL,NL11,NL111,GM0047,Veendam,27527,78.7090614,2017,NL_GM0047
NL_GM0048,NL,NL11,NL111,GM0048,Vlagtwedde,15908,170.45591781,2017,NL_GM0048
NL_GM0050,NL,NL23,NL230,GM0050,Zeewolde,22457,269.06740632,2017,NL_GM0050
NL_GM0053,NL,NL11,NL113,GM0053,Winsum,13596,102.48887462,2017,NL_GM0053
NL_GM0056,NL,NL11,NL113,GM0056,Zuidhorn,18859,128.33248263,2017,NL_GM0056
NL_GM0058,NL,NL12,NL124,GM0058,Dongeradeel,23901,176.03694834,2017,NL_GM0058
NL_GM0059,NL,NL12,NL124,GM0059,Achtkarspelen,27893,103.99513681,2017,NL_GM0059
NL_GM0060,NL,NL12,NL124,GM0060,Ameland,3633,60.37125679,2017,NL_GM0060
NL_GM0063,NL,NL12,NL124,GM0063,het Bildt,10493,93.29036955,2017,NL_GM0063
NL_GM0070,NL,NL12,NL124,GM0070,Franekeradeel,20215,104.74744042,2017,NL_GM0070
NL_GM0072,NL,NL12,NL124,GM0072,Harlingen,15860,26.03290496,2017,NL_GM0072
NL_GM0074,NL,NL12,NL126,GM0074,Heerenveen,50203,198.31010944,2017,NL_GM0074
NL_GM0079,NL,NL12,NL124,GM0079,Kollumerland en Nieuwkruisland,12872,116.29535268,2017,NL_GM0079
NL_GM0080,NL,NL12,NL124,GM0080,Leeuwarden,108667,170.20775183,2017,NL_GM0080
NL_GM0081,NL,NL12,NL124,GM0081,Leeuwarderadeel,10108,41.48661977,2017,NL_GM0081
NL_GM0085,NL,NL12,NL126,GM0085,Ooststellingwerf,25540,226.1154927,2017,NL_GM0085
NL_GM0086,NL,NL12,NL126,GM0086,Opsterland,29718,227.60280872,2017,NL_GM0086
NL_GM0088,NL,NL12,NL124,GM0088,Schiermonnikoog,941,40.87100881,2017,NL_GM0088
NL_GM0090,NL,NL12,NL126,GM0090,Smallingerland,55695,126.19458009,2017,NL_GM0090
NL_GM0093,NL,NL12,NL124,GM0093,Terschelling,4859,85.837569920000007,2017,NL_GM0093
NL_GM0096,NL,NL12,NL124,GM0096,Vlieland,1085,37.36172301,2017,NL_GM0096
NL_GM0098,NL,NL12,NL126,GM0098,Weststellingwerf,25608,228.26451261,2017,NL_GM0098
NL_GM0106,NL,NL13,NL131,GM0106,Assen,67551,83.43806246,2017,NL_GM0106
NL_GM0109,NL,NL13,NL132,GM0109,Coevorden,35286,299.60145969,2017,NL_GM0109
NL_GM0114,NL,NL13,NL132,GM0114,Emmen,107490,346.19515514,2017,NL_GM0114
NL_GM0118,NL,NL13,NL133,GM0118,Hoogeveen,55311,129.20471679,2017,NL_GM0118
NL_GM0119,NL,NL13,NL133,GM0119,Meppel,33025,56.99075172,2017,NL_GM0119
NL_GM0140,NL,NL12,NL124,GM0140,Littenseradiel,10746,132.61908882,2017,NL_GM0140
NL_GM0141,NL,NL21,NL213,GM0141,Almelo,72479,69.41635716,2017,NL_GM0141
NL_GM0147,NL,NL21,NL213,GM0147,Borne,22795,26.15793409,2017,NL_GM0147
NL_GM0148,NL,NL21,NL211,GM0148,Dalfsen,28070,166.55223623,2017,NL_GM0148
NL_GM0150,NL,NL21,NL212,GM0150,Deventer,99295,134.42352281,2017,NL_GM0150
NL_GM0153,NL,NL21,NL213,GM0153,Enschede,158140,142.76612626,2017,NL_GM0153
NL_GM0158,NL,NL21,NL213,GM0158,Haaksbergen,24272,105.53169069,2017,NL_GM0158
NL_GM0160,NL,NL21,NL211,GM0160,Hardenberg,60211,317.11506468,2017,NL_GM0160
NL_GM0163,NL,NL21,NL213,GM0163,Hellendoorn,35772,138.95342614,2017,NL_GM0163
NL_GM0164,NL,NL21,NL213,GM0164,Hengelo,80802,61.76663008,2017,NL_GM0164
NL_GM0166,NL,NL21,NL211,GM0166,Kampen,52511,161.90443838,2017,NL_GM0166
NL_GM0168,NL,NL21,NL213,GM0168,Losser,22482,99.72421536,2017,NL_GM0168
NL_GM0171,NL,NL23,NL230,GM0171,Noordoostpolder,46544,595.59837463,2017,NL_GM0171
NL_GM0173,NL,NL21,NL213,GM0173,Oldenzaal,32006,21.99802452,2017,NL_GM0173
NL_GM0175,NL,NL21,NL211,GM0175,Ommen,17531,181.99172663,2017,NL_GM0175
NL_GM0177,NL,NL21,NL212,GM0177,Raalte,36907,172.34731118,2017,NL_GM0177
NL_GM0180,NL,NL21,NL211,GM0180,Staphorst,16691,135.71398157,2017,NL_GM0180
NL_GM0183,NL,NL21,NL213,GM0183,Tubbergen,21153,147.41661103,2017,NL_GM0183
NL_GM0184,NL,NL23,NL230,GM0184,Urk,20220,109.92240834,2017,NL_GM0184
NL_GM0189,NL,NL21,NL213,GM0189,Wierden,24225,95.30365712,2017,NL_GM0189
NL_GM0193,NL,NL21,NL211,GM0193,Zwolle,125548,119.29776454,2017,NL_GM0193
NL_GM0196,NL,NL22,NL226,GM0196,Rijnwaarden,10852,48.14652185,2017,NL_GM0196
NL_GM0197,NL,NL22,NL225,GM0197,Aalten,27047,97.12491147,2017,NL_GM0197
NL_GM0200,NL,NL22,NL221,GM0200,Apeldoorn,160047,341.15421562,2017,NL_GM0200
NL_GM0202,NL,NL22,NL226,GM0202,Arnhem,155699,101.53685374,2017,NL_GM0202
NL_GM0203,NL,NL22,NL221,GM0203,Barneveld,56376,176.78822631,2017,NL_GM0203
NL_GM0209,NL,NL22,NL226,GM0209,Beuningen,25424,47.11564269,2017,NL_GM0209
NL_GM0213,NL,NL22,NL225,GM0213,Brummen,20843,85.08636368,2017,NL_GM0213
NL_GM0214,NL,NL22,NL224,GM0214,Buren,26348,142.96966118,2017,NL_GM0214
NL_GM0216,NL,NL22,NL224,GM0216,Culemborg,27864,31.17096159,2017,NL_GM0216
NL_GM0221,NL,NL22,NL226,GM0221,Doesburg,11341,12.91017792,2017,NL_GM0221
NL_GM0222,NL,NL22,NL225,GM0222,Doetinchem,57068,79.66238261,2017,NL_GM0222
NL_GM0225,NL,NL22,NL226,GM0225,Druten,18563,42.44482462,2017,NL_GM0225
NL_GM0226,NL,NL22,NL226,GM0226,Duiven,25398,35.17904985,2017,NL_GM0226
