gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
RO_100004,RO,RO21,RO213,100004,Victoria,4521,61.34902303,2017,RO_100004
RO_10006,RO,RO42,RO421,10006,Birchis,1865,103.91075291,2017,RO_10006
RO_100086,RO,RO21,RO213,100086,Vânători,4681,51.718327,2017,RO_100086
RO_100148,RO,RO21,RO213,100148,Vlădeni,4410,79.31825293,2017,RO_100148
RO_100219,RO,RO21,RO213,100219,Voineşti,8159,62.88322491,2017,RO_100219
RO_100273,RO,RO21,RO213,100273,Balş,3629,31.64873799,2017,RO_100273
RO_100282,RO,RO21,RO213,100282,Costeşti,1811,26.25491825,2017,RO_100282
RO_100308,RO,RO21,RO213,100308,Draguşeni,1513,22.47785752,2017,RO_100308
RO_100317,RO,RO21,RO213,100317,Fântânele,2145,33.18223859,2017,RO_100317
RO_100326,RO,RO21,RO213,100326,Hărmăneşti,2534,27.81855629,2017,RO_100326
RO_100335,RO,RO21,RO213,100335,Rachiţeni,3418,16.50434365,2017,RO_100335
RO_100344,RO,RO21,RO213,100344,Roşcani,1580,37.89901169,2017,RO_100344
RO_100353,RO,RO21,RO213,100353,Valea Lupului,7107,10.62663799,2017,RO_100353
RO_100362,RO,RO21,RO213,100362,Ciohorani,2016,16.4704806,2017,RO_100362
RO_10051,RO,RO42,RO421,10051,Bârsa,1840,50.76834936,2017,RO_10051
RO_100521,RO,RO31,RO314,100521,Municipiul Giurgiu,68360,53.41120532,2017,RO_100521
RO_100549,RO,RO31,RO314,100549,Slobozia,2362,58.34428244,2017,RO_100549
RO_100576,RO,RO32,RO322,100576,Oraş Buftea,22276,54.81294435,2017,RO_100576
RO_100610,RO,RO31,RO312,100610,Municipiul Olteniţa,28050,100.64663246,2017,RO_100610
RO_100638,RO,RO31,RO312,100638,Mitreni,4155,52.18508487,2017,RO_100638
RO_100683,RO,RO31,RO315,100683,Municipiul Urziceni,17322,54.04614384,2017,RO_100683
RO_100709,RO,RO31,RO315,100709,Ciocârlia,778,15.50729411,2017,RO_100709
RO_100736,RO,RO31,RO315,100736,Manasia,4684,33.59405289,2017,RO_100736
RO_100754,RO,RO31,RO315,100754,Adâncata,2445,46.95461921,2017,RO_100754
RO_100781,RO,RO31,RO314,100781,Adunaţii-Copăceni,6153,77.93179748,2017,RO_100781
RO_100834,RO,RO32,RO322,100834,Afumaţi,7990,60.40683552,2017,RO_100834
RO_100852,RO,RO31,RO315,100852,Alexeni,2385,43.61031548,2017,RO_100852
RO_100870,RO,RO31,RO315,100870,Armăşeşti,2305,47.42130685,2017,RO_100870
