gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
CY_1000,CY,CY00,CY000,1000,Λευκωσία,55014,50.25372764,2015,CY_1000
CY_1010,CY,CY00,CY000,1010,Άγιος Δομέτιος,12456,12.08109316,2015,CY_1010
CY_1011,CY,CY00,CY000,1011,Έγκωμη Λευκωσίας,18010,9.49047015,2015,CY_1011
CY_1012,CY,CY00,CY000,1012,Στρόβολος,67904,25.29860144,2015,CY_1012
CY_1013,CY,CY00,CY000,1013,Αγλαντζιά ή Αγλαγγιά,20783,31.61156714,2015,CY_1013
CY_1014,CY,CY00,CY000,1014,Ορτάκιοϊ (Μιντζέλι),0,7.56384279,2015,CY_1014
CY_1015,CY,CY00,CY000,1015,Τράχωνας,0,6.21237571,2015,CY_1015
CY_1021,CY,CY00,CY000,1021,Λακατάμεια,38345,27.4379175,2015,CY_1021
CY_1022,CY,CY00,CY000,1022,Συνοικισμός Ανθούπολης,1756,0.4419272,2015,CY_1022
CY_1023,CY,CY00,CY000,1023,Λατσιά ή Λακκιά,16774,16.55660916,2015,CY_1023
CY_1024,CY,CY00,CY000,1024,Γέρι,8235,32.97320597,2015,CY_1024
CY_1100,CY,CY00,CY000,1100,Σιά,754,17.34662753,2015,CY_1100
CY_1101,CY,CY00,CY000,1101,Μαθιάτης,646,21.34473152,2015,CY_1101
CY_1102,CY,CY00,CY000,1102,Αλάμπρα,1585,16.52483682,2015,CY_1102
CY_1103,CY,CY00,CY000,1103,Αγία Βαρβάρα Λευκωσίας,2204,24.1942215,2015,CY_1103
CY_1104,CY,CY00,CY000,1104,Κοτσιάτης,160,5.05320419,2015,CY_1104
CY_1105,CY,CY00,CY000,1105,Νήσου,2179,9.57346293,2015,CY_1105
CY_1106,CY,CY00,CY000,1106,Πέρα Χωριό,2637,8.6793798,2015,CY_1106
CY_1107,CY,CY00,CY000,1107,Δάλι,10466,31.02362675,2015,CY_1107
CY_1108,CY,CY00,CY000,1108,Λύμπια,2694,23.93532337,2015,CY_1108
