gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
CZ_500011,CZ,CZ07,CZ072,500011,Želechovice nad Dřevnicí,1855,16.19828452,2018,CZ_500011
CZ_500020,CZ,CZ07,CZ071,500020,Petrov nad Desnou,1196,12.08997909,2018,CZ_500020
CZ_500046,CZ,CZ08,CZ080,500046,Libhošť,1661,8.18855156,2018,CZ_500046
CZ_500062,CZ,CZ07,CZ072,500062,Krhová,2013,8.08358253,2018,CZ_500062
CZ_500071,CZ,CZ07,CZ072,500071,Poličná,1736,11.07146228,2018,CZ_500071
CZ_500101,CZ,CZ04,CZ041,500101,Bražec,221,12.63559597,2018,CZ_500101
CZ_500127,CZ,CZ04,CZ041,500127,Doupovské Hradiště,160,20.81308387,2018,CZ_500127
CZ_500135,CZ,CZ07,CZ071,500135,Kozlov,233,45.54962746,2018,CZ_500135
CZ_500151,CZ,CZ07,CZ071,500151,Luboměř pod Strážnou,115,9.5571541,2018,CZ_500151
CZ_500160,CZ,CZ07,CZ071,500160,Město Libavá,603,29.35714283,2018,CZ_500160
CZ_500194,CZ,CZ03,CZ031,500194,Polná na Šumavě,201,19.04502497,2018,CZ_500194
CZ_500259,CZ,CZ08,CZ080,500259,Veřovice,2000,16.61747696,2018,CZ_500259
CZ_500291,CZ,CZ08,CZ080,500291,Vřesina,2932,8.6508152,2018,CZ_500291
CZ_500496,CZ,CZ07,CZ071,500496,Olomouc,100494,103.21360894,2018,CZ_500496
CZ_500526,CZ,CZ07,CZ071,500526,Bělkovice-Lašťany,2295,15.23032186,2018,CZ_500526
CZ_500623,CZ,CZ07,CZ071,500623,Bílá Lhota,1126,18.11228296,2018,CZ_500623
CZ_500801,CZ,CZ07,CZ071,500801,Blatec,647,6.61184826,2018,CZ_500801
CZ_500852,CZ,CZ07,CZ071,500852,Bohuňovice,2507,12.5128085,2018,CZ_500852
CZ_500861,CZ,CZ07,CZ071,500861,Bouzov,1525,42.28087509,2018,CZ_500861
CZ_500879,CZ,CZ07,CZ071,500879,Bystročice,818,7.96779409,2018,CZ_500879
CZ_501476,CZ,CZ07,CZ071,501476,Dlouhá Loučka,1925,26.65890442,2018,CZ_501476
CZ_501646,CZ,CZ07,CZ071,501646,Dolany,2732,23.80828815,2018,CZ_501646
CZ_501751,CZ,CZ07,CZ071,501751,Drahanovice,1687,13.48114481,2018,CZ_501751
CZ_501794,CZ,CZ07,CZ071,501794,Dub nad Moravou,1618,15.21942283,2018,CZ_501794
CZ_501841,CZ,CZ07,CZ071,501841,Grygov,1513,12.69480539,2018,CZ_501841
CZ_502146,CZ,CZ07,CZ071,502146,Hlubočky,4245,23.8556339,2018,CZ_502146
CZ_502235,CZ,CZ07,CZ071,502235,Hněvotín,1823,11.72047181,2018,CZ_502235
CZ_502405,CZ,CZ07,CZ071,502405,Hnojice,637,9.62826593,2018,CZ_502405
CZ_502545,CZ,CZ07,CZ071,502545,Horka nad Moravou,2472,12.00801557,2018,CZ_502545
CZ_502839,CZ,CZ07,CZ071,502839,Cholina,741,8.97880118,2018,CZ_502839
CZ_503142,CZ,CZ07,CZ071,503142,Jívová,586,15.1837126,2018,CZ_503142
CZ_503304,CZ,CZ07,CZ071,503304,Kožušany-Tážaly,876,6.31737453,2018,CZ_503304
CZ_503410,CZ,CZ02,CZ020,503410,Žitovlice,191,6.55105628,2018,CZ_503410
CZ_503444,CZ,CZ07,CZ071,503444,Litovel,9866,46.35626858,2018,CZ_503444
CZ_503622,CZ,CZ07,CZ071,503622,Luká,845,14.86069681,2018,CZ_503622
CZ_503657,CZ,CZ07,CZ071,503657,Lutín,3209,8.18885425,2018,CZ_503657
CZ_503738,CZ,CZ07,CZ071,503738,Majetín,1165,9.3525964,2018,CZ_503738
CZ_503916,CZ,CZ03,CZ032,503916,Kostelec,572,30.89905128,2018,CZ_503916
CZ_503941,CZ,CZ07,CZ071,503941,Libavá,0,235.23817262,2018,CZ_503941
CZ_504246,CZ,CZ07,CZ071,504246,Mladeč,743,12.22139301,2018,CZ_504246
CZ_504301,CZ,CZ05,CZ053,504301,Dřenice,403,2.55620481,2018,CZ_504301
CZ_504441,CZ,CZ07,CZ071,504441,Náklo,1511,11.37928223,2018,CZ_504441
CZ_504505,CZ,CZ07,CZ071,504505,Náměšť na Hané,2037,18.60915438,2018,CZ_504505
CZ_504785,CZ,CZ07,CZ071,504785,Paseka,1273,22.84487812,2018,CZ_504785
CZ_504807,CZ,CZ05,CZ053,504807,Lány,262,4.674139,2018,CZ_504807
CZ_504921,CZ,CZ05,CZ053,504921,Třibřichy,294,4.21042174,2018,CZ_504921
CZ_504955,CZ,CZ05,CZ053,504955,Dvakačovice,168,3.65561403,2018,CZ_504955
CZ_505005,CZ,CZ05,CZ053,505005,Bítovany,421,3.49355758,2018,CZ_505005
CZ_505013,CZ,CZ07,CZ071,505013,Příkazy,1297,14.01087642,2018,CZ_505013
CZ_505030,CZ,CZ05,CZ053,505030,Dolní Bezděkov,203,1.75266306,2018,CZ_505030
CZ_505081,CZ,CZ07,CZ071,505081,Senice na Hané,1786,19.29304531,2018,CZ_505081
CZ_505099,CZ,CZ05,CZ052,505099,Červená Hora,197,2.08330128,2018,CZ_505099
CZ_505111,CZ,CZ07,CZ071,505111,Slatinice,1589,7.84023705,2018,CZ_505111
CZ_505145,CZ,CZ05,CZ053,505145,Březová nad Svitavou,1666,12.80205863,2018,CZ_505145
CZ_505161,CZ,CZ07,CZ071,505161,Štěpánov,3495,26.88628363,2018,CZ_505161
CZ_505188,CZ,CZ07,CZ071,505188,Šternberk,13481,48.44906498,2018,CZ_505188
CZ_505218,CZ,CZ07,CZ071,505218,Šumvald,1679,21.06732211,2018,CZ_505218
CZ_505269,CZ,CZ07,CZ071,505269,Těšetice,1273,12.39504029,2018,CZ_505269
CZ_505293,CZ,CZ07,CZ071,505293,Troubelice,1893,18.82004766,2018,CZ_505293
CZ_505366,CZ,CZ07,CZ071,505366,Tršice,1652,24.94215839,2018,CZ_505366
CZ_505391,CZ,CZ05,CZ053,505391,Bělá u Jevíčka,373,9.71407823,2018,CZ_505391
CZ_505501,CZ,CZ07,CZ071,505501,Újezd,1432,18.60429512,2018,CZ_505501
CZ_505528,CZ,CZ04,CZ042,505528,Jenčice,337,6.32636936,2018,CZ_505528
CZ_505587,CZ,CZ07,CZ071,505587,Uničov,11396,48.46165372,2018,CZ_505587
CZ_505609,CZ,CZ07,CZ071,505609,Velká Bystřice,3295,9.32661801,2018,CZ_505609
CZ_505650,CZ,CZ07,CZ071,505650,Velký Týnec,2887,20.69446912,2018,CZ_505650
CZ_505668,CZ,CZ07,CZ071,505668,Velký Újezd,1346,6.88075695,2018,CZ_505668
CZ_505781,CZ,CZ02,CZ020,505781,Zápy,859,8.74244412,2018,CZ_505781
CZ_505862,CZ,CZ07,CZ071,505862,Žerotín,464,7.88059594,2018,CZ_505862
CZ_505927,CZ,CZ08,CZ080,505927,Opava,57019,90.63847719,2018,CZ_505927
CZ_506192,CZ,CZ08,CZ080,506192,Bohuslavice,1757,15.35649939,2018,CZ_506192
CZ_506214,CZ,CZ08,CZ080,506214,Bolatice,4462,13.26341532,2018,CZ_506214
CZ_506320,CZ,CZ08,CZ080,506320,Brumovice,1503,25.57632054,2018,CZ_506320
CZ_506451,CZ,CZ08,CZ080,506451,Březová,1373,39.0215943,2018,CZ_506451
CZ_506460,CZ,CZ08,CZ080,506460,Budišov nad Budišovkou,2891,79.14860381,2018,CZ_506460
CZ_506486,CZ,CZ04,CZ041,506486,Boží Dar,244,37.9146369,2018,CZ_506486
CZ_506494,CZ,CZ04,CZ041,506494,Nové Hamry,342,25.24676396,2018,CZ_506494
CZ_506621,CZ,CZ04,CZ041,506621,Čichalov,183,12.66618583,2018,CZ_506621
CZ_506664,CZ,CZ03,CZ032,506664,Skořice,259,23.81507503,2018,CZ_506664
CZ_506699,CZ,CZ06,CZ064,506699,Otmarov,349,1.24491153,2018,CZ_506699
CZ_506702,CZ,CZ08,CZ080,506702,Dolní Benešov,4053,14.82216402,2018,CZ_506702
CZ_506711,CZ,CZ08,CZ080,506711,Dolní Lhota,1477,5.34102029,2018,CZ_506711
CZ_506729,CZ,CZ06,CZ063,506729,Dvorce,198,3.58634467,2018,CZ_506729
CZ_506737,CZ,CZ07,CZ072,506737,Chvalčov,1646,22.85480274,2018,CZ_506737
CZ_506753,CZ,CZ08,CZ080,506753,Háj ve Slezsku,3259,13.85469888,2018,CZ_506753
CZ_506761,CZ,CZ07,CZ071,506761,Alojzov,248,4.605586,2018,CZ_506761
CZ_506770,CZ,CZ07,CZ071,506770,Seloutky,530,7.06330665,2018,CZ_506770
CZ_507016,CZ,CZ08,CZ080,507016,Hlučín,13996,21.13436109,2018,CZ_507016
CZ_507091,CZ,CZ08,CZ080,507091,Nýdek,2074,28.2094428,2018,CZ_507091
CZ_507105,CZ,CZ08,CZ080,507105,Hněvošice,1006,6.17698158,2018,CZ_507105
CZ_507113,CZ,CZ08,CZ080,507113,Holasovice,1358,16.41011241,2018,CZ_507113
CZ_507181,CZ,CZ08,CZ080,507181,Pržno,1051,2.96532141,2018,CZ_507181
CZ_507237,CZ,CZ08,CZ080,507237,Komorní Lhotka,1340,19.78991087,2018,CZ_507237
CZ_507261,CZ,CZ08,CZ080,507261,Hrabyně,1208,9.90994957,2018,CZ_507261
CZ_507270,CZ,CZ08,CZ080,507270,Hradec nad Moravicí,5455,43.96120641,2018,CZ_507270
CZ_507334,CZ,CZ08,CZ080,507334,Chuchelná,1277,7.71475846,2018,CZ_507334
CZ_507377,CZ,CZ08,CZ080,507377,Jakartovice,1016,49.91917966,2018,CZ_507377
CZ_507423,CZ,CZ08,CZ080,507423,Janovice,1873,13.1893148,2018,CZ_507423
CZ_507458,CZ,CZ08,CZ080,507458,Košařiska,381,17.10026571,2018,CZ_507458
CZ_507504,CZ,CZ08,CZ080,507504,Kobeřice,3303,17.03910582,2018,CZ_507504
CZ_507547,CZ,CZ08,CZ080,507547,Milíkov,1347,9.19113349,2018,CZ_507547
CZ_507580,CZ,CZ08,CZ080,507580,Kravaře,6668,19.2923,2018,CZ_507580
CZ_507610,CZ,CZ03,CZ031,507610,Doňov,78,5.07287818,2018,CZ_507610
CZ_507628,CZ,CZ03,CZ031,507628,Pleše,190,9.80327934,2018,CZ_507628
CZ_507644,CZ,CZ03,CZ031,507644,Újezdec,64,4.26222131,2018,CZ_507644
CZ_507652,CZ,CZ03,CZ031,507652,Višňová,81,5.78180255,2018,CZ_507652
CZ_507695,CZ,CZ03,CZ031,507695,Záhoří,115,3.64027381,2018,CZ_507695
CZ_507717,CZ,CZ03,CZ031,507717,Peč,470,18.16554121,2018,CZ_507717
CZ_507733,CZ,CZ03,CZ031,507733,Březina,124,9.49442383,2018,CZ_507733
CZ_507784,CZ,CZ03,CZ031,507784,Ratiboř,186,11.69051747,2018,CZ_507784
CZ_507920,CZ,CZ08,CZ080,507920,Litultovice,925,10.40169973,2018,CZ_507920
CZ_507971,CZ,CZ08,CZ080,507971,Ludgeřovice,4882,10.82613093,2018,CZ_507971
CZ_508004,CZ,CZ03,CZ031,508004,Roseč,232,5.47670301,2018,CZ_508004
CZ_508128,CZ,CZ08,CZ080,508128,Markvartovice,1995,6.72645389,2018,CZ_508128
CZ_508144,CZ,CZ08,CZ080,508144,Melč,629,14.03125373,2018,CZ_508144
CZ_508152,CZ,CZ03,CZ031,508152,Střížovice,580,12.40082933,2018,CZ_508152
CZ_508357,CZ,CZ03,CZ031,508357,Kostelní Vydří,158,6.42208059,2018,CZ_508357
CZ_508373,CZ,CZ08,CZ080,508373,Mokré Lazce,1143,10.5377162,2018,CZ_508373
CZ_508501,CZ,CZ03,CZ031,508501,Lužnice,410,12.07130447,2018,CZ_508501
CZ_508683,CZ,CZ03,CZ031,508683,Záblatí,79,10.25746052,2018,CZ_508683
CZ_509078,CZ,CZ03,CZ031,509078,Plavsko,448,10.87824143,2018,CZ_509078
CZ_509108,CZ,CZ03,CZ031,509108,Kostelní Radouň,288,5.94017978,2018,CZ_509108
CZ_509116,CZ,CZ03,CZ031,509116,Červený Hrádek,209,6.71496785,2018,CZ_509116
CZ_509141,CZ,CZ03,CZ031,509141,Dvory nad Lužnicí,336,15.67376127,2018,CZ_509141
CZ_509191,CZ,CZ03,CZ031,509191,Cep,196,35.4874809,2018,CZ_509191
CZ_509388,CZ,CZ06,CZ063,509388,Arneštovice,84,5.46415387,2018,CZ_509388
CZ_509418,CZ,CZ06,CZ063,509418,Bořetín,106,4.81367216,2018,CZ_509418
CZ_509574,CZ,CZ08,CZ080,509574,Oldřišov,1367,15.79818896,2018,CZ_509574
CZ_509612,CZ,CZ08,CZ080,509612,Otice,1407,7.1169421,2018,CZ_509612
CZ_509621,CZ,CZ03,CZ031,509621,Předotice,552,21.49083475,2018,CZ_509621
CZ_509647,CZ,CZ08,CZ080,509647,Píšť,2128,15.66054148,2018,CZ_509647
CZ_509736,CZ,CZ08,CZ080,509736,Pustá Polom,1376,16.65305414,2018,CZ_509736
CZ_509752,CZ,CZ03,CZ031,509752,Křižanov,103,3.37869637,2018,CZ_509752
CZ_509841,CZ,CZ08,CZ080,509841,Raduň,1105,8.0021369,2018,CZ_509841
CZ_510068,CZ,CZ03,CZ031,510068,Čečelovice,191,6.53759635,2018,CZ_510068
CZ_510131,CZ,CZ08,CZ080,510131,Skřipov,1042,20.20893483,2018,CZ_510131
CZ_510289,CZ,CZ08,CZ080,510289,Slavkov,2013,10.97581236,2018,CZ_510289
CZ_510297,CZ,CZ08,CZ080,510297,Služovice,790,5.95489296,2018,CZ_510297
CZ_510343,CZ,CZ08,CZ080,510343,Stěbořice,1452,17.70415456,2018,CZ_510343
CZ_510378,CZ,CZ08,CZ080,510378,Sudice,627,9.43668039,2018,CZ_510378
CZ_510432,CZ,CZ08,CZ080,510432,Šilheřovice,1584,21.61169038,2018,CZ_510432
CZ_510483,CZ,CZ08,CZ080,510483,Štěpánkovice,3236,12.5291141,2018,CZ_510483
CZ_510491,CZ,CZ08,CZ080,510491,Štítina,1253,3.079355,2018,CZ_510491
CZ_510556,CZ,CZ06,CZ063,510556,Láz,284,4.66938845,2018,CZ_510556
CZ_510645,CZ,CZ06,CZ063,510645,Kojatín,87,4.50577175,2018,CZ_510645
CZ_510882,CZ,CZ08,CZ080,510882,Velká Polom,2067,11.69895663,2018,CZ_510882
CZ_510891,CZ,CZ08,CZ080,510891,Velké Heraltice,1611,39.36763098,2018,CZ_510891
CZ_510939,CZ,CZ08,CZ080,510939,Velké Hoštice,1831,9.96052035,2018,CZ_510939
CZ_510980,CZ,CZ06,CZ063,510980,Ocmanice,329,7.03432331,2018,CZ_510980
CZ_511021,CZ,CZ08,CZ080,511021,Vítkov,5753,54.81232796,2018,CZ_511021
CZ_511081,CZ,CZ06,CZ063,511081,Sedlec,232,9.39416952,2018,CZ_511081
CZ_511161,CZ,CZ08,CZ080,511161,Vršovice,511,7.96419432,2018,CZ_511161
CZ_511242,CZ,CZ06,CZ063,511242,Vícenice u Náměště nad Oslavou,390,5.96477735,2018,CZ_511242
CZ_511307,CZ,CZ06,CZ063,511307,Rácovice,109,7.27613639,2018,CZ_511307
CZ_511382,CZ,CZ07,CZ071,511382,Přerov,43565,58.55928759,2018,CZ_511382
CZ_511412,CZ,CZ06,CZ063,511412,Oslavička,118,4.23729238,2018,CZ_511412
CZ_511587,CZ,CZ04,CZ041,511587,Josefov,367,8.41188771,2018,CZ_511587
CZ_511633,CZ,CZ08,CZ080,511633,Bocanovice,447,3.74318524,2018,CZ_511633
CZ_511935,CZ,CZ08,CZ080,511935,Bukovec,1388,16.98477675,2018,CZ_511935
CZ_511951,CZ,CZ08,CZ080,511951,Dolní Lomná,906,27.04726295,2018,CZ_511951
CZ_511986,CZ,CZ08,CZ080,511986,Horní Lomná,378,24.77339199,2018,CZ_511986
