gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
FI_005,FI,FI19,FI194,005,Alajärvi,9899,1056.57355023,2018,FI_005
FI_009,FI,FI1D,FI1D9,009,Alavieska,2639,254.16438905,2018,FI_009
FI_010,FI,FI19,FI194,010,Alavus,11907,1151.97672376,2018,FI_010
FI_016,FI,FI1C,FI1C3,016,Asikkala,8323,755.1899077,2018,FI_016
FI_018,FI,FI1B,FI1B1,018,Askola,5046,218.11008827,2018,FI_018
FI_019,FI,FI1C,FI1C1,019,Aura,3984,95.49901144,2018,FI_019
FI_020,FI,FI19,FI197,020,Akaa,16923,314.20956473,2018,FI_020
FI_035,FI,FI20,FI200,035,Brändö,471,69.65780926,2018,FI_035
FI_043,FI,FI20,FI200,043,Eckerö,928,104.94317376,2018,FI_043
FI_046,FI,FI1D,FI1D1,046,Enonkoski,1453,419.29997966,2018,FI_046
FI_047,FI,FI1D,FI1D7,047,Enontekiö,1872,8391.27120328,2018,FI_047
FI_049,FI,FI1B,FI1B1,049,Espoo,274583,324.26504383,2018,FI_049
FI_050,FI,FI19,FI196,050,Eura,12004,630.442101,2018,FI_050
FI_051,FI,FI19,FI196,051,Eurajoki,9418,512.34447717,2018,FI_051
FI_052,FI,FI19,FI194,052,Evijärvi,2535,388.69970574,2018,FI_052
FI_060,FI,FI20,FI200,060,Finström,2594,128.18544364,2018,FI_060
FI_061,FI,FI1C,FI1C2,061,Forssa,17332,253.34583945,2018,FI_061
FI_062,FI,FI20,FI200,062,Föglö,561,107.04122106,2018,FI_062
FI_065,FI,FI20,FI200,065,Geta,499,84.13546733,2018,FI_065
FI_069,FI,FI1D,FI1D9,069,Haapajärvi,7332,789.86544069,2018,FI_069
FI_071,FI,FI1D,FI1D9,071,Haapavesi,7098,1085.4010534,2018,FI_071
FI_072,FI,FI1D,FI1D9,072,Hailuoto,994,201.65464122,2018,FI_072
FI_074,FI,FI1D,FI1D5,074,Halsua,1219,428.68238812,2018,FI_074
FI_075,FI,FI1C,FI1C4,075,Hamina,20636,624.41924467,2018,FI_075
FI_076,FI,FI20,FI200,076,Hammarland,1508,132.51651856,2018,FI_076
FI_077,FI,FI19,FI193,077,Hankasalmi,5159,687.55889804,2018,FI_077
FI_078,FI,FI1B,FI1B1,078,Hanko,8663,108.90655382999999,2018,FI_078
FI_079,FI,FI19,FI196,079,Harjavalta,7240,127.74683107,2018,FI_079
FI_081,FI,FI1C,FI1C3,081,Hartola,2924,675.50143334,2018,FI_081
FI_082,FI,FI1C,FI1C2,082,Hattula,9682,425.68484047,2018,FI_082
FI_086,FI,FI1C,FI1C2,086,Hausjärvi,8641,398.73683809,2018,FI_086
FI_090,FI,FI1D,FI1D1,090,Heinävesi,3514,1318.99571772,2018,FI_090
FI_091,FI,FI1B,FI1B1,091,Helsinki,635181,208.41141039,2018,FI_091
FI_092,FI,FI1B,FI1B1,092,Vantaa,219341,240.40281959,2018,FI_092
FI_097,FI,FI1D,FI1D1,097,Hirvensalmi,2274,746.66655976,2018,FI_097
