gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
HR_00019,HR,HR04,HR04C,00019,ANDRIJAŠEVCI,4075,39.61994361,2018,HR_00019
HR_00027,HR,HR04,HR04B,00027,ANTUNOVAC,3703,56.73944139,2018,HR_00027
HR_00035,HR,HR04,HR04C,00035,BABINA GREDA,3572,79.46410239,2018,HR_00035
HR_00043,HR,HR03,HR031,00043,BAKAR,8279,125.43823482,2018,HR_00043
HR_00051,HR,HR03,HR036,00051,BALE - VALLE,1127,82.01719498,2018,HR_00051
HR_00060,HR,HR03,HR036,00060,BARBAN,2721,90.40928281,2018,HR_00060
HR_00078,HR,HR04,HR04D,00078,BARILOVIĆ,2990,175.62305218,2018,HR_00078
HR_00086,HR,HR03,HR031,00086,BAŠKA,1674,98.91160972,2018,HR_00086
HR_00094,HR,HR03,HR035,00094,BAŠKA VODA,2775,25.66424259,2018,HR_00094
HR_00108,HR,HR04,HR04A,00108,BEBRINA,3252,101.16175142,2018,HR_00108
HR_00116,HR,HR04,HR043,00116,BEDEKOVČINA,8041,51.43401847,2018,HR_00116
HR_00124,HR,HR04,HR044,00124,BEDNJA,3992,76.15746513,2018,HR_00124
HR_00132,HR,HR04,HR04B,00132,BELI MANASTIR,10068,62.31365202,2018,HR_00132
HR_00159,HR,HR04,HR046,00159,BELICA,3176,27.70930261,2018,HR_00159
HR_00167,HR,HR04,HR04B,00167,BELIŠĆE,10825,70.14615351,2018,HR_00167
HR_00175,HR,HR03,HR033,00175,BENKOVAC,11026,514.48504945,2018,HR_00175
HR_00183,HR,HR04,HR047,00183,BEREK,1443,110.97697,2018,HR_00183
HR_00191,HR,HR04,HR044,00191,BERETINEC,2176,12.34316771,2018,HR_00191
HR_00205,HR,HR03,HR033,00205,BIBINJE,3985,13.03493488,2018,HR_00205
HR_00213,HR,HR04,HR04B,00213,BILJE,5642,242.08872204,2018,HR_00213
HR_00221,HR,HR03,HR033,00221,BIOGRAD NA MORU,5569,37.14984956,2018,HR_00221
HR_00230,HR,HR04,HR04B,00230,BIZOVAC,4507,100.55404585,2018,HR_00230
HR_00248,HR,HR04,HR047,00248,BJELOVAR,40276,187.88187519,2018,HR_00248
HR_00256,HR,HR03,HR037,00256,BLATO,3593,66.36271389,2018,HR_00256
HR_00264,HR,HR04,HR04C,00264,BOGDANOVCI,1960,51.58544174,2018,HR_00264
HR_00272,HR,HR03,HR035,00272,BOL,1630,23.33087446,2018,HR_00272
HR_00299,HR,HR04,HR04C,00299,BOROVO,5056,28.18432699,2018,HR_00299
HR_00302,HR,HR04,HR04D,00302,BOSILJEVO,1284,111.41132217,2018,HR_00302
HR_00329,HR,HR04,HR04C,00329,BOŠNJACI,3901,94.94854141,2018,HR_00329
HR_00337,HR,HR04,HR042,00337,BRCKOVLJANI,6837,69.84659772,2018,HR_00337
HR_00345,HR,HR04,HR042,00345,BRDOVEC,11134,36.89951699,2018,HR_00345
HR_00353,HR,HR04,HR049,00353,BRESTOVAC,3726,279.50294196,2018,HR_00353
HR_00361,HR,HR04,HR044,00361,BREZNICA,2200,33.52226794,2018,HR_00361
HR_00370,HR,HR03,HR032,00370,BRINJE,3256,328.63230791,2018,HR_00370
HR_00388,HR,HR03,HR031,00388,BROD MORAVICE,866,61.91122434,2018,HR_00388
HR_00396,HR,HR04,HR04A,00396,BRODSKI STUPNIK,3036,57.88326892,2018,HR_00396
HR_00400,HR,HR03,HR036,00400,BRTONIGLA - VERTENEGLIO,1626,32.89375651,2018,HR_00400
HR_00418,HR,HR04,HR043,00418,BUDINŠČINA,2503,55.04546148,2018,HR_00418
HR_00426,HR,HR03,HR036,00426,BUJE - BUIE,5182,97.70535258,2018,HR_00426
HR_00434,HR,HR03,HR036,00434,BUZET,6133,168.92886262,2018,HR_00434
HR_00442,HR,HR04,HR04C,00442,CERNA,4595,69.50219186,2018,HR_00442
HR_00469,HR,HR04,HR04A,00469,CERNIK,3640,127.89506541,2018,HR_00469
HR_00477,HR,HR03,HR036,00477,CEROVLJE,1677,105.57574502,2018,HR_00477
HR_00485,HR,HR04,HR044,00485,CESTICA,5806,46.09560549,2018,HR_00485
HR_00493,HR,HR04,HR04D,00493,CETINGRAD,2027,136.84103165,2018,HR_00493
HR_00507,HR,HR03,HR035,00507,CISTA PROVO,2335,108.10955707,2018,HR_00507
HR_00515,HR,HR03,HR034,00515,CIVLJANE,239,82.91676716,2018,HR_00515
HR_00523,HR,HR03,HR031,00523,CRES,2879,291.31084575,2018,HR_00523
HR_00531,HR,HR03,HR031,00531,CRIKVENICA,11122,28.50046504,2018,HR_00531
HR_00540,HR,HR04,HR048,00540,CRNAC,1456,79.40045031,2018,HR_00540
HR_00558,HR,HR03,HR031,00558,ČABAR,3770,278.8396649,2018,HR_00558
HR_00566,HR,HR04,HR048,00566,ČAČINCI,2802,144.87429537,2018,HR_00566
HR_00574,HR,HR04,HR048,00574,ČAĐAVICA,2009,91.22735217,2018,HR_00574
HR_00582,HR,HR04,HR049,00582,ČAGLIN,2723,178.17487206,2018,HR_00582
HR_00604,HR,HR04,HR046,00604,ČAKOVEC,27104,76.96111907,2018,HR_00604
HR_00612,HR,HR03,HR031,00612,ČAVLE,7220,84.66952078,2018,HR_00612
HR_00639,HR,HR04,HR047,00639,ČAZMA,8077,239.96886081,2018,HR_00639
HR_00647,HR,HR04,HR04B,00647,ČEMINAC,2909,61.40415685,2018,HR_00647
HR_00655,HR,HR04,HR04B,00655,ČEPIN,11599,120.63457719,2018,HR_00655
HR_00663,HR,HR04,HR04B,00663,DARDA,6908,94.08267246,2018,HR_00663
HR_00671,HR,HR04,HR047,00671,DARUVAR,11633,64.68562344,2018,HR_00671
HR_00680,HR,HR04,HR04A,00680,DAVOR,3015,42.70831913,2018,HR_00680
HR_00698,HR,HR03,HR031,00698,DELNICE,5952,230.8706562,2018,HR_00698
HR_00701,HR,HR04,HR043,00701,DESINIĆ,2933,44.97493715,2018,HR_00701
HR_00710,HR,HR04,HR047,00710,DEŽANOVAC,2715,102.67518777,2018,HR_00710
HR_00728,HR,HR03,HR035,00728,DICMO,2802,69.06918652,2018,HR_00728
HR_00744,HR,HR03,HR031,00744,DOBRINJ,2078,55.07354208,2018,HR_00744
HR_00752,HR,HR04,HR046,00752,DOMAŠINEC,2251,35.37186515,2018,HR_00752
HR_00779,HR,HR03,HR035,00779,BRELA,1703,26.8034456,2018,HR_00779
HR_00787,HR,HR04,HR046,00787,DONJA DUBRAVA,1920,19.01480413,2018,HR_00787
HR_00795,HR,HR04,HR043,00795,DONJA STUBICA,5680,43.55147364,2018,HR_00795
HR_00809,HR,HR04,HR044,00809,DONJA VOĆA,2443,35.98492218,2018,HR_00809
HR_00817,HR,HR04,HR04A,00817,DONJI ANDRIJEVCI,3709,56.9737378,2018,HR_00817
HR_00825,HR,HR04,HR046,00825,DONJI KRALJEVEC,4659,36.29405384,2018,HR_00825
HR_00833,HR,HR04,HR04E,00833,DONJI KUKURUZARI,1634,113.92142762,2018,HR_00833
HR_00841,HR,HR03,HR032,00841,DONJI LAPAC,2113,350.78198729,2018,HR_00841
HR_00850,HR,HR04,HR044,00850,MARTIJANEC,3843,49.05522194,2018,HR_00850
HR_00868,HR,HR04,HR04B,00868,DONJI MIHOLJAC,9491,134.38476679,2018,HR_00868
HR_00876,HR,HR03,HR035,00876,MUĆ,3882,222.57427518,2018,HR_00876
HR_00884,HR,HR03,HR035,00884,PROLOŽAC,3802,54.71242952,2018,HR_00884
HR_00892,HR,HR04,HR046,00892,DONJI VIDOVEC,1399,13.81131866,2018,HR_00892
HR_00906,HR,HR04,HR04D,00906,DRAGANIĆ,2741,72.56217123,2018,HR_00906
HR_00914,HR,HR04,HR04B,00914,DRAŽ,2767,119.58113291,2018,HR_00914
HR_00922,HR,HR04,HR04C,00922,DRENOVCI,5174,200.17182353,2018,HR_00922
HR_00949,HR,HR04,HR04B,00949,DRENJE,2700,106.37608282,2018,HR_00949
HR_00957,HR,HR03,HR034,00957,DRNIŠ,7498,351.81059377,2018,HR_00957
HR_00965,HR,HR04,HR045,00965,DRNJE,1863,29.58298252,2018,HR_00965
HR_00973,HR,HR04,HR042,00973,DUBRAVA,5245,115.67812446,2018,HR_00973
HR_00981,HR,HR03,HR037,00981,DUBROVNIK,42615,142.50515573,2018,HR_00981
HR_00990,HR,HR04,HR04D,00990,DUGA RESA,11180,60.92228258,2018,HR_00990
HR_01007,HR,HR03,HR035,01007,DUGI RAT,7092,11.00133445,2018,HR_01007
HR_01015,HR,HR04,HR042,01015,DUGO SELO,17466,54.2911491,2018,HR_01015
HR_01023,HR,HR04,HR04E,01023,DVOR,5570,505.75292886,2018,HR_01023
HR_01031,HR,HR04,HR04B,01031,ĐAKOVO,27745,168.88769356,2018,HR_01031
HR_01040,HR,HR04,HR045,01040,ĐELEKOVEC,1533,26.22848915,2018,HR_01040
HR_01058,HR,HR04,HR047,01058,ĐULOVAC,3245,186.95828388,2018,HR_01058
HR_01066,HR,HR04,HR04B,01066,ĐURĐENOVAC,6750,116.35175713,2018,HR_01066
HR_01074,HR,HR04,HR045,01074,ĐURĐEVAC,8264,157.78984019,2018,HR_01074
HR_01082,HR,HR04,HR043,01082,ĐURMANEC,4235,57.76487681,2018,HR_01082
HR_01104,HR,HR04,HR04B,01104,ERDUT,7308,154.95677342,2018,HR_01104
HR_01112,HR,HR04,HR04B,01112,ERNESTINOVO,2189,32.00571289,2018,HR_01112
HR_01139,HR,HR03,HR034,01139,ERVENIK,1105,212.84953682,2018,HR_01139
HR_01147,HR,HR04,HR042,01147,FARKAŠEVAC,1937,73.79196482,2018,HR_01147
HR_01155,HR,HR04,HR045,01155,FERDINANDOVAC,1750,49.61869079,2018,HR_01155
HR_01163,HR,HR04,HR04B,01163,FERIČANCI,2134,45.78376207,2018,HR_01163
HR_01171,HR,HR03,HR031,01171,FUŽINE,1592,85.78433028,2018,HR_01171
HR_01180,HR,HR04,HR04A,01180,GARČIN,4806,88.27854371,2018,HR_01180
HR_01198,HR,HR04,HR047,01198,GAREŠNICA,10472,226.38675264,2018,HR_01198
HR_01201,HR,HR04,HR04D,01201,GENERALSKI STOL,2642,99.99165971,2018,HR_01201
HR_01210,HR,HR04,HR04E,01210,GLINA,9283,544.28778154,2018,HR_01210
HR_01228,HR,HR04,HR045,01228,GOLA,2431,76.19426336,2018,HR_01228
HR_01236,HR,HR04,HR046,01236,GORIČAN,2823,21.53447786,2018,HR_01236
HR_01244,HR,HR04,HR04B,01244,GORJANI,1591,50.90120761,2018,HR_01244
HR_01252,HR,HR04,HR043,01252,GORNJA STUBICA,5284,48.67573912,2018,HR_01252
HR_01279,HR,HR04,HR04A,01279,GORNJI BOGIĆEVCI,1975,41.85544407,2018,HR_01279
HR_01295,HR,HR04,HR044,01295,GORNJI KNEGINEC,5349,22.21263142,2018,HR_01295
HR_01309,HR,HR03,HR032,01309,GOSPIĆ,12745,967.4456912,2018,HR_01309
HR_01317,HR,HR03,HR033,01317,GRAČAC,4690,958.37425854,2018,HR_01317
HR_01325,HR,HR03,HR036,01325,GRAČIŠĆE,1419,60.02335241,2018,HR_01325
HR_01333,HR,HR04,HR041,01333,GRAD ZAGREB,790017,641.37191483,2018,HR_01333
HR_01341,HR,HR03,HR035,01341,GRADAC,3261,72.11222435,2018,HR_01341
HR_01350,HR,HR04,HR042,01350,GRADEC,3681,89.00270351,2018,HR_01350
HR_01368,HR,HR04,HR048,01368,GRADINA,3850,120.33024113,2018,HR_01368
HR_01376,HR,HR04,HR04C,01376,GRADIŠTE,2773,57.59818723,2018,HR_01376
HR_01384,HR,HR03,HR036,01384,GROŽNJAN - GRISIGNANA,736,66.99768503,2018,HR_01384
HR_01392,HR,HR04,HR047,01392,GRUBIŠNO POLJE,6478,265.24415697,2018,HR_01392
