gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SE_0114,SE,SE11,SE110,0114,Upplands Väsby,44605,83.96948148,2018,SE_0114
SE_0115,SE,SE11,SE110,0115,Vallentuna,33175,370.81626009,2018,SE_0115
SE_0117,SE,SE11,SE110,0117,Österåker,44130,318.60541391,2018,SE_0117
SE_0120,SE,SE11,SE110,0120,Värmdö,43444,427.40934579,2018,SE_0120
SE_0123,SE,SE11,SE110,0123,Järfälla,76453,63.38871306,2018,SE_0123
SE_0125,SE,SE11,SE110,0125,Ekerö,27753,385.29319663,2018,SE_0125
SE_0126,SE,SE11,SE110,0126,Huddinge,110003,140.41155876,2018,SE_0126
SE_0127,SE,SE11,SE110,0127,Botkyrka,91925,210.32031223,2018,SE_0127
SE_0128,SE,SE11,SE110,0128,Salem,16665,72.03588202,2018,SE_0128
SE_0136,SE,SE11,SE110,0136,Haninge,88037,449.17218429,2018,SE_0136
SE_0138,SE,SE11,SE110,0138,Tyresö,47304,72.62276258,2018,SE_0138
SE_0139,SE,SE11,SE110,0139,Upplands-Bro,27614,326.45649667,2018,SE_0139
SE_0140,SE,SE11,SE110,0140,Nykvarn,10660,177.48384787,2018,SE_0140
SE_0160,SE,SE11,SE110,0160,Täby,70405,66.68733981,2018,SE_0160
SE_0162,SE,SE11,SE110,0162,Danderyd,32888,26.70320616,2018,SE_0162
SE_0163,SE,SE11,SE110,0163,Sollentuna,71848,57.94700441,2018,SE_0163
SE_0180,SE,SE11,SE110,0180,Stockholm,949761,209.97542233,2018,SE_0180
SE_0181,SE,SE11,SE110,0181,Södertälje,96032,609.47622101,2018,SE_0181
SE_0182,SE,SE11,SE110,0182,Nacka,101231,100.30529172,2018,SE_0182
SE_0183,SE,SE11,SE110,0183,Sundbyberg,49424,7.64294359,2018,SE_0183
SE_0184,SE,SE11,SE110,0184,Solna,79707,20.97233164,2018,SE_0184
SE_0186,SE,SE11,SE110,0186,Lidingö,47185,31.79891321,2018,SE_0186
SE_0187,SE,SE11,SE110,0187,Vaxholm,11831,58.39530328,2018,SE_0187
SE_0188,SE,SE11,SE110,0188,Norrtälje,60808,2093.44835162,2018,SE_0188
SE_0191,SE,SE11,SE110,0191,Sigtuna,47146,350.40436687,2018,SE_0191
SE_0192,SE,SE11,SE110,0192,Nynäshamn,28109,359.79926638,2018,SE_0192
SE_0305,SE,SE12,SE121,0305,Håbo,21083,190.09494601,2018,SE_0305
SE_0319,SE,SE12,SE121,0319,Älvkarleby,9402,231.8324487,2018,SE_0319
SE_0330,SE,SE12,SE121,0330,Knivsta,18064,297.68231717,2018,SE_0330
SE_0331,SE,SE12,SE121,0331,Heby,13854,1231.38455367,2018,SE_0331
SE_0360,SE,SE12,SE121,0360,Tierp,20930,1605.30899163,2018,SE_0360
SE_0380,SE,SE12,SE121,0380,Uppsala,219914,2248.04811372,2018,SE_0380
SE_0381,SE,SE12,SE121,0381,Enköping,43797,1329.47695291,2018,SE_0381
SE_0382,SE,SE12,SE121,0382,Östhammar,21927,1488.49864175,2018,SE_0382
SE_0428,SE,SE12,SE122,0428,Vingåker,9180,443.22564351,2018,SE_0428
SE_0461,SE,SE12,SE122,0461,Gnesta,11019,539.83297581,2018,SE_0461
SE_0480,SE,SE12,SE122,0480,Nyköping,55467,1553.08623172,2018,SE_0480
SE_0481,SE,SE12,SE122,0481,Oxelösund,12008,32.85342394,2018,SE_0481
SE_0482,SE,SE12,SE122,0482,Flen,16864,830.67086969,2018,SE_0482
SE_0483,SE,SE12,SE122,0483,Katrineholm,34133,1196.02031974,2018,SE_0483
SE_0484,SE,SE12,SE122,0484,Eskilstuna,104709,1258.92655311,2018,SE_0484
SE_0486,SE,SE12,SE122,0486,Strängnäs,35045,982.37272328,2018,SE_0486
SE_0488,SE,SE12,SE122,0488,Trosa,12916,212.66017167,2018,SE_0488
SE_0509,SE,SE12,SE123,0509,Ödeshög,5343,672.91389204,2018,SE_0509
SE_0512,SE,SE12,SE123,0512,Ydre,3733,782.03894909,2018,SE_0512
SE_0513,SE,SE12,SE123,0513,Kinda,9882,1308.66397744,2018,SE_0513
SE_0560,SE,SE12,SE123,0560,Boxholm,5453,607.6141475,2018,SE_0560
SE_0561,SE,SE12,SE123,0561,Åtvidaberg,11631,786.02857543,2018,SE_0561
SE_0562,SE,SE12,SE123,0562,Finspång,21577,1221.47344979,2018,SE_0562
SE_0563,SE,SE12,SE123,0563,Valdemarsvik,7920,769.49023153,2018,SE_0563
SE_0580,SE,SE12,SE123,0580,Linköping,158520,1578.17043711,2018,SE_0580
SE_0581,SE,SE12,SE123,0581,Norrköping,140927,1603.96950721,2018,SE_0581
SE_0582,SE,SE12,SE123,0582,Söderköping,14521,681.52610984,2018,SE_0582
SE_0583,SE,SE12,SE123,0583,Motala,43549,1275.00991206,2018,SE_0583
SE_0584,SE,SE12,SE123,0584,Vadstena,7421,414.16261929,2018,SE_0584
SE_0586,SE,SE12,SE123,0586,Mjölby,27019,558.84853476,2018,SE_0586
SE_0604,SE,SE21,SE211,0604,Aneby,6776,556.84804175,2018,SE_0604
SE_0617,SE,SE21,SE211,0617,Gnosjö,9733,451.96298401,2018,SE_0617
SE_0642,SE,SE21,SE211,0642,Mullsjö,7328,212.08550125,2018,SE_0642
SE_0643,SE,SE21,SE211,0643,Habo,11845,462.13839964,2018,SE_0643
SE_0662,SE,SE21,SE211,0662,Gislaved,29629,1223.83417028,2018,SE_0662
SE_0665,SE,SE21,SE211,0665,Vaggeryd,13840,860.06287238,2018,SE_0665
SE_0680,SE,SE21,SE211,0680,Jönköping,137481,1937.39461151,2018,SE_0680
SE_0682,SE,SE21,SE211,0682,Nässjö,31178,994.23699458,2018,SE_0682
SE_0683,SE,SE21,SE211,0683,Värnamo,34206,1390.10666645,2018,SE_0683
SE_0684,SE,SE21,SE211,0684,Sävsjö,11496,733.24538576,2018,SE_0684
SE_0685,SE,SE21,SE211,0685,Vetlanda,27415,1606.84738543,2018,SE_0685
SE_0686,SE,SE21,SE211,0686,Eksjö,17416,877.46272657,2018,SE_0686
SE_0687,SE,SE21,SE211,0687,Tranås,18894,440.41346084,2018,SE_0687
SE_0760,SE,SE21,SE212,0760,Uppvidinge,9561,1233.4985084100001,2018,SE_0760
SE_0761,SE,SE21,SE212,0761,Lessebo,8806,458.09389551,2018,SE_0761
SE_0763,SE,SE21,SE212,0763,Tingsryd,12451,1212.48875157,2018,SE_0763
SE_0764,SE,SE21,SE212,0764,Alvesta,20026,1080.36369809,2018,SE_0764
SE_0765,SE,SE21,SE212,0765,Älmhult,17148,981.02453482,2018,SE_0765
SE_0767,SE,SE21,SE212,0767,Markaryd,10170,535.83852594,2018,SE_0767
SE_0780,SE,SE21,SE212,0780,Växjö,91060,1923.03882979,2018,SE_0780
SE_0781,SE,SE21,SE212,0781,Ljungby,28297,2002.33409563,2018,SE_0781
SE_0821,SE,SE21,SE213,0821,Högsby,6087,803.97858976,2018,SE_0821
