gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SK_500011,SK,SK02,SK023,500011,Nitra,77048,100.44211286,2018,SK_500011
SK_500020,SK,SK02,SK023,500020,Alekšince,1663,15.06493455,2018,SK_500020
SK_500046,SK,SK02,SK023,500046,Báb,1117,20.10065078,2018,SK_500046
SK_500062,SK,SK02,SK023,500062,Beladice,1636,22.40642363,2018,SK_500062
SK_500071,SK,SK02,SK023,500071,Branč,2233,13.79615305,2018,SK_500071
SK_500101,SK,SK02,SK023,500101,Čakajovce,1165,5.77233719,2018,SK_500101
SK_500127,SK,SK02,SK023,500127,Čaradice,506,17.83852355,2018,SK_500127
SK_500135,SK,SK02,SK023,500135,Čeľadice,993,10.47660715,2018,SK_500135
SK_500151,SK,SK02,SK023,500151,Čierne Kľačany,1129,10.97352393,2018,SK_500151
SK_500160,SK,SK02,SK023,500160,Čifáre,607,15.33686425,2018,SK_500160
SK_500194,SK,SK02,SK023,500194,Dolné Obdokovce,1169,10.18034478,2018,SK_500194
SK_500232,SK,SK02,SK023,500232,Golianovo,1743,10.69934518,2018,SK_500232
SK_500241,SK,SK02,SK023,500241,Hájske,1306,14.06159244,2018,SK_500241
SK_500267,SK,SK01,SK010,500267,Záhorie (vojenský obvod),157,277.55275939,2018,SK_500267
SK_500283,SK,SK02,SK023,500283,Hostie,1232,28.17309814,2018,SK_500283
SK_500305,SK,SK02,SK023,500305,Hosťovce,759,16.24058959,2018,SK_500305
SK_500313,SK,SK02,SK023,500313,Hruboňovo,519,11.54933479,2018,SK_500313
SK_500321,SK,SK02,SK023,500321,Choča,510,4.39345364,2018,SK_500321
SK_500348,SK,SK02,SK022,500348,Zubák,837,25.64863072,2018,SK_500348
SK_500356,SK,SK02,SK023,500356,Jarok,2018,22.10396192,2018,SK_500356
SK_500364,SK,SK02,SK023,500364,Jedľové Kostoľany,908,27.28835272,2018,SK_500364
SK_500372,SK,SK02,SK023,500372,Jelenec,2103,27.17442869,2018,SK_500372
SK_500381,SK,SK02,SK023,500381,Jelšovce,1022,10.44063671,2018,SK_500381
SK_500399,SK,SK02,SK023,500399,Kapince,187,5.84164566,2018,SK_500399
SK_500402,SK,SK02,SK023,500402,Klasov,1372,12.23183273,2018,SK_500402
SK_500411,SK,SK02,SK023,500411,Kolíňany,1582,12.47884197,2018,SK_500411
SK_500429,SK,SK02,SK023,500429,Kostoľany pod Tribečom,331,22.12058448,2018,SK_500429
SK_500437,SK,SK02,SK023,500437,Ladice,738,11.64060618,2018,SK_500437
SK_500453,SK,SK02,SK023,500453,Lehota,2217,11.00976906,2018,SK_500453
SK_500461,SK,SK02,SK023,500461,Lovce,670,10.18504599,2018,SK_500461
SK_500470,SK,SK02,SK023,500470,Lúčnica nad Žitavou,914,12.10432779,2018,SK_500470
SK_500488,SK,SK02,SK023,500488,Lukáčovce,1164,16.83791492,2018,SK_500488
