gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
MT_MT01101,MT,MT00,MT001,MT01101,Valletta,5750,0.83947772,2018,MT_MT01101
MT_MT01103,MT,MT00,MT001,MT01103,Birgu,2477,0.51242858,2018,MT_MT01103
MT_MT01104,MT,MT00,MT001,MT01104,L-Isla,2712,0.15776553,2018,MT_MT01104
MT_MT01105,MT,MT00,MT001,MT01105,Bormla,5154,0.93722223,2018,MT_MT01105
MT_MT01108,MT,MT00,MT001,MT01108,Ħaż-Żabbar,15299,5.3400006,2018,MT_MT01108
MT_MT01117,MT,MT00,MT001,MT01117,Il-Fgura,12127,1.10859684,2018,MT_MT01117
MT_MT01118,MT,MT00,MT001,MT01118,Il-Furjana,2034,0.95941364,2018,MT_MT01118
MT_MT01129,MT,MT00,MT001,MT01129,Il-Kalkara,3037,1.75101359,2018,MT_MT01129
MT_MT01133,MT,MT00,MT001,MT01133,Ħal Luqa,5981,6.77874241,2018,MT_MT01133
MT_MT01134,MT,MT00,MT001,MT01134,Il-Marsa,5367,2.736221,2018,MT_MT01134
MT_MT01145,MT,MT00,MT001,MT01145,Paola,8442,2.49432833,2018,MT_MT01145
MT_MT01157,MT,MT00,MT001,MT01157,Santa Luċija,2934,0.72557478,2018,MT_MT01157
MT_MT01162,MT,MT00,MT001,MT01162,Ħal Tarxien,8511,0.86903528,2018,MT_MT01162
MT_MT01165,MT,MT00,MT001,MT01165,Ix-Xgħajra,1757,0.97317151,2018,MT_MT01165
MT_MT01206,MT,MT00,MT001,MT01206,Ħal Qormi,16500,5.04487305,2018,MT_MT01206
MT_MT01214,MT,MT00,MT001,MT01214,Birkirkara,23570,2.7450885,2018,MT_MT01214
MT_MT01221,MT,MT00,MT001,MT01221,Il-Gżira,10784,0.98159867,2018,MT_MT01221
MT_MT01227,MT,MT00,MT001,MT01227,Il-Ħamrun,9431,1.04565395,2018,MT_MT01227
MT_MT01241,MT,MT00,MT001,MT01241,L-Imsida,12216,1.68779014,2018,MT_MT01241
MT_MT01246,MT,MT00,MT001,MT01246,Pembroke,3822,2.29223197,2018,MT_MT01246
MT_MT01247,MT,MT00,MT001,MT01247,Tal-Pieta',4583,0.46311719,2018,MT_MT01247
MT_MT01252,MT,MT00,MT001,MT01252,San Ġiljan,12708,1.58856096,2018,MT_MT01252
MT_MT01253,MT,MT00,MT001,MT01253,San Ġwann,14125,2.63103114,2018,MT_MT01253
MT_MT01258,MT,MT00,MT001,MT01258,Santa Venera,7376,0.91363807,2018,MT_MT01258
MT_MT01259,MT,MT00,MT001,MT01259,Tas-Sliema,21068,1.30295286,2018,MT_MT01259
MT_MT01260,MT,MT00,MT001,MT01260,Is-Swieqi,13553,3.06614211,2018,MT_MT01260
MT_MT01261,MT,MT00,MT001,MT01261,Ta' Xbiex,1928,0.28076832,2018,MT_MT01261
MT_MT01310,MT,MT00,MT001,MT01310,Iż-Żejtun,11270,5.37163562,2018,MT_MT01310
MT_MT01315,MT,MT00,MT001,MT01315,Birżebbuġa,12523,9.2990515,2018,MT_MT01315
MT_MT01320,MT,MT00,MT001,MT01320,Il-Gudja,3148,2.25225106,2018,MT_MT01320
MT_MT01326,MT,MT00,MT001,MT01326,Ħal Għaxaq,4777,3.83697924,2018,MT_MT01326
MT_MT01331,MT,MT00,MT001,MT01331,Ħal Kirkop,2372,1.12522561,2018,MT_MT01331
MT_MT01335,MT,MT00,MT001,MT01335,Marsaskala,13726,5.40721607,2018,MT_MT01335
MT_MT01336,MT,MT00,MT001,MT01336,Marsaxlokk,3570,4.7287322,2018,MT_MT01336
MT_MT01340,MT,MT00,MT001,MT01340,L-Imqabba,3326,2.60521456,2018,MT_MT01340
MT_MT01349,MT,MT00,MT001,MT01349,Il-Qrendi,2773,4.92468289,2018,MT_MT01349
MT_MT01351,MT,MT00,MT001,MT01351,Ħal Safi,2209,2.30970313,2018,MT_MT01351
MT_MT01367,MT,MT00,MT001,MT01367,Iż-Żurrieq,10796,8.40643027,2018,MT_MT01367
MT_MT01402,MT,MT00,MT001,MT01402,L-Imdina,237,0.85489543,2018,MT_MT01402
MT_MT01407,MT,MT00,MT001,MT01407,Ħaż-Żebbuġ,11994,8.6643927,2018,MT_MT01407
MT_MT01409,MT,MT00,MT001,MT01409,Is-Siġġiewi,8581,19.93342414,2018,MT_MT01409
MT_MT01412,MT,MT00,MT001,MT01412,Ħ'Attard,11134,6.61520908,2018,MT_MT01412
MT_MT01413,MT,MT00,MT001,MT01413,Ħal Balzan,4589,0.59891601,2018,MT_MT01413
MT_MT01416,MT,MT00,MT001,MT01416,Ħad-Dingli,3689,5.71080504,2018,MT_MT01416
MT_MT01428,MT,MT00,MT001,MT01428,L-Iklin,3341,1.69334609,2018,MT_MT01428
MT_MT01432,MT,MT00,MT001,MT01432,Ħal Lija,3152,1.10706279,2018,MT_MT01432
MT_MT01450,MT,MT00,MT001,MT01450,Ir-Rabat,11375,26.59151234,2018,MT_MT01450
MT_MT01468,MT,MT00,MT001,MT01468,L-Imtarfa,2600,0.72889022,2018,MT_MT01468
MT_MT01524,MT,MT00,MT001,MT01524,Ħal Għargħur,2816,2.02298909,2018,MT_MT01524
MT_MT01537,MT,MT00,MT001,MT01537,Il-Mellieħa,10868,22.60657338,2018,MT_MT01537
MT_MT01538,MT,MT00,MT001,MT01538,L-Imġarr,3715,16.17438531,2018,MT_MT01538
MT_MT01539,MT,MT00,MT001,MT01539,Il-Mosta,20551,6.80794305,2018,MT_MT01539
MT_MT01544,MT,MT00,MT001,MT01544,In-Naxxar,14467,11.55753842,2018,MT_MT01544
MT_MT01555,MT,MT00,MT001,MT01555,San Pawl Il-Baħar,26133,14.54115654,2018,MT_MT01555
MT_MT02611,MT,MT00,MT002,MT02611,"Ir-Rabat, Għawdex",6341,2.88972125,2018,MT_MT02611
MT_MT02619,MT,MT00,MT002,MT02619,Il-Fontana,913,0.47273963,2018,MT_MT02619
MT_MT02622,MT,MT00,MT002,MT02622,Għajnsielem and Comino,2832,7.14410831,2018,MT_MT02622
MT_MT02623,MT,MT00,MT002,MT02623,L-Għarb,1283,4.62353735,2018,MT_MT02623
MT_MT02625,MT,MT00,MT002,MT02625,L-Għasri,424,5.028834,2018,MT_MT02625
MT_MT02630,MT,MT00,MT002,MT02630,Ta' Kerċem,1785,5.45159043,2018,MT_MT02630
MT_MT02642,MT,MT00,MT002,MT02642,Il-Munxar,1169,2.86463484,2018,MT_MT02642
MT_MT02643,MT,MT00,MT002,MT02643,In-Nadur,4085,7.17638664,2018,MT_MT02643
MT_MT02648,MT,MT00,MT002,MT02648,Il-Qala,1890,5.84054686,2018,MT_MT02648
MT_MT02654,MT,MT00,MT002,MT02654,San Lawrenz,690,3.63429375,2018,MT_MT02654
MT_MT02656,MT,MT00,MT002,MT02656,Ta' Sannat,1897,3.88905628,2018,MT_MT02656
MT_MT02663,MT,MT00,MT002,MT02663,Ix-Xagħra,4081,7.6280397,2018,MT_MT02663
MT_MT02664,MT,MT00,MT002,MT02664,Ix-Xewkija,3213,4.52255253,2018,MT_MT02664
MT_MT02666,MT,MT00,MT002,MT02666,Iż-Żebbuġ,2120,7.56481688,2018,MT_MT02666
