gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
LV_0010000,LV,LV00,LV006,0010000,Rīga,632614,304.15523171,2019,LV_0010000
LV_0050000,LV,LV00,LV005,0050000,Daugavpils,82604,72.38305634,2019,LV_0050000
LV_0090000,LV,LV00,LV009,0090000,Jelgava,55972,60.55100496,2019,LV_0090000
LV_0110000,LV,LV00,LV009,0110000,Jēkabpils,22076,25.4789761,2019,LV_0110000
LV_0130000,LV,LV00,LV007,0130000,Jūrmala,49325,100.40074938,2019,LV_0130000
LV_0170000,LV,LV00,LV003,0170000,Liepāja,68945,60.99230996,2019,LV_0170000
LV_0210000,LV,LV00,LV005,0210000,Rēzekne,27820,17.48618161,2019,LV_0210000
LV_0250000,LV,LV00,LV008,0250000,Valmiera,23125,19.373717160000002,2019,LV_0250000
LV_0270000,LV,LV00,LV003,0270000,Ventspils,34377,57.97216119,2019,LV_0270000
LV_0320200,LV,LV00,LV009,0320200,Aizkraukles novads,8036,102.24102684,2019,LV_0320200
LV_0321000,LV,LV00,LV009,0321000,Jaunjelgavas novads,5140,684.70711464,2019,LV_0321000
LV_0321400,LV,LV00,LV009,0321400,Pļaviņu novads,4904,375.96773003,2019,LV_0321400
LV_0326100,LV,LV00,LV009,0326100,Kokneses novads,5013,360.78599036,2019,LV_0326100
LV_0327100,LV,LV00,LV009,0327100,Neretas novads,3376,645.03388482,2019,LV_0327100
LV_0328200,LV,LV00,LV009,0328200,Skrīveru novads,3339,105.42405672,2019,LV_0328200
LV_0360200,LV,LV00,LV008,0360200,Alūksnes novads,14153,1698.22390664,2019,LV_0360200
LV_0360800,LV,LV00,LV008,0360800,Apes novads,3295,545.12867269,2019,LV_0360800
LV_0380200,LV,LV00,LV005,0380200,Balvu novads,11977,1044.96870164,2019,LV_0380200
LV_0381600,LV,LV00,LV005,0381600,Viļakas novads,4596,640.54468731,2019,LV_0381600
LV_0384400,LV,LV00,LV005,0384400,Baltinavas novads,963,186.51887503,2019,LV_0384400
LV_0387500,LV,LV00,LV005,0387500,Rugāju novads,2108,514.88978002,2019,LV_0387500
LV_0400200,LV,LV00,LV009,0400200,Bauskas novads,22784,786.58491286,2019,LV_0400200
LV_0406400,LV,LV00,LV009,0406400,Iecavas novads,8359,312.09312046,2019,LV_0406400
LV_0407700,LV,LV00,LV009,0407700,Rundāles novads,3356,231.42290615,2019,LV_0407700
LV_0409500,LV,LV00,LV009,0409500,Vecumnieku novads,7807,845.04180633,2019,LV_0409500
LV_0420200,LV,LV00,LV008,0420200,Cēsu novads,16372,172.9346285,2019,LV_0420200
LV_0421200,LV,LV00,LV008,0421200,Līgatnes novads,3264,167.62625827,2019,LV_0421200
LV_0424701,LV,LV00,LV008,0424701,Amatas novads,4983,745.87919355,2019,LV_0424701
LV_0425700,LV,LV00,LV008,0425700,Jaunpiebalgas novads,2019,251.28765907,2019,LV_0425700
LV_0427300,LV,LV00,LV008,0427300,Priekuļu novads,7607,301.67354827,2019,LV_0427300
LV_0427500,LV,LV00,LV008,0427500,Pārgaujas novads,3623,486.55298893,2019,LV_0427500
LV_0427700,LV,LV00,LV008,0427700,Raunas novads,3023,308.99669714,2019,LV_0427700
LV_0429300,LV,LV00,LV008,0429300,Vecpiebalgas novads,3543,542.19494501,2019,LV_0429300
LV_0440200,LV,LV00,LV005,0440200,Daugavpils novads,20149,1876.16466448,2019,LV_0440200
LV_0440801,LV,LV00,LV005,0440801,Ilūkstes novads,6615,647.40526796,2019,LV_0440801
LV_0460200,LV,LV00,LV009,0460200,Dobeles novads,19517,888.56094255,2019,LV_0460200
LV_0460800,LV,LV00,LV009,0460800,Auces novads,6153,516.96263566,2019,LV_0460800
LV_0468900,LV,LV00,LV009,0468900,Tērvetes novads,3339,223.78501405,2019,LV_0468900
LV_0500200,LV,LV00,LV008,0500200,Gulbenes novads,20079,1872.19958839,2019,LV_0500200
LV_0540200,LV,LV00,LV009,0540200,Jelgavas novads,22011,1317.99920954,2019,LV_0540200
LV_0546701,LV,LV00,LV009,0546701,Ozolnieku novads,9969,286.12079903,2019,LV_0546701
LV_0560200,LV,LV00,LV009,0560200,Jēkabpils novads,4293,905.72679755,2019,LV_0560200
LV_0560800,LV,LV00,LV009,0560800,Aknīstes novads,2492,284.68804046,2019,LV_0560800
LV_0561800,LV,LV00,LV009,0561800,Viesītes novads,3567,651.24714919,2019,LV_0561800
LV_0566900,LV,LV00,LV009,0566900,Krustpils novads,5496,811.69245423,2019,LV_0566900
LV_0568700,LV,LV00,LV009,0568700,Salas novads,3332,317.3413039,2019,LV_0568700
LV_0600202,LV,LV00,LV005,0600202,Krāslavas novads,14155,1078.93191425,2019,LV_0600202
LV_0601000,LV,LV00,LV005,0601000,Dagdas novads,6777,949.15009204,2019,LV_0601000
LV_0604300,LV,LV00,LV005,0604300,Aglonas novads,3191,392.54688815,2019,LV_0604300
LV_0620200,LV,LV00,LV003,0620200,Kuldīgas novads,22313,1757.40823326,2019,LV_0620200
LV_0621200,LV,LV00,LV003,0621200,Skrundas novads,4661,556.92303136,2019,LV_0621200
LV_0624200,LV,LV00,LV003,0624200,Alsungas novads,1289,190.91033997,2019,LV_0624200
LV_0640600,LV,LV00,LV003,0640600,Aizputes novads,8192,640.0384611,2019,LV_0640600
LV_0640801,LV,LV00,LV003,0640801,Durbes novads,2626,320.47811895,2019,LV_0640801
LV_0641000,LV,LV00,LV003,0641000,Grobiņas novads,8394,489.90537033,2019,LV_0641000
LV_0641401,LV,LV00,LV003,0641401,Pāvilostas novads,2532,515.06145729,2019,LV_0641401
LV_0641600,LV,LV00,LV003,0641600,Priekules novads,5067,519.83931171,2019,LV_0641600
LV_0647900,LV,LV00,LV003,0647900,Nīcas novads,3152,350.89487168,2019,LV_0647900
LV_0648500,LV,LV00,LV003,0648500,Rucavas novads,1478,448.2167551,2019,LV_0648500
LV_0649300,LV,LV00,LV003,0649300,Vaiņodes novads,2285,306.93019468,2019,LV_0649300
LV_0660200,LV,LV00,LV007,0660200,Limbažu novads,16301,1171.13746821,2019,LV_0660200
LV_0661000,LV,LV00,LV007,0661000,Alojas novads,4630,631.37364914,2019,LV_0661000
LV_0661400,LV,LV00,LV007,0661400,Salacgrīvas novads,7228,637.9182497,2019,LV_0661400
LV_0680200,LV,LV00,LV005,0680200,Ludzas novads,12196,964.78342652,2019,LV_0680200
LV_0681000,LV,LV00,LV005,0681000,Kārsavas novads,5278,628.16727829,2019,LV_0681000
LV_0681801,LV,LV00,LV005,0681801,Zilupes novads,2647,308.92954641,2019,LV_0681801
LV_0684901,LV,LV00,LV005,0684901,Ciblas novads,2429,509.56789505,2019,LV_0684901
LV_0700200,LV,LV00,LV008,0700200,Madonas novads,22261,2160.12527866,2019,LV_0700200
LV_0700800,LV,LV00,LV008,0700800,Cesvaines novads,2339,190.38798597,2019,LV_0700800
LV_0701400,LV,LV00,LV008,0701400,Lubānas novads,2226,347.04152554,2019,LV_0701400
LV_0701800,LV,LV00,LV008,0701800,Varakļānu novads,3056,277.97086245,2019,LV_0701800
LV_0705500,LV,LV00,LV008,0705500,Ērgļu novads,2689,379.13478595,2019,LV_0705500
LV_0740202,LV,LV00,LV007,0740202,Ogres novads,32997,991.15361691,2019,LV_0740202
LV_0740600,LV,LV00,LV007,0740600,Ikšķiles novads,9708,130.66243942,2019,LV_0740600
LV_0741001,LV,LV00,LV007,0741001,Ķeguma novads,5344,491.90172574,2019,LV_0741001
LV_0741401,LV,LV00,LV007,0741401,Lielvārdes novads,9643,225.62092836,2019,LV_0741401
LV_0760202,LV,LV00,LV005,0760202,Preiļu novads,9231,364.01945708,2019,LV_0760202
LV_0761201,LV,LV00,LV005,0761201,Līvānu novads,10832,622.60045355,2019,LV_0761201
LV_0766300,LV,LV00,LV005,0766300,Riebiņu novads,4625,629.8281028,2019,LV_0766300
LV_0769101,LV,LV00,LV005,0769101,Vārkavas novads,1824,287.65024681,2019,LV_0769101
LV_0780200,LV,LV00,LV005,0780200,Rēzeknes novads,24687,2524.1287809,2019,LV_0780200
LV_0781800,LV,LV00,LV005,0781800,Viļānu novads,5522,286.82575346,2019,LV_0781800
LV_0800600,LV,LV00,LV007,0800600,Baldones novads,5468,179.05583086,2019,LV_0800600
LV_0800800,LV,LV00,LV007,0800800,Ķekavas novads,23698,275.40185664,2019,LV_0800800
LV_0801000,LV,LV00,LV007,0801000,Olaines novads,19499,298.62878106,2019,LV_0801000
LV_0801200,LV,LV00,LV007,0801200,Salaspils novads,22659,122.85255567,2019,LV_0801200
LV_0801400,LV,LV00,LV007,0801400,Saulkrastu novads,6532,47.65115557,2019,LV_0801400
LV_0801601,LV,LV00,LV007,0801601,Siguldas novads,17761,361.13072077,2019,LV_0801601
LV_0801800,LV,LV00,LV007,0801800,Inčukalna novads,7640,111.83940598,2019,LV_0801800
LV_0804400,LV,LV00,LV007,0804400,Ādažu novads,11391,162.63314467,2019,LV_0804400
LV_0804900,LV,LV00,LV007,0804900,Babītes novads,10704,243.40518127,2019,LV_0804900
LV_0805200,LV,LV00,LV007,0805200,Carnikavas novads,8738,80.74340046,2019,LV_0805200
LV_0806000,LV,LV00,LV007,0806000,Garkalnes novads,8557,152.50421671,2019,LV_0806000
LV_0806900,LV,LV00,LV007,0806900,Krimuldas novads,4858,341.28219021,2019,LV_0806900
LV_0807400,LV,LV00,LV007,0807400,Mālpils novads,3350,220.8481571,2019,LV_0807400
LV_0807600,LV,LV00,LV007,0807600,Mārupes novads,20007,103.83046781,2019,LV_0807600
LV_0808400,LV,LV00,LV007,0808400,Ropažu novads,6834,325.00014112,2019,LV_0808400
LV_0809200,LV,LV00,LV007,0809200,Sējas novads,2128,230.17272376,2019,LV_0809200
LV_0809600,LV,LV00,LV007,0809600,Stopiņu novads,10845,53.45455368,2019,LV_0809600
LV_0840200,LV,LV00,LV003,0840200,Saldus novads,22006,1683.04407118,2019,LV_0840200
LV_0840601,LV,LV00,LV003,0840601,Brocēnu novads,5634,496.62417744,2019,LV_0840601
LV_0880200,LV,LV00,LV003,0880200,Talsu novads,27730,1763.9409429,2019,LV_0880200
LV_0885100,LV,LV00,LV003,0885100,Dundagas novads,3641,675.85827032,2019,LV_0885100
LV_0887600,LV,LV00,LV003,0887600,Mērsraga novads,1439,109.33371276,2019,LV_0887600
LV_0888301,LV,LV00,LV003,0888301,Rojas novads,3427,200.752572,2019,LV_0888301
LV_0900200,LV,LV00,LV007,0900200,Tukuma novads,27848,1195.15583656,2019,LV_0900200
LV_0901201,LV,LV00,LV007,0901201,Kandavas novads,7664,648.95783498,2019,LV_0901201
LV_0905100,LV,LV00,LV007,0905100,Engures novads,7054,396.37696261,2019,LV_0905100
LV_0905700,LV,LV00,LV007,0905700,Jaunpils novads,2178,209.47079179,2019,LV_0905700
LV_0940200,LV,LV00,LV008,0940200,Valkas novads,7692,908.81231569,2019,LV_0940200
LV_0941600,LV,LV00,LV008,0941600,Smiltenes novads,12015,947.2671302,2019,LV_0941600
LV_0941800,LV,LV00,LV008,0941800,Strenču novads,2915,375.49141213,2019,LV_0941800
LV_0960200,LV,LV00,LV008,0960200,Kocēnu novads,5832,498.83251211,2019,LV_0960200
LV_0961000,LV,LV00,LV008,0961000,Mazsalacas novads,2932,417.39137246,2019,LV_0961000
LV_0961600,LV,LV00,LV008,0961600,Rūjienas novads,4917,352.81718075,2019,LV_0961600
LV_0964700,LV,LV00,LV008,0964700,Beverīnas novads,2949,300.64068333,2019,LV_0964700
LV_0967101,LV,LV00,LV008,0967101,Burtnieku novads,7485,702.6039763,2019,LV_0967101
LV_0967300,LV,LV00,LV008,0967300,Naukšēnu novads,1701,280.66158,2019,LV_0967300
LV_0980200,LV,LV00,LV003,0980200,Ventspils novads,10925,2458.00600772,2019,LV_0980200
