gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
HU_01508,HU,HU31,HU313,01508,Ipolyszög,539,6.06885767,2020,HU_01508
HU_01526,HU,HU31,HU313,01526,Somoskőújfalu,2076,10.15519357,2020,HU_01526
HU_02015,HU,HU21,HU211,02015,Ráckeresztúr,3490,35.31581608,2020,HU_02015
HU_02024,HU,HU31,HU311,02024,Martonyi,339,17.55695336,2020,HU_02024
HU_02033,HU,HU23,HU233,02033,Kakasd,1610,20.8000727,2020,HU_02033
HU_02042,HU,HU22,HU222,02042,Narda,488,10.34649654,2020,HU_02042
HU_02051,HU,HU23,HU232,02051,Sávoly,442,26.84527078,2020,HU_02051
HU_02060,HU,HU22,HU221,02060,Gönyű,3134,21.71383703,2020,HU_02060
HU_02079,HU,HU22,HU221,02079,Dunaremete,250,4.36321755,2020,HU_02079
HU_02088,HU,HU32,HU323,02088,Mánd,282,5.17503635,2020,HU_02088
HU_02097,HU,HU22,HU223,02097,Gutorfölde,885,24.8496599,2020,HU_02097
HU_02103,HU,HU22,HU223,02103,Maróc,59,5.16568858,2020,HU_02103
HU_02121,HU,HU33,HU333,02121,Csanádalberti,430,15.30855128,2020,HU_02121
HU_02130,HU,HU22,HU223,02130,Mihályfa,305,12.0823852,2020,HU_02130
HU_02149,HU,HU33,HU331,02149,Foktő,1570,31.45823687,2020,HU_02149
HU_02158,HU,HU31,HU311,02158,Muhi,461,9.62586706,2020,HU_02158
HU_02167,HU,HU32,HU321,02167,Komádi,4980,144.5657426,2020,HU_02167
HU_02185,HU,HU21,HU213,02185,Csopak,1919,24.00386781,2020,HU_02185
HU_02194,HU,HU21,HU213,02194,Nemesvámos,2947,40.7762723,2020,HU_02194
HU_02200,HU,HU21,HU211,02200,Isztimér,910,53.90801629,2020,HU_02200
HU_02219,HU,HU21,HU213,02219,Balatonfűzfő,4469,9.25961975,2020,HU_02219
HU_02228,HU,HU23,HU231,02228,Martonfa,211,5.68105077,2020,HU_02228
HU_02237,HU,HU22,HU221,02237,Vág,437,14.03102104,2020,HU_02237
HU_02246,HU,HU22,HU222,02246,Vát,688,23.28384787,2020,HU_02246
HU_02264,HU,HU23,HU231,02264,Vásárosdombó,1031,11.73410514,2020,HU_02264
HU_02273,HU,HU31,HU311,02273,Abaújvár,231,7.34352195,2020,HU_02273
HU_02282,HU,HU31,HU311,02282,Hejőkürt,275,14.9060485,2020,HU_02282
HU_02291,HU,HU31,HU311,02291,Tiszabábolna,322,32.71471014,2020,HU_02291
HU_02307,HU,HU32,HU321,02307,Kaba,5533,94.99809898,2020,HU_02307
HU_02316,HU,HU21,HU211,02316,Etyek,4191,53.28457236,2020,HU_02316
HU_02325,HU,HU32,HU323,02325,Baktalórántháza,3940,35.2491953,2020,HU_02325
HU_02343,HU,HU21,HU211,02343,Kincsesbánya,1377,10.86786163,2020,HU_02343
HU_02352,HU,HU33,HU332,02352,Újkígyós,4884,54.92423386,2020,HU_02352
HU_02361,HU,HU22,HU221,02361,Nagybajcs,1011,7.74963813,2020,HU_02361
HU_02370,HU,HU12,HU120,02370,Rád,1954,17.74906116,2020,HU_02370
HU_02389,HU,HU31,HU313,02389,Bercel,1856,35.87526296,2020,HU_02389
HU_02404,HU,HU22,HU223,02404,Surd,542,21.93741211,2020,HU_02404
HU_02413,HU,HU22,HU221,02413,Kisbabot,244,6.09833919,2020,HU_02413
HU_02422,HU,HU21,HU213,02422,Hegyesd,150,11.04285953,2020,HU_02422
HU_02431,HU,HU22,HU222,02431,Bük,3806,20.86822403,2020,HU_02431
HU_02440,HU,HU22,HU222,02440,Szatta,66,6.00354206,2020,HU_02440
HU_02459,HU,HU21,HU211,02459,Vajta,775,23.40609327,2020,HU_02459
HU_02468,HU,HU31,HU311,02468,Hegymeg,104,5.68997883,2020,HU_02468
HU_02477,HU,HU23,HU232,02477,Csombárd,225,8.97430841,2020,HU_02477
HU_02486,HU,HU22,HU223,02486,Zalacséb,462,9.64018231,2020,HU_02486
HU_02495,HU,HU22,HU221,02495,Nagycenk,2395,19.45394006,2020,HU_02495
HU_02501,HU,HU22,HU222,02501,Kisunyom,438,9.9973223,2020,HU_02501
HU_02510,HU,HU21,HU212,02510,Kocs,2545,58.31959756,2020,HU_02510
HU_02529,HU,HU22,HU223,02529,Várfölde,230,14.87163923,2020,HU_02529
HU_02547,HU,HU23,HU231,02547,Sumony,411,20.20240777,2020,HU_02547
HU_02556,HU,HU22,HU221,02556,Mórichida,823,32.30545851,2020,HU_02556
HU_02565,HU,HU23,HU233,02565,Döbrököz,1919,43.11909116,2020,HU_02565
HU_02574,HU,HU22,HU222,02574,Kenéz,271,7.17170437,2020,HU_02574
HU_02583,HU,HU22,HU223,02583,Csesztreg,789,22.99601297,2020,HU_02583
HU_02608,HU,HU22,HU223,02608,Zalaszentiván,1021,13.09779074,2020,HU_02608
HU_02617,HU,HU22,HU221,02617,Sopronnémeti,296,7.10202169,2020,HU_02617
HU_02626,HU,HU32,HU322,02626,Martfű,6032,23.09357461,2020,HU_02626
HU_02635,HU,HU22,HU221,02635,Öttevény,3078,23.66151299,2020,HU_02635
HU_02644,HU,HU22,HU223,02644,Alibánfa,396,5.83936277,2020,HU_02644
HU_02653,HU,HU23,HU231,02653,Nagyharsány,1362,25.98904229,2020,HU_02653
HU_02662,HU,HU22,HU223,02662,Milejszeg,336,9.07407555,2020,HU_02662
HU_02671,HU,HU32,HU323,02671,Kántorjánosi,2031,41.613275,2020,HU_02671
HU_02680,HU,HU33,HU332,02680,Békésszentandrás,3418,77.43654642,2020,HU_02680
HU_02699,HU,HU21,HU211,02699,Sárkeszi,614,14.79362492,2020,HU_02699
HU_02705,HU,HU33,HU331,02705,Pálmonostora,1853,53.27030972,2020,HU_02705
HU_02714,HU,HU21,HU213,02714,Tótvázsony,1337,42.49417022,2020,HU_02714
HU_02723,HU,HU21,HU211,02723,Sáregres,740,26.13218589,2020,HU_02723
HU_02741,HU,HU31,HU311,02741,Fáj,450,19.31960092,2020,HU_02741
HU_02750,HU,HU21,HU211,02750,Vértesacsa,1777,36.1814428,2020,HU_02750
HU_02769,HU,HU12,HU120,02769,Tápiószőlős,2766,31.82135143,2020,HU_02769
HU_02778,HU,HU31,HU313,02778,Ludányhalászi,1399,21.13984403,2020,HU_02778
HU_02787,HU,HU21,HU213,02787,Nemesgulács,934,8.35051562,2020,HU_02787
HU_02796,HU,HU23,HU233,02796,Nak,530,27.7785759,2020,HU_02796
HU_02802,HU,HU21,HU211,02802,Enying,6645,82.79227445,2020,HU_02802
HU_02811,HU,HU23,HU233,02811,Miszla,239,34.7028695,2020,HU_02811
HU_02820,HU,HU31,HU311,02820,Abaújlak,68,7.05860843,2020,HU_02820
HU_02839,HU,HU22,HU222,02839,Nemeskocs,313,7.93378743,2020,HU_02839
HU_02848,HU,HU31,HU311,02848,Felsőzsolca,6345,16.24828087,2020,HU_02848
HU_02857,HU,HU23,HU231,02857,Geresdlak,713,25.29736405,2020,HU_02857
HU_02866,HU,HU31,HU311,02866,Oszlár,313,5.70673374,2020,HU_02866
HU_02875,HU,HU31,HU311,02875,Sáta,1039,16.45746754,2020,HU_02875
HU_02884,HU,HU22,HU222,02884,Vasalja,332,11.25339573,2020,HU_02884
HU_02893,HU,HU21,HU211,02893,Söréd,625,6.24409513,2020,HU_02893
HU_02909,HU,HU22,HU223,02909,Magyarszentmiklós,240,4.17579113,2020,HU_02909
HU_02918,HU,HU32,HU321,02918,Balmazújváros,17038,205.34850044,2020,HU_02918
HU_02927,HU,HU22,HU222,02927,Duka,203,15.23991244,2020,HU_02927
HU_02936,HU,HU21,HU213,02936,Dudar,1650,24.600009880000002,2020,HU_02936
HU_02945,HU,HU32,HU323,02945,Biri,1383,22.58959905,2020,HU_02945
HU_02954,HU,HU33,HU331,02954,Felsőszentiván,1728,53.5023627,2020,HU_02954
HU_02963,HU,HU31,HU312,02963,Bükkszék,671,15.31048205,2020,HU_02963
HU_02972,HU,HU22,HU223,02972,Zalasárszeg,129,3.04019272,2020,HU_02972
HU_02981,HU,HU31,HU312,02981,Egerfarmos,727,23.80338649,2020,HU_02981
HU_02990,HU,HU32,HU323,02990,Bátorliget,685,33.26004942,2020,HU_02990
HU_03009,HU,HU22,HU222,03009,Szombathely,78591,97.4803179,2020,HU_03009
