gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid
SI_001,SI,SI04,SI043,001,Ajdovščina,19418,245.22481222,2020,SI_001
SI_002,SI,SI03,SI031,002,Beltinci,8059,62.2297582,2020,SI_002
SI_003,SI,SI04,SI042,003,Bled,7868,72.29728933,2020,SI_003
SI_004,SI,SI04,SI042,004,Bohinj,5145,333.76712726,2020,SI_004
SI_005,SI,SI04,SI041,005,Borovnica,4579,42.32903884,2020,SI_005
SI_006,SI,SI04,SI043,006,Bovec,3073,367.28340285,2020,SI_006
SI_007,SI,SI04,SI043,007,Brda,5619,71.96947784,2020,SI_007
SI_008,SI,SI04,SI041,008,Brezovica,12671,91.1813546,2020,SI_008
SI_009,SI,SI03,SI036,009,Brežice,24051,267.89195694,2020,SI_009
SI_010,SI,SI03,SI031,010,Tišina,3970,38.81076839,2020,SI_010
SI_011,SI,SI03,SI034,011,Celje,49540,94.93270924,2020,SI_011
SI_012,SI,SI04,SI042,012,Cerklje na Gorenjskem,7769,78.05325332,2020,SI_012
SI_013,SI,SI03,SI038,013,Cerknica,11580,241.01221381,2020,SI_013
SI_014,SI,SI04,SI043,014,Cerkno,4547,131.61291213,2020,SI_014
SI_015,SI,SI03,SI031,015,Črenšovci,3968,33.69491652,2020,SI_015
SI_016,SI,SI03,SI033,016,Črna na Koroškem,3285,155.95809736,2020,SI_016
SI_017,SI,SI03,SI037,017,Črnomelj,14241,339.15344397,2020,SI_017
SI_018,SI,SI03,SI032,018,Destrnik,2643,34.36104165,2020,SI_018
SI_019,SI,SI04,SI044,019,Divača,4213,145.05529301,2020,SI_019
SI_020,SI,SI04,SI041,020,Dobrepolje,3878,103.17690663,2020,SI_020
SI_021,SI,SI04,SI041,021,Dobrova - Polhov Gradec,7800,117.48460322,2020,SI_021
SI_022,SI,SI04,SI041,022,Dol pri Ljubljani,6310,33.29429282,2020,SI_022
SI_023,SI,SI04,SI041,023,Domžale,36675,72.30082213,2020,SI_023
SI_024,SI,SI03,SI032,024,Dornava,2902,28.40619796,2020,SI_024
SI_025,SI,SI03,SI033,025,Dravograd,8884,105.05038791,2020,SI_025
SI_026,SI,SI03,SI032,026,Duplek,6996,39.98731159,2020,SI_026
SI_027,SI,SI04,SI042,027,Gorenja vas - Poljane,7557,153.25545969,2020,SI_027
SI_028,SI,SI03,SI032,028,Gorišnica,4112,29.09858357,2020,SI_028
SI_029,SI,SI03,SI031,029,Gornja Radgona,8417,74.60489902,2020,SI_029
SI_030,SI,SI03,SI034,030,Gornji Grad,2476,90.11971362,2020,SI_030
SI_031,SI,SI03,SI031,031,Gornji Petrovci,1995,66.86531203,2020,SI_031
SI_032,SI,SI04,SI041,032,Grosuplje,21314,133.82727477,2020,SI_032
SI_033,SI,SI03,SI031,033,Šalovci,1380,58.1731256,2020,SI_033
SI_034,SI,SI03,SI035,034,Hrastnik,9113,58.58507825,2020,SI_034
SI_035,SI,SI04,SI044,035,Hrpelje - Kozina,4604,194.88299027,2020,SI_035
SI_036,SI,SI04,SI043,036,Idrija,11811,293.70360792,2020,SI_036
