gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
CH_CH0001,CH,CH04,CH040,CH0001,Aeugst am Albis,1941,7.88800853,2019,CH_CH0001,official
CH_CH0002,CH,CH04,CH040,CH0002,Affoltern am Albis,12146,10.59189006,2019,CH_CH0002,official
CH_CH0003,CH,CH04,CH040,CH0003,Bonstetten,5512,7.44205791,2019,CH_CH0003,official
CH_CH0004,CH,CH04,CH040,CH0004,Hausen am Albis,3664,13.66417444,2019,CH_CH0004,official
CH_CH0005,CH,CH04,CH040,CH0005,Hedingen,3694,6.53856425,2019,CH_CH0005,official
CH_CH0006,CH,CH04,CH040,CH0006,Kappel am Albis,1125,7.84597378,2019,CH_CH0006,official
CH_CH0007,CH,CH04,CH040,CH0007,Knonau,2305,6.55546373,2019,CH_CH0007,official
CH_CH0008,CH,CH04,CH040,CH0008,Maschwanden,641,4.57798319,2019,CH_CH0008,official
CH_CH0009,CH,CH04,CH040,CH0009,Mettmenstetten,4886,12.92005059,2019,CH_CH0009,official
CH_CH0010,CH,CH04,CH040,CH0010,Obfelden,5356,7.53779886,2019,CH_CH0010,official
CH_CH0011,CH,CH04,CH040,CH0011,Ottenbach,2569,4.98643506,2019,CH_CH0011,official
CH_CH0012,CH,CH04,CH040,CH0012,Rifferswil,1103,6.53826064,2019,CH_CH0012,official
CH_CH0013,CH,CH04,CH040,CH0013,Stallikon,3717,12.0139763,2019,CH_CH0013,official
CH_CH0014,CH,CH04,CH040,CH0014,Wettswil am Albis,5112,3.74843894,2019,CH_CH0014,official
CH_CH0021,CH,CH04,CH040,CH0021,Adlikon,665,6.70571298,2019,CH_CH0021,official
CH_CH0022,CH,CH04,CH040,CH0022,Benken (ZH),858,5.5912747,2019,CH_CH0022,official
CH_CH0023,CH,CH04,CH040,CH0023,Berg am Irchel,564,6.9874933,2019,CH_CH0023,official
CH_CH0024,CH,CH04,CH040,CH0024,Buch am Irchel,971,10.15150113,2019,CH_CH0024,official
CH_CH0025,CH,CH04,CH040,CH0025,Dachsen,1936,2.73496694,2019,CH_CH0025,official
CH_CH0026,CH,CH04,CH040,CH0026,Dorf,687,5.55450149,2019,CH_CH0026,official
CH_CH0027,CH,CH04,CH040,CH0027,Feuerthalen,3641,2.58346319,2019,CH_CH0027,official
CH_CH0028,CH,CH04,CH040,CH0028,Flaach,1390,10.08830909,2019,CH_CH0028,official
CH_CH0029,CH,CH04,CH040,CH0029,Flurlingen,1440,2.4103743,2019,CH_CH0029,official
CH_CH0030,CH,CH04,CH040,CH0030,Andelfingen,2208,6.56952104,2019,CH_CH0030,official
CH_CH0031,CH,CH04,CH040,CH0031,Henggart,2268,3.10585123,2019,CH_CH0031,official
CH_CH0032,CH,CH04,CH040,CH0032,Humlikon,486,3.64811449,2019,CH_CH0032,official
CH_CH0033,CH,CH04,CH040,CH0033,Kleinandelfingen,2076,10.31561815,2019,CH_CH0033,official
CH_CH0034,CH,CH04,CH040,CH0034,Laufen-Uhwiesen,1668,6.21872553,2019,CH_CH0034,official
CH_CH0035,CH,CH04,CH040,CH0035,Marthalen,1957,14.15517679,2019,CH_CH0035,official
CH_CH0036,CH,CH04,CH040,CH0036,Oberstammheim,NA,9.45493859,2019,CH_CH0036,official
CH_CH0037,CH,CH04,CH040,CH0037,Ossingen,1567,13.11474755,2019,CH_CH0037,official
CH_CH0038,CH,CH04,CH040,CH0038,Rheinau,1299,8.98605286,2019,CH_CH0038,official
CH_CH0039,CH,CH04,CH040,CH0039,Thalheim an der Thur,929,6.42551673,2019,CH_CH0039,official
CH_CH0040,CH,CH04,CH040,CH0040,Trüllikon,1059,9.53024859,2019,CH_CH0040,official
CH_CH0041,CH,CH04,CH040,CH0041,Truttikon,478,4.4124476,2019,CH_CH0041,official
CH_CH0042,CH,CH04,CH040,CH0042,Unterstammheim,NA,7.28737598,2019,CH_CH0042,official
CH_CH0043,CH,CH04,CH040,CH0043,Volken,342,3.21141398,2019,CH_CH0043,official
CH_CH0044,CH,CH04,CH040,CH0044,Waltalingen,NA,7.24706553,2019,CH_CH0044,official
CH_CH0051,CH,CH04,CH040,CH0051,Bachenbülach,4114,4.33353887,2019,CH_CH0051,official
CH_CH0052,CH,CH04,CH040,CH0052,Bassersdorf,11655,9.20859625,2019,CH_CH0052,official
CH_CH0053,CH,CH04,CH040,CH0053,Bülach,19888,16.13212034,2019,CH_CH0053,official
CH_CH0054,CH,CH04,CH040,CH0054,Dietlikon,7702,4.25146649,2019,CH_CH0054,official
CH_CH0055,CH,CH04,CH040,CH0055,Eglisau,5188,9.10352765,2019,CH_CH0055,official
CH_CH0056,CH,CH04,CH040,CH0056,Embrach,9432,12.73778465,2019,CH_CH0056,official
CH_CH0057,CH,CH04,CH040,CH0057,Freienstein-Teufen,2376,8.3638042,2019,CH_CH0057,official
CH_CH0058,CH,CH04,CH040,CH0058,Glattfelden,5190,12.28697978,2019,CH_CH0058,official
CH_CH0059,CH,CH04,CH040,CH0059,Hochfelden,1934,6.08295868,2019,CH_CH0059,official
CH_CH0060,CH,CH04,CH040,CH0060,Höri,2738,4.76075513,2019,CH_CH0060,official
CH_CH0061,CH,CH04,CH040,CH0061,Hüntwangen,1027,4.94420846,2019,CH_CH0061,official
CH_CH0062,CH,CH04,CH040,CH0062,Kloten,19408,19.11596745,2019,CH_CH0062,official
CH_CH0063,CH,CH04,CH040,CH0063,Lufingen,2381,5.17622223,2019,CH_CH0063,official
