gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
LT_11,LT,LT02,LT021,11,Alytaus miesto savivaldybė,51534,39.47808088,2018,LT_11,official
LT_12,LT,LT02,LT022,12,Birštono savivaldybė,4168,121.7574523,2018,LT_12,official
LT_13,LT,LT01,LT011,13,Vilniaus miesto savivaldybė,547484,400.54144779,2018,LT_13,official
LT_15,LT,LT02,LT021,15,Druskininkų savivaldybė,19605,453.35426735,2018,LT_15,official
LT_18,LT,LT02,LT024,18,Marijampolės savivaldybė,54600,755.12087095,2018,LT_18,official
LT_19,LT,LT02,LT022,19,Kauno miesto savivaldybė,288363,156.93881155,2018,LT_19,official
LT_21,LT,LT02,LT023,21,Klaipėdos miesto savivaldybė,148908,88.28280594,2018,LT_21,official
LT_23,LT,LT02,LT023,23,Neringos savivaldybė,3224,89.4129681,2018,LT_23,official
LT_25,LT,LT02,LT023,25,Palangos miesto savivaldybė,15381,78.89317903,2018,LT_25,official
LT_27,LT,LT02,LT025,27,Panevėžio miesto savivaldybė,88678,50.16938943,2018,LT_27,official
LT_29,LT,LT02,LT026,29,Šiaulių miesto savivaldybė,100575,81.11810714,2018,LT_29,official
LT_30,LT,LT02,LT029,30,Visagino savivaldybė,18686,58.05100205,2018,LT_30,official
LT_32,LT,LT02,LT026,32,Akmenės rajono savivaldybė,19606,843.98225021,2018,LT_32,official
LT_33,LT,LT02,LT021,33,Alytaus rajono savivaldybė,26077,1403.93912171,2018,LT_33,official
LT_34,LT,LT02,LT029,34,Anykščių rajono savivaldybė,24149,1764.62270166,2018,LT_34,official
LT_36,LT,LT02,LT025,36,Biržų rajono savivaldybė,23778,1476.05102259,2018,LT_36,official
LT_38,LT,LT02,LT021,38,Varėnos rajono savivaldybė,21764,2216.86431317,2018,LT_38,official
LT_39,LT,LT02,LT024,39,Vilkaviškio rajono savivaldybė,36108,1263.23266247,2018,LT_39,official
LT_41,LT,LT01,LT011,41,Vilniaus rajono savivaldybė,96575,2129.4517121,2018,LT_41,official
LT_42,LT,LT01,LT011,42,Elektrėnų savivaldybė,23724,508.87011769,2018,LT_42,official
LT_43,LT,LT02,LT029,43,Zarasų rajono savivaldybė,15668,1299.06178502,2018,LT_43,official
LT_45,LT,LT02,LT029,45,Ignalinos rajono savivaldybė,15366,1440.63097377,2018,LT_45,official
LT_46,LT,LT02,LT022,46,Jonavos rajono savivaldybė,42052,943.92719584,2018,LT_46,official
LT_47,LT,LT02,LT026,47,Joniškio rajono savivaldybė,21583,1152.08360355,2018,LT_47,official
LT_48,LT,LT02,LT024,48,Kalvarijos savivaldybė,10776,440.32819548,2018,LT_48,official
LT_49,LT,LT02,LT022,49,Kaišiadorių rajono savivaldybė,30257,1087.05599289,2018,LT_49,official
LT_52,LT,LT02,LT022,52,Kauno rajono savivaldybė,92644,1459.59561472,2018,LT_52,official
LT_53,LT,LT02,LT022,53,Kėdainių rajono savivaldybė,46626,1677.24858001,2018,LT_53,official
LT_54,LT,LT02,LT026,54,Kelmės rajono savivaldybė,26778,1705.12484123,2018,LT_54,official
LT_55,LT,LT02,LT023,55,Klaipėdos rajono savivaldybė,56131,1237.53890405,2018,LT_55,official
LT_56,LT,LT02,LT023,56,Kretingos rajono savivaldybė,37945,989.04459952,2018,LT_56,official
LT_57,LT,LT02,LT025,57,Kupiškio rajono savivaldybė,17097,1080.39750554,2018,LT_57,official
LT_58,LT,LT02,LT024,58,Kazlų Rūdos savivaldybė,11764,554.73876996,2018,LT_58,official
LT_59,LT,LT02,LT021,59,Lazdijų rajono savivaldybė,19115,1306.82734985,2018,LT_59,official
LT_61,LT,LT02,LT028,61,Mažeikių rajono savivaldybė,52208,1219.49067149,2018,LT_61,official
LT_62,LT,LT02,LT029,62,Molėtų rajono savivaldybė,17856,1367.0850066,2018,LT_62,official
LT_63,LT,LT02,LT027,63,Pagėgių savivaldybė,7793,535.08541732,2018,LT_63,official
LT_65,LT,LT02,LT026,65,Pakruojo rajono savivaldybė,19546,1315.66914013,2018,LT_65,official
