gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
LU_0101,LU,LU00,LU000,0101,Dippach,4449,17.26069092,2020,LU_0101,official
LU_0102,LU,LU00,LU000,0102,Garnich,2193,20.92955382,2020,LU_0102,official
LU_0103,LU,LU00,LU000,0103,Habscht,4730,32.58726122,2020,LU_0103,official
LU_0104,LU,LU00,LU000,0104,Käerjeng,10464,33.70573371,2020,LU_0104,official
LU_0105,LU,LU00,LU000,0105,Kehlen,6232,28.56067106,2020,LU_0105,official
LU_0106,LU,LU00,LU000,0106,Koerich,2616,19.01093972,2020,LU_0106,official
LU_0107,LU,LU00,LU000,0107,Kopstal,4038,8.01628986,2020,LU_0107,official
LU_0108,LU,LU00,LU000,0108,Mamer,9913,27.8096418,2020,LU_0108,official
LU_0110,LU,LU00,LU000,0110,Steinfort,5459,12.16851077,2020,LU_0110,official
LU_0201,LU,LU00,LU000,0201,Bettembourg,11319,21.60252128,2020,LU_0201,official
LU_0202,LU,LU00,LU000,0202,Differdange,27409,22.13070622,2020,LU_0202,official
LU_0203,LU,LU00,LU000,0203,Dudelange,21291,21.28861971,2020,LU_0203,official
LU_0204,LU,LU00,LU000,0204,Esch-sur-Alzette,36218,14.48547106,2020,LU_0204,official
LU_0205,LU,LU00,LU000,0205,Frisange,4746,18.30926213,2020,LU_0205,official
LU_0206,LU,LU00,LU000,0206,Kayl,9506,14.87504808,2020,LU_0206,official
LU_0207,LU,LU00,LU000,0207,Leudelange,2702,13.68132359,2020,LU_0207,official
LU_0208,LU,LU00,LU000,0208,Mondercange,7007,21.40466378,2020,LU_0208,official
LU_0209,LU,LU00,LU000,0209,Pétange,19574,11.98491669,2020,LU_0209,official
LU_0210,LU,LU00,LU000,0210,Reckange-sur-Mess,2594,20.53112313,2020,LU_0210,official
LU_0211,LU,LU00,LU000,0211,Roeser,6551,24.08157112,2020,LU_0211,official
LU_0212,LU,LU00,LU000,0212,Rumelange,5604,6.80499013,2020,LU_0212,official
LU_0213,LU,LU00,LU000,0213,Sanem,17550,24.46404633,2020,LU_0213,official
LU_0214,LU,LU00,LU000,0214,Schifflange,11293,7.7589617,2020,LU_0214,official
LU_0301,LU,LU00,LU000,0301,Bertrange,8432,17.26162446,2020,LU_0301,official
LU_0302,LU,LU00,LU000,0302,Contern,3939,20.8077893,2020,LU_0302,official
LU_0303,LU,LU00,LU000,0303,Hesperange,15584,27.3980327,2020,LU_0303,official
LU_0304,LU,LU00,LU000,0304,Luxembourg,122273,51.73715424,2020,LU_0304,official
LU_0305,LU,LU00,LU000,0305,Niederanven,6312,41.48256119,2020,LU_0305,official
LU_0306,LU,LU00,LU000,0306,Sandweiler,3698,7.76498991,2020,LU_0306,official
LU_0307,LU,LU00,LU000,0307,Schuttrange,4274,16.16433756,2020,LU_0307,official
LU_0308,LU,LU00,LU000,0308,Steinsel,5443,21.88456237,2020,LU_0308,official
LU_0309,LU,LU00,LU000,0309,Strassen,9888,10.61307048,2020,LU_0309,official
LU_0310,LU,LU00,LU000,0310,Walferdange,8424,7.05876129,2020,LU_0310,official
LU_0311,LU,LU00,LU000,0311,Weiler-la-Tour,2404,17.119485,2020,LU_0311,official
LU_0401,LU,LU00,LU000,0401,Colmar-Berg,2192,12.35533154,2020,LU_0401,official
LU_0402,LU,LU00,LU000,0402,Bissen,3216,20.82635252,2020,LU_0402,official
LU_0403,LU,LU00,LU000,0403,Helperknapp,4387,37.71130958,2020,LU_0403,official
LU_0404,LU,LU00,LU000,0404,Fischbach,1215,19.54094079,2020,LU_0404,official
LU_0405,LU,LU00,LU000,0405,Heffingen,1504,13.27791377,2020,LU_0405,official
LU_0406,LU,LU00,LU000,0406,Larochette,2194,15.41560811,2020,LU_0406,official
LU_0407,LU,LU00,LU000,0407,Lintgen,3155,15.42186152,2020,LU_0407,official
LU_0408,LU,LU00,LU000,0408,Lorentzweiler,4246,17.6695593,2020,LU_0408,official
LU_0409,LU,LU00,LU000,0409,Mersch,9816,49.4935615,2020,LU_0409,official
LU_0410,LU,LU00,LU000,0410,Nommern,1401,22.68150969,2020,LU_0410,official
LU_0501,LU,LU00,LU000,0501,Clervaux,5463,85.65360224,2020,LU_0501,official
LU_0502,LU,LU00,LU000,0502,Wincrange,4503,113.80443542,2020,LU_0502,official
LU_0503,LU,LU00,LU000,0503,Parc Hosingen,3669,70.65077874,2020,LU_0503,official
LU_0504,LU,LU00,LU000,0504,Troisvierges,3296,38.11553691,2020,LU_0504,official
LU_0505,LU,LU00,LU000,0505,Weiswampach,2005,35.16119279,2020,LU_0505,official
LU_0601,LU,LU00,LU000,0601,Bettendorf,2907,23.24766862,2020,LU_0601,official
LU_0602,LU,LU00,LU000,0602,Bourscheid,1718,36.85965733,2020,LU_0602,official
LU_0603,LU,LU00,LU000,0603,Diekirch,7042,12.45473469,2020,LU_0603,official
LU_0604,LU,LU00,LU000,0604,Erpeldange-sur-Sûre,2482,17.9123651,2020,LU_0604,official
LU_0605,LU,LU00,LU000,0605,Ettelbruck,9148,15.21066722,2020,LU_0605,official
LU_0606,LU,LU00,LU000,0606,Feulen,2224,22.81797369,2020,LU_0606,official
LU_0607,LU,LU00,LU000,0607,Mertzig,2293,11.09572755,2020,LU_0607,official
LU_0608,LU,LU00,LU000,0608,Reisdorf,1276,14.86632313,2020,LU_0608,official
LU_0609,LU,LU00,LU000,0609,Schieren,2039,10.40266017,2020,LU_0609,official
LU_0610,LU,LU00,LU000,0610,Vallée de l'Ernz,2653,39.91757859,2020,LU_0610,official
LU_0701,LU,LU00,LU000,0701,Beckerich,2708,28.5479777,2020,LU_0701,official
LU_0702,LU,LU00,LU000,0702,Preizerdaul,1698,15.73759916,2020,LU_0702,official
LU_0703,LU,LU00,LU000,0703,Ell,1425,21.6602868,2020,LU_0703,official
LU_0704,LU,LU00,LU000,0704,Rambrouch,4480,79.46722628,2020,LU_0704,official
LU_0705,LU,LU00,LU000,0705,Grosbous,1111,20.35142011,2020,LU_0705,official
LU_0706,LU,LU00,LU000,0706,Redange-sur-Attert,2905,32.33619834,2020,LU_0706,official
LU_0707,LU,LU00,LU000,0707,Saeul,857,14.93897178,2020,LU_0707,official
LU_0708,LU,LU00,LU000,0708,Useldange,1942,23.99632181,2020,LU_0708,official
LU_0709,LU,LU00,LU000,0709,Vichten,1313,12.43464453,2020,LU_0709,official
LU_0710,LU,LU00,LU000,0710,Wahl,1034,20.09108201,2020,LU_0710,official
LU_0801,LU,LU00,LU000,0801,Boulaide,1344,32.28333915,2020,LU_0801,official
LU_0802,LU,LU00,LU000,0802,Esch-sur-Sûre,2855,51.40838137,2020,LU_0802,official
LU_0804,LU,LU00,LU000,0804,Goesdorf,1568,29.39722679,2020,LU_0804,official
LU_0805,LU,LU00,LU000,0805,Kiischpelt,1214,33.77442487,2020,LU_0805,official
LU_0806,LU,LU00,LU000,0806,Lac de la Haute-Sûre,2013,48.70030806,2020,LU_0806,official
LU_0807,LU,LU00,LU000,0807,Wiltz,7273,39.50990199,2020,LU_0807,official
LU_0808,LU,LU00,LU000,0808,Winseler,1365,30.62063584,2020,LU_0808,official
LU_0901,LU,LU00,LU000,0901,Tandel,2222,41.77854582,2020,LU_0901,official
LU_0902,LU,LU00,LU000,0902,Putscheid,1150,27.13490538,2020,LU_0902,official
LU_0903,LU,LU00,LU000,0903,Vianden,2138,9.65630701,2020,LU_0903,official
LU_1001,LU,LU00,LU000,1001,Beaufort,2885,13.80681992,2020,LU_1001,official
LU_1002,LU,LU00,LU000,1002,Bech,1273,23.40451829,2020,LU_1002,official
LU_1003,LU,LU00,LU000,1003,Berdorf,1868,22.02928591,2020,LU_1003,official
LU_1004,LU,LU00,LU000,1004,Consdorf,2101,25.95680132,2020,LU_1004,official
LU_1005,LU,LU00,LU000,1005,Echternach,5617,20.54165873,2020,LU_1005,official
LU_1006,LU,LU00,LU000,1006,Rosport - Mompach,3613,57.03706978,2020,LU_1006,official
LU_1008,LU,LU00,LU000,1008,Waldbillig,1832,23.22431809,2020,LU_1008,official
LU_1101,LU,LU00,LU000,1101,Betzdorf,4093,26.18057229,2020,LU_1101,official
LU_1102,LU,LU00,LU000,1102,Biwer,1834,23.05372692,2020,LU_1102,official
LU_1103,LU,LU00,LU000,1103,Flaxweiler,2148,30.15445898,2020,LU_1103,official
LU_1104,LU,LU00,LU000,1104,Grevenmacher,4936,16.49013108,2020,LU_1104,official
LU_1105,LU,LU00,LU000,1105,Junglinster,8090,55.73475433,2020,LU_1105,official
LU_1106,LU,LU00,LU000,1106,Manternach,2181,27.85769817,2020,LU_1106,official
LU_1107,LU,LU00,LU000,1107,Mertert,4635,15.41838484,2020,LU_1107,official
LU_1108,LU,LU00,LU000,1108,Wormeldange,2970,17.26232727,2020,LU_1108,official
LU_1201,LU,LU00,LU000,1201,Bous,1669,15.3747275,2020,LU_1201,official
LU_1202,LU,LU00,LU000,1202,Dalheim,2356,19.16693312,2020,LU_1202,official
LU_1203,LU,LU00,LU000,1203,Lenningen,2017,20.52286511,2020,LU_1203,official
LU_1204,LU,LU00,LU000,1204,Mondorf-les-Bains,5359,13.59051293,2020,LU_1204,official
LU_1205,LU,LU00,LU000,1205,Remich,3732,5.32585528,2020,LU_1205,official
LU_1206,LU,LU00,LU000,1206,Schengen,4924,31.42325445,2020,LU_1206,official
LU_1207,LU,LU00,LU000,1207,Stadtbredimus,1947,10.054943,2020,LU_1207,official
LU_1208,LU,LU00,LU000,1208,Waldbredimus,1240,12.59593521,2020,LU_1208,official
