gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
NL_GM0003,NL,NL11,NL112,GM0003,Appingedam,11644,24.5852005,2020,NL_GM0003,official
NL_GM0010,NL,NL11,NL112,GM0010,Delfzijl,24666,136.42503917,2020,NL_GM0010,official
NL_GM0014,NL,NL11,NL113,GM0014,Groningen,232922,197.86201925,2020,NL_GM0014,official
NL_GM0024,NL,NL11,NL112,GM0024,Loppersum,9533,112.03558397,2020,NL_GM0024,official
NL_GM0034,NL,NL23,NL230,GM0034,Almere,211840,248.859188,2020,NL_GM0034,official
NL_GM0037,NL,NL11,NL111,GM0037,Stadskanaal,31688,119.96824184,2020,NL_GM0037,official
NL_GM0047,NL,NL11,NL111,GM0047,Veendam,27387,78.70906132,2020,NL_GM0047,official
NL_GM0050,NL,NL23,NL230,GM0050,Zeewolde,22656,269.06740626,2020,NL_GM0050,official
NL_GM0059,NL,NL12,NL124,GM0059,Achtkarspelen,27836,103.99513667,2020,NL_GM0059,official
NL_GM0060,NL,NL12,NL124,GM0060,Ameland,3718,58.26300853,2020,NL_GM0060,official
NL_GM0072,NL,NL12,NL124,GM0072,Harlingen,15720,26.03290499,2020,NL_GM0072,official
NL_GM0074,NL,NL12,NL126,GM0074,Heerenveen,50494,198.31010916,2020,NL_GM0074,official
NL_GM0080,NL,NL12,NL124,GM0080,Leeuwarden,124058,255.63069844,2020,NL_GM0080,official
NL_GM0085,NL,NL12,NL126,GM0085,Ooststellingwerf,25472,226.11549271,2020,NL_GM0085,official
NL_GM0086,NL,NL12,NL126,GM0086,Opsterland,29742,227.60280895,2020,NL_GM0086,official
NL_GM0088,NL,NL12,NL124,GM0088,Schiermonnikoog,947,43.95932596,2020,NL_GM0088,official
NL_GM0090,NL,NL12,NL126,GM0090,Smallingerland,56154,126.1945797,2020,NL_GM0090,official
NL_GM0093,NL,NL12,NL124,GM0093,Terschelling,4889,89.88577661,2020,NL_GM0093,official
NL_GM0096,NL,NL12,NL124,GM0096,Vlieland,1152,42.86485937,2020,NL_GM0096,official
NL_GM0098,NL,NL12,NL126,GM0098,Weststellingwerf,25916,228.26451293,2020,NL_GM0098,official
NL_GM0106,NL,NL13,NL131,GM0106,Assen,68606,83.43806213,2020,NL_GM0106,official
NL_GM0109,NL,NL13,NL132,GM0109,Coevorden,35296,299.60145978,2020,NL_GM0109,official
NL_GM0114,NL,NL13,NL132,GM0114,Emmen,107055,346.19515511,2020,NL_GM0114,official
NL_GM0118,NL,NL13,NL133,GM0118,Hoogeveen,55697,129.20471733,2020,NL_GM0118,official
NL_GM0119,NL,NL13,NL133,GM0119,Meppel,33902,56.99075178,2020,NL_GM0119,official
NL_GM0141,NL,NL21,NL213,GM0141,Almelo,73080,69.41635741,2020,NL_GM0141,official
NL_GM0147,NL,NL21,NL213,GM0147,Borne,23313,26.15793397,2020,NL_GM0147,official
NL_GM0148,NL,NL21,NL211,GM0148,Dalfsen,28585,166.55223603,2020,NL_GM0148,official
NL_GM0150,NL,NL21,NL212,GM0150,Deventer,100718,134.43695759,2020,NL_GM0150,official
NL_GM0153,NL,NL21,NL213,GM0153,Enschede,159734,142.76612646,2020,NL_GM0153,official
NL_GM0158,NL,NL21,NL213,GM0158,Haaksbergen,24309,105.53169038,2020,NL_GM0158,official
NL_GM0160,NL,NL21,NL211,GM0160,Hardenberg,60940,317.11506463,2020,NL_GM0160,official
NL_GM0163,NL,NL21,NL213,GM0163,Hellendoorn,35923,138.95342607,2020,NL_GM0163,official
NL_GM0164,NL,NL21,NL213,GM0164,Hengelo,81147,61.76662994,2020,NL_GM0164,official
NL_GM0166,NL,NL21,NL211,GM0166,Kampen,54340,161.90443857,2020,NL_GM0166,official
NL_GM0168,NL,NL21,NL213,GM0168,Losser,22685,99.72421547,2020,NL_GM0168,official
NL_GM0171,NL,NL23,NL230,GM0171,Noordoostpolder,47262,593.62886496,2020,NL_GM0171,official
NL_GM0173,NL,NL21,NL213,GM0173,Oldenzaal,31832,21.99802451,2020,NL_GM0173,official
NL_GM0175,NL,NL21,NL211,GM0175,Ommen,18007,181.99172676,2020,NL_GM0175,official
NL_GM0177,NL,NL21,NL212,GM0177,Raalte,37709,172.34731117,2020,NL_GM0177,official
NL_GM0180,NL,NL21,NL211,GM0180,Staphorst,17144,135.71398148,2020,NL_GM0180,official
NL_GM0183,NL,NL21,NL213,GM0183,Tubbergen,21279,147.41661089,2020,NL_GM0183,official
NL_GM0184,NL,NL23,NL230,GM0184,Urk,21033,111.8067548,2020,NL_GM0184,official
NL_GM0189,NL,NL21,NL213,GM0189,Wierden,24440,95.30365724,2020,NL_GM0189,official
NL_GM0193,NL,NL21,NL211,GM0193,Zwolle,128831,119.29776464,2020,NL_GM0193,official
NL_GM0197,NL,NL22,NL225,GM0197,Aalten,27117,97.12491146,2020,NL_GM0197,official
NL_GM0200,NL,NL22,NL221,GM0200,Apeldoorn,163829,341.15421572,2020,NL_GM0200,official
