gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
NO_0101,NO,NO03,NO031,0101,NA,30790,642.17716567,2017,NO_0101,geo
NO_0104,NO,NO03,NO031,0104,NA,32407,63.47835944,2017,NO_0104,geo
NO_0105,NO,NO03,NO031,0105,NA,55127,405.36509237,2017,NO_0105,geo
NO_0106,NO,NO03,NO031,0106,NA,80121,285.62809189,2017,NO_0106,geo
NO_0111,NO,NO03,NO031,0111,NA,4517,86.46750497,2017,NO_0111,geo
NO_0118,NO,NO03,NO031,0118,NA,1398,319.26919498,2017,NO_0118,geo
NO_0119,NO,NO03,NO031,0119,NA,3597,412.8950995,2017,NO_0119,geo
NO_0121,NO,NO03,NO031,0121,NA,685,183.14338117,2017,NO_0121,geo
NO_0122,NO,NO03,NO031,0122,NA,5367,204.45999962,2017,NO_0122,geo
NO_0123,NO,NO03,NO031,0123,NA,5765,142.0320822,2017,NO_0123,geo
NO_0124,NO,NO03,NO031,0124,NA,15720,69.1500579,2017,NO_0124,geo
NO_0125,NO,NO03,NO031,0125,NA,11406,235.91022897,2017,NO_0125,geo
NO_0127,NO,NO03,NO031,0127,NA,3783,101.20516294,2017,NO_0127,geo
NO_0128,NO,NO03,NO031,0128,NA,8173,434.71714897,2017,NO_0128,geo
NO_0135,NO,NO03,NO031,0135,NA,7398,118.51097335,2017,NO_0135,geo
NO_0136,NO,NO03,NO031,0136,NA,15747,74.09042298,2017,NO_0136,geo
NO_0137,NO,NO03,NO031,0137,NA,5335,256.96666672,2017,NO_0137,geo
NO_0138,NO,NO03,NO031,0138,NA,5557,140.39300042,2017,NO_0138,geo
NO_0211,NO,NO01,NO012,0211,NA,17188,133.86225265,2017,NO_0211,geo
NO_0213,NO,NO01,NO012,0213,NA,30698,165.53197883,2017,NO_0213,geo
NO_0214,NO,NO01,NO012,0214,NA,19288,103.11173835,2017,NO_0214,geo
NO_0215,NO,NO01,NO012,0215,NA,15743,85.5568933,2017,NO_0215,geo
NO_0216,NO,NO01,NO012,0216,NA,18869,61.28999896,2017,NO_0216,geo
NO_0217,NO,NO01,NO012,0217,NA,26988,37.03879512,2017,NO_0217,geo
NO_0219,NO,NO01,NO012,0219,NA,124008,192.08752244,2017,NO_0219,geo
NO_0220,NO,NO01,NO012,0220,NA,60781,100.46143094,2017,NO_0220,geo
NO_0221,NO,NO01,NO012,0221,NA,16162,961.66295919,2017,NO_0221,geo
NO_0226,NO,NO01,NO012,0226,NA,17665,206.61141249,2017,NO_0226,geo
NO_0227,NO,NO01,NO012,0227,NA,11555,176.35055074,2017,NO_0227,geo
NO_0228,NO,NO01,NO012,0228,NA,17730,71.68284936,2017,NO_0228,geo
NO_0229,NO,NO01,NO012,0229,NA,10927,232.58281635,2017,NO_0229,geo
NO_0230,NO,NO01,NO012,0230,NA,37406,70.54792545,2017,NO_0230,geo
NO_0231,NO,NO01,NO012,0231,NA,53276,77.03255622,2017,NO_0231,geo
NO_0233,NO,NO01,NO012,0233,NA,23213,186.22836696,2017,NO_0233,geo
NO_0234,NO,NO01,NO012,0234,NA,6546,83.19267245,2017,NO_0234,geo
NO_0235,NO,NO01,NO012,0235,NA,35102,252.46298286,2017,NO_0235,geo
NO_0236,NO,NO01,NO012,0236,NA,21241,637.3657674,2017,NO_0236,geo
NO_0237,NO,NO01,NO012,0237,NA,24415,456.50087837,2017,NO_0237,geo
NO_0238,NO,NO01,NO012,0238,NA,12657,340.98191919,2017,NO_0238,geo
NO_0239,NO,NO01,NO012,0239,NA,2910,284.96600053,2017,NO_0239,geo
