gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
SK_500011,SK,SK02,SK023,500011,Nitra,76533,100.44211289,2020,SK_500011,official
SK_500020,SK,SK02,SK023,500020,Alekšince,1669,15.06493456,2020,SK_500020,official
SK_500046,SK,SK02,SK023,500046,Báb,1115,20.10065074,2020,SK_500046,official
SK_500062,SK,SK02,SK023,500062,Beladice,1689,22.40642361,2020,SK_500062,official
SK_500071,SK,SK02,SK023,500071,Branč,2221,13.79615304,2020,SK_500071,official
SK_500101,SK,SK02,SK023,500101,Čakajovce,1161,5.77233719,2020,SK_500101,official
SK_500127,SK,SK02,SK023,500127,Čaradice,490,17.83852348,2020,SK_500127,official
SK_500135,SK,SK02,SK023,500135,Čeľadice,1034,10.4766072,2020,SK_500135,official
SK_500151,SK,SK02,SK023,500151,Čierne Kľačany,1174,10.97352397,2020,SK_500151,official
SK_500160,SK,SK02,SK023,500160,Čifáre,591,15.33686425,2020,SK_500160,official
SK_500194,SK,SK02,SK023,500194,Dolné Obdokovce,1184,10.18034476,2020,SK_500194,official
SK_500232,SK,SK02,SK023,500232,Golianovo,1850,10.69934521,2020,SK_500232,official
SK_500241,SK,SK02,SK023,500241,Hájske,1319,14.06159254,2020,SK_500241,official
SK_500267,SK,SK01,SK010,500267,Záhorie (vojenský obvod),153,277.55275965,2020,SK_500267,official
SK_500283,SK,SK02,SK023,500283,Hostie,1205,28.17309814,2020,SK_500283,official
SK_500305,SK,SK02,SK023,500305,Hosťovce,757,16.24058955,2020,SK_500305,official
SK_500313,SK,SK02,SK023,500313,Hruboňovo,519,11.54933475,2020,SK_500313,official
SK_500321,SK,SK02,SK023,500321,Choča,489,4.3934537,2020,SK_500321,official
SK_500348,SK,SK02,SK022,500348,Zubák,836,25.64863062,2020,SK_500348,official
SK_500356,SK,SK02,SK023,500356,Jarok,2036,22.10396203,2020,SK_500356,official
SK_500364,SK,SK02,SK023,500364,Jedľové Kostoľany,896,27.28835268,2020,SK_500364,official
SK_500372,SK,SK02,SK023,500372,Jelenec,2116,27.17442883,2020,SK_500372,official
SK_500381,SK,SK02,SK023,500381,Jelšovce,994,10.44063675,2020,SK_500381,official
SK_500399,SK,SK02,SK023,500399,Kapince,187,5.84164565,2020,SK_500399,official
SK_500402,SK,SK02,SK023,500402,Klasov,1383,12.23183274,2020,SK_500402,official
SK_500411,SK,SK02,SK023,500411,Kolíňany,1549,12.47884191,2020,SK_500411,official
SK_500429,SK,SK02,SK023,500429,Kostoľany pod Tribečom,335,22.12058448,2020,SK_500429,official
SK_500437,SK,SK02,SK023,500437,Ladice,738,11.64060621,2020,SK_500437,official
SK_500453,SK,SK02,SK023,500453,Lehota,2212,11.00976904,2020,SK_500453,official
SK_500461,SK,SK02,SK023,500461,Lovce,699,10.18504601,2020,SK_500461,official
