gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
BE_11001,BE,BE21,BE211,11001,Aartselaar,14293,11.00006788,2019,BE_11001,official
BE_11002,BE,BE21,BE211,11002,Antwerpen / Anvers,525935,204.13727963,2019,BE_11002,official
BE_11004,BE,BE21,BE211,11004,Boechout,13266,20.72341667,2019,BE_11004,official
BE_11005,BE,BE21,BE211,11005,Boom,18244,7.31016915,2019,BE_11005,official
BE_11007,BE,BE21,BE211,11007,Borsbeek,10854,3.88991034,2019,BE_11007,official
BE_11008,BE,BE21,BE211,11008,Brasschaat,37946,38.62568802,2019,BE_11008,official
BE_11009,BE,BE21,BE211,11009,Brecht,29268,91.37736513,2019,BE_11009,official
BE_11013,BE,BE21,BE211,11013,Edegem,22063,8.69904531,2019,BE_11013,official
BE_11016,BE,BE21,BE211,11016,Essen,19038,47.57059566,2019,BE_11016,official
BE_11018,BE,BE21,BE211,11018,Hemiksem,11559,5.514894,2019,BE_11018,official
BE_11021,BE,BE21,BE211,11021,Hove,8125,6.0049001,2019,BE_11021,official
BE_11022,BE,BE21,BE211,11022,Kalmthout,18695,59.57155311,2019,BE_11022,official
BE_11023,BE,BE21,BE211,11023,Kapellen,26850,37.23061532,2019,BE_11023,official
BE_11024,BE,BE21,BE211,11024,Kontich,21115,23.87285045,2019,BE_11024,official
BE_11025,BE,BE21,BE211,11025,Lint,8718,5.60879585,2019,BE_11025,official
BE_11029,BE,BE21,BE211,11029,Mortsel,26099,7.79559264,2019,BE_11029,official
BE_11030,BE,BE21,BE211,11030,Niel,10501,5.31730949,2019,BE_11030,official
BE_11035,BE,BE21,BE211,11035,Ranst,19008,43.68644962,2019,BE_11035,official
BE_11037,BE,BE21,BE211,11037,Rumst,15090,20.18019793,2019,BE_11037,official
BE_11038,BE,BE21,BE211,11038,Schelle,8518,7.74604874,2019,BE_11038,official
BE_11039,BE,BE21,BE211,11039,Schilde,19652,36.05027022,2019,BE_11039,official
BE_11040,BE,BE21,BE211,11040,Schoten,34517,29.52843307,2019,BE_11040,official
BE_11044,BE,BE21,BE211,11044,Stabroek,18710,21.57230033,2019,BE_11044,official
BE_11050,BE,BE21,BE211,11050,Wijnegem,9816,7.87517977,2019,BE_11050,official
BE_11052,BE,BE21,BE211,11052,Wommelgem,12865,12.983877529999999,2019,BE_11052,official
BE_11053,BE,BE21,BE211,11053,Wuustwezel,20970,89.42218095,2019,BE_11053,official
BE_11054,BE,BE21,BE211,11054,Zandhoven,13025,40.08431177,2019,BE_11054,official
BE_11055,BE,BE21,BE211,11055,Zoersel,21944,38.64285326,2019,BE_11055,official
BE_11056,BE,BE21,BE211,11056,Zwijndrecht,19056,20.13658647,2019,BE_11056,official
BE_11057,BE,BE21,BE211,11057,Malle,15561,51.90562564,2019,BE_11057,official
BE_12002,BE,BE21,BE212,12002,Berlaar,11527,24.52437864,2019,BE_12002,official
BE_12005,BE,BE21,BE212,12005,Bonheiden,15010,29.18841609,2019,BE_12005,official
BE_12007,BE,BE21,BE212,12007,Bornem,21366,46.2015518,2019,BE_12007,official
BE_12009,BE,BE21,BE212,12009,Duffel,17491,22.60636033,2019,BE_12009,official
BE_12014,BE,BE21,BE212,12014,Heist-op-den-Berg,42681,86.7044658,2019,BE_12014,official
BE_12021,BE,BE21,BE212,12021,Lier / Lierre,36242,49.830893,2019,BE_12021,official
BE_12025,BE,BE21,BE212,12025,Mechelen / Malines,86616,66.05356913,2019,BE_12025,official
BE_12026,BE,BE21,BE212,12026,Nijlen,22949,39.16500445,2019,BE_12026,official
BE_12029,BE,BE21,BE212,12029,Putte,17800,35.16699413,2019,BE_12029,official
BE_12030,BE,BE21,BE212,12030,Puurs,17455,33.39548405,2019,BE_12030,official
BE_12034,BE,BE21,BE212,12034,Sint-Amands,8427,15.71913548,2019,BE_12034,official
BE_12035,BE,BE21,BE212,12035,Sint-Katelijne-Waver,20792,36.1367547,2019,BE_12035,official
BE_12040,BE,BE21,BE212,12040,Willebroek,26462,27.4757067,2019,BE_12040,official
BE_13001,BE,BE21,BE213,13001,Arendonk,13293,55.23744699,2019,BE_13001,official
BE_13002,BE,BE21,BE213,13002,Baarle-Hertog / Baerle-Duc,2760,7.53125219,2019,BE_13002,official
BE_13003,BE,BE21,BE213,13003,Balen,22618,72.98532827,2019,BE_13003,official
BE_13004,BE,BE21,BE213,13004,Beerse,18084,37.28024504,2019,BE_13004,official
BE_13006,BE,BE21,BE213,13006,Dessel,9598,27.39645557,2019,BE_13006,official
BE_13008,BE,BE21,BE213,13008,Geel,40353,110.23267166,2019,BE_13008,official
BE_13010,BE,BE21,BE213,13010,Grobbendonk,11155,28.42657299,2019,BE_13010,official
BE_13011,BE,BE21,BE213,13011,Herentals,28177,47.99958442,2019,BE_13011,official
BE_13012,BE,BE21,BE213,13012,Herenthout,9061,23.61734011,2019,BE_13012,official
BE_13013,BE,BE21,BE213,13013,Herselt,14523,52.39747905,2019,BE_13013,official
BE_13014,BE,BE21,BE213,13014,Hoogstraten,21355,105.46039024,2019,BE_13014,official
BE_13016,BE,BE21,BE213,13016,Hulshout,10424,17.38327029,2019,BE_13016,official
BE_13017,BE,BE21,BE213,13017,Kasterlee,18655,72.26501377,2019,BE_13017,official
BE_13019,BE,BE21,BE213,13019,Lille,16529,59.57576164,2019,BE_13019,official
BE_13021,BE,BE21,BE213,13021,Meerhout,10361,36.55316241,2019,BE_13021,official
BE_13023,BE,BE21,BE213,13023,Merksplas,8600,44.65027627,2019,BE_13023,official
BE_13025,BE,BE21,BE213,13025,Mol,36825,114.50601442,2019,BE_13025,official
BE_13029,BE,BE21,BE213,13029,Olen,12505,23.1525473,2019,BE_13029,official
BE_13031,BE,BE21,BE213,13031,Oud-Turnhout,13662,39.20234653,2019,BE_13031,official
BE_13035,BE,BE21,BE213,13035,Ravels,15009,95.08636245,2019,BE_13035,official
BE_13036,BE,BE21,BE213,13036,Retie,11396,48.48027134,2019,BE_13036,official
BE_13037,BE,BE21,BE213,13037,Rijkevorsel,12060,46.86452484,2019,BE_13037,official
BE_13040,BE,BE21,BE213,13040,Turnhout,44664,56.66125662,2019,BE_13040,official
BE_13044,BE,BE21,BE213,13044,Vorselaar,7861,27.59549062,2019,BE_13044,official
BE_13046,BE,BE21,BE213,13046,Vosselaar,11187,11.86302721,2019,BE_13046,official
BE_13049,BE,BE21,BE213,13049,Westerlo,25051,55.43092749,2019,BE_13049,official
