gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
CZ_500011,CZ,CZ07,CZ072,500011,Želechovice nad Dřevnicí,1865,16.1982845,2019,CZ_500011,official
CZ_500020,CZ,CZ07,CZ071,500020,Petrov nad Desnou,1224,12.08997909,2019,CZ_500020,official
CZ_500046,CZ,CZ08,CZ080,500046,Libhošť,1719,8.18855154,2019,CZ_500046,official
CZ_500062,CZ,CZ07,CZ072,500062,Krhová,1996,8.08358253,2019,CZ_500062,official
CZ_500071,CZ,CZ07,CZ072,500071,Poličná,1747,11.07146227,2019,CZ_500071,official
CZ_500101,CZ,CZ04,CZ041,500101,Bražec,220,12.63559596,2019,CZ_500101,official
CZ_500127,CZ,CZ04,CZ041,500127,Doupovské Hradiště,159,20.81308386,2019,CZ_500127,official
CZ_500135,CZ,CZ07,CZ071,500135,Kozlov,223,45.54962743,2019,CZ_500135,official
CZ_500151,CZ,CZ07,CZ071,500151,Luboměř pod Strážnou,115,9.5571541,2019,CZ_500151,official
CZ_500160,CZ,CZ07,CZ071,500160,Město Libavá,598,29.35714281,2019,CZ_500160,official
CZ_500194,CZ,CZ03,CZ031,500194,Polná na Šumavě,206,18.99905376,2019,CZ_500194,official
CZ_500259,CZ,CZ08,CZ080,500259,Veřovice,2013,16.61747696,2019,CZ_500259,official
CZ_500291,CZ,CZ08,CZ080,500291,Vřesina,2951,8.6508152,2019,CZ_500291,official
CZ_500496,CZ,CZ07,CZ071,500496,Olomouc,100523,103.21727665,2019,CZ_500496,official
CZ_500526,CZ,CZ07,CZ071,500526,Bělkovice-Lašťany,2306,15.23032184,2019,CZ_500526,official
CZ_500623,CZ,CZ07,CZ071,500623,Bílá Lhota,1137,18.11228819,2019,CZ_500623,official
CZ_500801,CZ,CZ07,CZ071,500801,Blatec,642,6.61184825,2019,CZ_500801,official
CZ_500852,CZ,CZ07,CZ071,500852,Bohuňovice,2532,12.51280853,2019,CZ_500852,official
