gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
DK_101,DK,DK01,DK011,101,København,623404,91.12496774,2019,DK_101,official
DK_147,DK,DK01,DK011,147,Frederiksberg,103960,8.68318602,2019,DK_147,official
DK_151,DK,DK01,DK012,151,Ballerup,48458,33.99986717,2019,DK_151,official
DK_153,DK,DK01,DK012,153,Brøndby,35397,21.05567437,2019,DK_153,official
DK_155,DK,DK01,DK011,155,Dragør,14270,18.70939401,2019,DK_155,official
DK_157,DK,DK01,DK012,157,Gentofte,75176,25.8152753,2019,DK_157,official
DK_159,DK,DK01,DK012,159,Gladsaxe,69681,24.95921497,2019,DK_159,official
DK_161,DK,DK01,DK012,161,Glostrup,22615,13.35226751,2019,DK_161,official
DK_163,DK,DK01,DK012,163,Herlev,28786,12.08825075,2019,DK_163,official
DK_165,DK,DK01,DK012,165,Albertslund,27877,23.44845903,2019,DK_165,official
DK_167,DK,DK01,DK012,167,Hvidovre,53416,23.19092361,2019,DK_167,official
DK_169,DK,DK01,DK012,169,Høje-Taastrup,50686,78.14935386,2019,DK_169,official
DK_173,DK,DK01,DK012,173,Lyngby-Taarbæk,55790,38.95403403,2019,DK_173,official
DK_175,DK,DK01,DK012,175,Rødovre,40052,12.13011113,2019,DK_175,official
DK_183,DK,DK01,DK012,183,Ishøj,22946,26.14364517,2019,DK_183,official
DK_185,DK,DK01,DK011,185,Tårnby,42984,66.72429566,2019,DK_185,official
DK_187,DK,DK01,DK012,187,Vallensbæk,16654,9.1193464,2019,DK_187,official
DK_190,DK,DK01,DK013,190,Furesø,41069,56.73161531,2019,DK_190,official
DK_201,DK,DK01,DK013,201,Allerød,25646,67.45091443,2019,DK_201,official
DK_210,DK,DK01,DK013,210,Fredensborg,40819,112.68992087,2019,DK_210,official
DK_217,DK,DK01,DK013,217,Helsingør,62567,123.5747883,2019,DK_217,official
DK_219,DK,DK01,DK013,219,Hillerød,50998,213.32224097,2019,DK_219,official
DK_223,DK,DK01,DK013,223,Hørsholm,25007,31.58446115,2019,DK_223,official
DK_230,DK,DK01,DK013,230,Rudersdal,56509,73.77343827,2019,DK_230,official
DK_240,DK,DK01,DK013,240,Egedal,43335,125.68237621,2019,DK_240,official
DK_250,DK,DK01,DK013,250,Frederikssund,45332,250.94428463,2019,DK_250,official
DK_253,DK,DK02,DK021,253,Greve,50267,60.59367121,2019,DK_253,official
DK_259,DK,DK02,DK021,259,Køge,60675,257.23661491,2019,DK_259,official
DK_260,DK,DK01,DK013,260,Halsnæs,31271,123.5042824,2019,DK_260,official
DK_265,DK,DK02,DK021,265,Roskilde,87577,212.68442713,2019,DK_265,official
DK_269,DK,DK02,DK021,269,Solrød,23065,40.40719024,2019,DK_269,official
DK_270,DK,DK01,DK013,270,Gribskov,41195,280.52931102,2019,DK_270,official
DK_306,DK,DK02,DK022,306,Odsherred,33122,358.50031866,2019,DK_306,official
DK_316,DK,DK02,DK022,316,Holbæk,71297,579.77030592,2019,DK_316,official
DK_320,DK,DK02,DK022,320,Faxe,36513,405.34267758,2019,DK_320,official
DK_326,DK,DK02,DK022,326,Kalundborg,48681,607.20888891,2019,DK_326,official
