gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
HU_01508,HU,HU31,HU313,01508,Ipolyszög,556,6.06885774,2019,HU_01508,official
HU_01526,HU,HU31,HU313,01526,Somoskőújfalu,2034,10.15519362,2019,HU_01526,official
HU_02015,HU,HU21,HU211,02015,Ráckeresztúr,3427,35.3158163,2019,HU_02015,official
HU_02024,HU,HU31,HU311,02024,Martonyi,366,17.55695339,2019,HU_02024,official
HU_02033,HU,HU23,HU233,02033,Kakasd,1621,20.80007266,2019,HU_02033,official
HU_02042,HU,HU22,HU222,02042,Narda,484,10.34649657,2019,HU_02042,official
HU_02051,HU,HU23,HU232,02051,Sávoly,440,26.84527075,2019,HU_02051,official
HU_02060,HU,HU22,HU221,02060,Gönyű,3080,21.71383712,2019,HU_02060,official
HU_02079,HU,HU22,HU221,02079,Dunaremete,252,4.36321756,2019,HU_02079,official
HU_02088,HU,HU32,HU323,02088,Mánd,270,5.17503634,2019,HU_02088,official
HU_02097,HU,HU22,HU223,02097,Gutorfölde,902,24.8496599,2019,HU_02097,official
HU_02103,HU,HU22,HU223,02103,Maróc,60,5.16568855,2019,HU_02103,official
HU_02121,HU,HU33,HU333,02121,Csanádalberti,428,15.30855115,2019,HU_02121,official
HU_02130,HU,HU22,HU223,02130,Mihályfa,318,12.08238516,2019,HU_02130,official
HU_02149,HU,HU33,HU331,02149,Foktő,1552,31.45823689,2019,HU_02149,official
HU_02158,HU,HU31,HU311,02158,Muhi,459,9.62586705,2019,HU_02158,official
HU_02167,HU,HU32,HU321,02167,Komádi,5078,144.56574257,2019,HU_02167,official
HU_02185,HU,HU21,HU213,02185,Csopak,1795,24.00386762,2019,HU_02185,official
HU_02194,HU,HU21,HU213,02194,Nemesvámos,2845,40.77627218,2019,HU_02194,official
HU_02200,HU,HU21,HU211,02200,Isztimér,922,53.90801617,2019,HU_02200,official
HU_02219,HU,HU21,HU213,02219,Balatonfűzfő,4453,9.2596198,2019,HU_02219,official
HU_02228,HU,HU23,HU231,02228,Martonfa,206,5.68105071,2019,HU_02228,official
HU_02237,HU,HU22,HU221,02237,Vág,452,14.03102098,2019,HU_02237,official
HU_02246,HU,HU22,HU222,02246,Vát,691,23.2838479,2019,HU_02246,official
HU_02264,HU,HU23,HU231,02264,Vásárosdombó,1048,11.7341052,2019,HU_02264,official
HU_02273,HU,HU31,HU311,02273,Abaújvár,217,7.34352192,2019,HU_02273,official
HU_02282,HU,HU31,HU311,02282,Hejőkürt,270,14.90604855,2019,HU_02282,official
HU_02291,HU,HU31,HU311,02291,Tiszabábolna,328,32.71471015,2019,HU_02291,official
HU_02307,HU,HU32,HU321,02307,Kaba,5584,94.99809902,2019,HU_02307,official
HU_02316,HU,HU21,HU211,02316,Etyek,4136,53.28457217,2019,HU_02316,official
HU_02325,HU,HU32,HU323,02325,Baktalórántháza,3885,35.24919513,2019,HU_02325,official
HU_02343,HU,HU21,HU211,02343,Kincsesbánya,1383,10.86786167,2019,HU_02343,official
HU_02352,HU,HU33,HU332,02352,Újkígyós,4897,54.92423401,2019,HU_02352,official
HU_02361,HU,HU22,HU221,02361,Nagybajcs,996,7.74963813,2019,HU_02361,official
HU_02370,HU,HU12,HU120,02370,Rád,1952,17.74906115,2019,HU_02370,official
HU_02389,HU,HU31,HU313,02389,Bercel,1861,35.87526299,2019,HU_02389,official
HU_02404,HU,HU22,HU223,02404,Surd,584,21.93741203,2019,HU_02404,official
HU_02413,HU,HU22,HU221,02413,Kisbabot,235,6.09833913,2019,HU_02413,official
HU_02422,HU,HU21,HU213,02422,Hegyesd,150,11.0428596,2019,HU_02422,official
HU_02431,HU,HU22,HU222,02431,Bük,3624,20.86822384,2019,HU_02431,official
HU_02440,HU,HU22,HU222,02440,Szatta,65,6.00354206,2019,HU_02440,official
HU_02459,HU,HU21,HU211,02459,Vajta,799,23.40609315,2019,HU_02459,official
HU_02468,HU,HU31,HU311,02468,Hegymeg,109,5.68997886,2019,HU_02468,official
HU_02477,HU,HU23,HU232,02477,Csombárd,231,8.97430844,2019,HU_02477,official
HU_02486,HU,HU22,HU223,02486,Zalacséb,465,9.6401822,2019,HU_02486,official
HU_02495,HU,HU22,HU221,02495,Nagycenk,2251,19.45393995,2019,HU_02495,official
HU_02501,HU,HU22,HU222,02501,Kisunyom,428,9.99732226,2019,HU_02501,official
HU_02510,HU,HU21,HU212,02510,Kocs,2517,58.31959743,2019,HU_02510,official
HU_02529,HU,HU22,HU223,02529,Várfölde,185,14.87163923,2019,HU_02529,official
HU_02547,HU,HU23,HU231,02547,Sumony,419,20.20240764,2019,HU_02547,official
HU_02556,HU,HU22,HU221,02556,Mórichida,821,32.30545853,2019,HU_02556,official
HU_02565,HU,HU23,HU233,02565,Döbrököz,1922,43.11909127,2019,HU_02565,official
HU_02574,HU,HU22,HU222,02574,Kenéz,276,7.17170435,2019,HU_02574,official
HU_02583,HU,HU22,HU223,02583,Csesztreg,802,22.99601293,2019,HU_02583,official
HU_02608,HU,HU22,HU223,02608,Zalaszentiván,1055,13.09779075,2019,HU_02608,official
HU_02617,HU,HU22,HU221,02617,Sopronnémeti,300,7.10202167,2019,HU_02617,official
HU_02626,HU,HU32,HU322,02626,Martfű,6030,23.09357457,2019,HU_02626,official
HU_02635,HU,HU22,HU221,02635,Öttevény,3061,23.66151296,2019,HU_02635,official
HU_02644,HU,HU22,HU223,02644,Alibánfa,401,5.83936282,2019,HU_02644,official
HU_02653,HU,HU23,HU231,02653,Nagyharsány,1399,25.98904219,2019,HU_02653,official
HU_02662,HU,HU22,HU223,02662,Milejszeg,349,9.07407551,2019,HU_02662,official
HU_02671,HU,HU32,HU323,02671,Kántorjánosi,2030,41.61327512,2019,HU_02671,official
HU_02680,HU,HU33,HU332,02680,Békésszentandrás,3436,77.43654637,2019,HU_02680,official
HU_02699,HU,HU21,HU211,02699,Sárkeszi,612,14.79362503,2019,HU_02699,official
HU_02705,HU,HU33,HU331,02705,Pálmonostora,1788,53.27030978,2019,HU_02705,official
HU_02714,HU,HU21,HU213,02714,Tótvázsony,1309,42.49417011,2019,HU_02714,official
HU_02723,HU,HU21,HU211,02723,Sáregres,716,26.13218583,2019,HU_02723,official
HU_02741,HU,HU31,HU311,02741,Fáj,462,19.31960093,2019,HU_02741,official
HU_02750,HU,HU21,HU211,02750,Vértesacsa,1753,36.18144286,2019,HU_02750,official
HU_02769,HU,HU12,HU120,02769,Tápiószőlős,2781,31.82135158,2019,HU_02769,official
HU_02778,HU,HU31,HU313,02778,Ludányhalászi,1379,21.139844,2019,HU_02778,official
HU_02787,HU,HU21,HU213,02787,Nemesgulács,930,8.35051564,2019,HU_02787,official
HU_02796,HU,HU23,HU233,02796,Nak,512,27.77857579,2019,HU_02796,official
HU_02802,HU,HU21,HU211,02802,Enying,6615,82.79227403,2019,HU_02802,official
HU_02811,HU,HU23,HU233,02811,Miszla,248,34.70286948,2019,HU_02811,official
HU_02820,HU,HU31,HU311,02820,Abaújlak,69,7.05860838,2019,HU_02820,official
HU_02839,HU,HU22,HU222,02839,Nemeskocs,314,7.93378743,2019,HU_02839,official
HU_02848,HU,HU31,HU311,02848,Felsőzsolca,6373,16.24828089,2019,HU_02848,official
HU_02857,HU,HU23,HU231,02857,Geresdlak,730,25.2973641,2019,HU_02857,official
HU_02866,HU,HU31,HU311,02866,Oszlár,337,5.70673379,2019,HU_02866,official
HU_02875,HU,HU31,HU311,02875,Sáta,1082,16.45746765,2019,HU_02875,official
HU_02884,HU,HU22,HU222,02884,Vasalja,332,11.25339569,2019,HU_02884,official
HU_02893,HU,HU21,HU211,02893,Söréd,586,6.24409515,2019,HU_02893,official
HU_02909,HU,HU22,HU223,02909,Magyarszentmiklós,233,4.17579114,2019,HU_02909,official
HU_02918,HU,HU32,HU321,02918,Balmazújváros,17026,205.34850039,2019,HU_02918,official
HU_02927,HU,HU22,HU222,02927,Duka,211,15.23991248,2019,HU_02927,official
HU_02936,HU,HU21,HU213,02936,Dudar,1655,24.60000993,2019,HU_02936,official
HU_02945,HU,HU32,HU323,02945,Biri,1399,22.58959901,2019,HU_02945,official
HU_02954,HU,HU33,HU331,02954,Felsőszentiván,1728,53.50236262,2019,HU_02954,official
HU_02963,HU,HU31,HU312,02963,Bükkszék,682,15.31048205,2019,HU_02963,official
HU_02972,HU,HU22,HU223,02972,Zalasárszeg,114,3.0401927,2019,HU_02972,official
HU_02981,HU,HU31,HU312,02981,Egerfarmos,708,23.8033864,2019,HU_02981,official
HU_02990,HU,HU32,HU323,02990,Bátorliget,698,33.26004947,2019,HU_02990,official
HU_03009,HU,HU22,HU222,03009,Szombathely,78407,97.48031784,2019,HU_03009,official
HU_03018,HU,HU23,HU231,03018,Szebény,272,14.36630045,2019,HU_03018,official
HU_03036,HU,HU22,HU222,03036,Döröske,85,4.40268511,2019,HU_03036,official
HU_03045,HU,HU32,HU321,03045,Hajdúböszörmény,30267,370.77655115,2019,HU_03045,official
HU_03054,HU,HU22,HU223,03054,Lickóvadamos,163,6.69224686,2019,HU_03054,official
HU_03063,HU,HU31,HU311,03063,Zádorfalva,465,13.74449997,2019,HU_03063,official
HU_03072,HU,HU21,HU213,03072,Balatoncsicsó,214,13.19510372,2019,HU_03072,official
HU_03081,HU,HU31,HU311,03081,Sajóhídvég,1080,13.44056001,2019,HU_03081,official
HU_03090,HU,HU22,HU222,03090,Borgáta,172,6.22242481,2019,HU_03090,official
HU_03106,HU,HU33,HU332,03106,Kétsoprony,1268,51.24722251,2019,HU_03106,official
HU_03115,HU,HU21,HU211,03115,Dunaújváros,44200,52.67754631,2019,HU_03115,official
HU_03124,HU,HU22,HU223,03124,Szentkozmadombja,58,5.08040277,2019,HU_03124,official
HU_03133,HU,HU31,HU311,03133,Taktaszada,1925,25.75684231,2019,HU_03133,official
HU_03142,HU,HU22,HU222,03142,Vönöck,699,17.60885494,2019,HU_03142,official
HU_03151,HU,HU23,HU231,03151,Kistapolca,163,3.56835622,2019,HU_03151,official
HU_03160,HU,HU31,HU311,03160,Szuhafő,135,16.05016472,2019,HU_03160,official
