gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
IE_01310400,IE,IE05,IE052,01310400,Carlow,22650,62.43730994,2019,IE_01310400,geo
IE_01310401,IE,IE05,IE052,01310401,Tullow,18652,415.21788017,2019,IE_01310401,geo
IE_01310402,IE,IE05,IE052,01310402,Muinebeag,15630,418.80141557,2019,IE_01310402,geo
IE_01320400,IE,IE04,IE041,01320400,Cavan-Belturbet,25959,679.82840611,2019,IE_01320400,geo
IE_01320401,IE,IE04,IE041,01320401,Bailieborough-Cootehill,24415,646.16870123,2019,IE_01320401,geo
IE_01320402,IE,IE04,IE041,01320402,Ballyjamesduff,25802,605.6530872,2019,IE_01320402,geo
IE_01330400,IE,IE05,IE051,01330400,Ennistimon,16408,906.95247914,2019,IE_01330400,geo
IE_01330401,IE,IE05,IE051,01330401,Killaloe,20108,967.31372595,2019,IE_01330401,geo
IE_01330402,IE,IE05,IE051,01330402,Shannon,30397,213.16244744,2019,IE_01330402,geo
IE_01330403,IE,IE05,IE051,01330403,Ennis,30910,169.76516497,2019,IE_01330403,geo
IE_01330404,IE,IE05,IE051,01330404,Kilrush,20994,986.62409809,2019,IE_01330404,geo
IE_01340400,IE,IE05,IE053,01340400,Kanturk,24935,924.89319129,2019,IE_01340400,geo
IE_01340401,IE,IE05,IE053,01340401,Fermoy,36406,946.45165896,2019,IE_01340401,geo
IE_01340402,IE,IE05,IE053,01340402,Midleton,45441,552.89425133,2019,IE_01340402,geo
IE_01340403,IE,IE05,IE053,01340403,Carrigaline,35357,185.00065763999999,2019,IE_01340403,geo
IE_01340404,IE,IE05,IE053,01340404,Cobh,33901,299.74954467,2019,IE_01340404,geo
IE_01340405,IE,IE05,IE053,01340405,Bandon-Kinsale,37269,646.56969197,2019,IE_01340405,geo
IE_01340406,IE,IE05,IE053,01340406,Bantry-West Cork,22424,1238.82380357,2019,IE_01340406,geo
IE_01340407,IE,IE05,IE053,01340407,Skibbereen-West Cork,30281,759.03899294,2019,IE_01340407,geo
IE_01340408,IE,IE05,IE053,01340408,Macroom,36844,1217.04717362,2019,IE_01340408,geo
IE_01340409,IE,IE05,IE053,01340409,Mallow,29157,571.56784203,2019,IE_01340409,geo
IE_01340410,IE,IE05,IE053,01340410,Cork City North West,40186,49.69921095,2019,IE_01340410,geo
IE_01340411,IE,IE05,IE053,01340411,Cork City North East,42169,39.09782372,2019,IE_01340411,geo
IE_01340412,IE,IE05,IE053,01340412,Cork City South East,42782,41.78930458,2019,IE_01340412,geo
IE_01340413,IE,IE05,IE053,01340413,Cork City South Central,38667,7.23291589,2019,IE_01340413,geo
IE_01340414,IE,IE05,IE053,01340414,Cork City South West,47049,22.08356672,2019,IE_01340414,geo
IE_01350400,IE,IE04,IE041,01350400,Glenties,23919,1308.822701,2019,IE_01350400,geo
IE_01350401,IE,IE04,IE041,01350401,Milford,13771,515.67948041,2019,IE_01350401,geo
IE_01350402,IE,IE04,IE041,01350402,Carndonagh,16964,474.13660325,2019,IE_01350402,geo
IE_01350403,IE,IE04,IE041,01350403,Buncrana,22366,414.18327512,2019,IE_01350403,geo
IE_01350404,IE,IE04,IE041,01350404,Donegal,26492,1090.39640997,2019,IE_01350404,geo
IE_01350405,IE,IE04,IE041,01350405,Letterkenny,29791,348.98249776,2019,IE_01350405,geo
IE_01350406,IE,IE04,IE041,01350406,Lifford-Stranorlar,25889,708.67117111,2019,IE_01350406,geo
IE_01360400,IE,IE04,IE042,01360400,Conamara North,17191,1524.22778708,2019,IE_01360400,geo
IE_01360401,IE,IE04,IE042,01360401,Tuam,33191,780.93744398,2019,IE_01360401,geo
IE_01360402,IE,IE04,IE042,01360402,Ballinasloe,28110,1195.20174457,2019,IE_01360402,geo
IE_01360403,IE,IE04,IE042,01360403,Loughrea,23219,932.50390822,2019,IE_01360403,geo
IE_01360404,IE,IE04,IE042,01360404,Athenry-Oranmore,32876,515.09941655,2019,IE_01360404,geo
IE_01360405,IE,IE04,IE042,01360405,Gort-Kinvara,23461,616.81206108,2019,IE_01360405,geo
IE_01360406,IE,IE04,IE042,01360406,Conamara South,21341,533.01014418,2019,IE_01360406,geo
IE_01360420,IE,IE04,IE042,01360420,Galway City West,25371,11.13332534,2019,IE_01360420,geo
IE_01360421,IE,IE04,IE042,01360421,Galway City Central,26702,19.32046616,2019,IE_01360421,geo
IE_01360422,IE,IE04,IE042,01360422,Galway City East,26595,20.27067267,2019,IE_01360422,geo
IE_01370400,IE,IE05,IE053,01370400,Listowel,28674,761.72935567,2019,IE_01370400,geo
