gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
PL_1001121200101,PL,PL21,PL214,1001121200101,Bochnia,29922,29.88896219,2019,PL_1001121200101,official
PL_1001121200102,PL,PL21,PL214,1001121200102,Bochnia,19872,130.8292349,2019,PL_1001121200102,official
PL_1001121200103,PL,PL21,PL214,1001121200103,Drwinia,6517,108.53563235,2019,PL_1001121200103,official
PL_1001121200104,PL,PL21,PL214,1001121200104,Lipnica Murowana,5642,60.32733711,2019,PL_1001121200104,official
PL_1001121200105,PL,PL21,PL214,1001121200105,Łapanów,8139,71.70620991,2019,PL_1001121200105,official
PL_1001121200106,PL,PL21,PL214,1001121200106,Nowy Wiśnicz,14021,82.16196436,2019,PL_1001121200106,official
PL_1001121200107,PL,PL21,PL214,1001121200107,Rzezawa,11276,86.36414208,2019,PL_1001121200107,official
PL_1001121200108,PL,PL21,PL214,1001121200108,Trzciana,5582,44.09496971,2019,PL_1001121200108,official
PL_1001121200109,PL,PL21,PL214,1001121200109,Żegocina,5543,34.881868,2019,PL_1001121200109,official
PL_1001121200601,PL,PL21,PL214,1001121200601,Czernichów,14587,84.2158212,2019,PL_1001121200601,official
PL_1001121200602,PL,PL21,PL214,1001121200602,Igołomia-Wawrzeńczyce,7724,62.78851837,2019,PL_1001121200602,official
PL_1001121200603,PL,PL21,PL214,1001121200603,Iwanowice,9135,71.09474396,2019,PL_1001121200603,official
PL_1001121200604,PL,PL21,PL214,1001121200604,Jerzmanowice-Przeginia,10935,68.14572232,2019,PL_1001121200604,official
PL_1001121200605,PL,PL21,PL214,1001121200605,Kocmyrzów-Luborzyca,15575,82.92742921,2019,PL_1001121200605,official
PL_1001121200606,PL,PL21,PL214,1001121200606,Krzeszowice,32195,139.02488093,2019,PL_1001121200606,official
PL_1001121200607,PL,PL21,PL214,1001121200607,Liszki,17292,72.05835762,2019,PL_1001121200607,official
PL_1001121200608,PL,PL21,PL214,1001121200608,Michałowice,10563,51.11903517,2019,PL_1001121200608,official
PL_1001121200609,PL,PL21,PL214,1001121200609,Mogilany,14052,43.71397118,2019,PL_1001121200609,official
PL_1001121200610,PL,PL21,PL214,1001121200610,Skała,10556,74.82748154,2019,PL_1001121200610,official
PL_1001121200611,PL,PL21,PL214,1001121200611,Skawina,43496,99.8114348,2019,PL_1001121200611,official
PL_1001121200612,PL,PL21,PL214,1001121200612,Słomniki,13680,110.82279452,2019,PL_1001121200612,official
PL_1001121200613,PL,PL21,PL214,1001121200613,Sułoszowa,5830,53.37317533,2019,PL_1001121200613,official
PL_1001121200614,PL,PL21,PL214,1001121200614,Świątniki Górne,10083,20.34732309,2019,PL_1001121200614,official
PL_1001121200615,PL,PL21,PL214,1001121200615,Wielka Wieś,12356,48.26949125,2019,PL_1001121200615,official
PL_1001121200616,PL,PL21,PL214,1001121200616,Zabierzów,26504,99.42172274,2019,PL_1001121200616,official
PL_1001121200617,PL,PL21,PL214,1001121200617,Zielonki,22582,48.58451539,2019,PL_1001121200617,official
PL_1001121200801,PL,PL21,PL214,1001121200801,Charsznica,7464,78.47232896,2019,PL_1001121200801,official
PL_1001121200802,PL,PL21,PL214,1001121200802,Gołcza,6078,90.01919037,2019,PL_1001121200802,official
PL_1001121200803,PL,PL21,PL214,1001121200803,Kozłów,4651,85.76094632,2019,PL_1001121200803,official
PL_1001121200804,PL,PL21,PL214,1001121200804,Książ Wielki,5121,137.83341686,2019,PL_1001121200804,official
PL_1001121200805,PL,PL21,PL214,1001121200805,Miechów,19737,148.34462376,2019,PL_1001121200805,official
PL_1001121200806,PL,PL21,PL214,1001121200806,Racławice,2519,59.09963018,2019,PL_1001121200806,official
PL_1001121200807,PL,PL21,PL214,1001121200807,Słaboszów,3567,76.78229561,2019,PL_1001121200807,official
PL_1001121200901,PL,PL21,PL214,1001121200901,Dobczyce,15272,66.38820024,2019,PL_1001121200901,official
PL_1001121200902,PL,PL21,PL214,1001121200902,Lubień,10060,75.09009069,2019,PL_1001121200902,official
PL_1001121200903,PL,PL21,PL214,1001121200903,Myślenice,44189,153.42230609,2019,PL_1001121200903,official
PL_1001121200904,PL,PL21,PL214,1001121200904,Pcim,11082,88.96403929,2019,PL_1001121200904,official
PL_1001121200905,PL,PL21,PL214,1001121200905,Raciechowice,6395,61.14877665,2019,PL_1001121200905,official
PL_1001121200906,PL,PL21,PL214,1001121200906,Siepraw,8953,31.84257192,2019,PL_1001121200906,official
PL_1001121200907,PL,PL21,PL214,1001121200907,Sułkowice,14916,60.37725829,2019,PL_1001121200907,official
PL_1001121200908,PL,PL21,PL214,1001121200908,Tokarnia,8771,68.6200218,2019,PL_1001121200908,official
PL_1001121200909,PL,PL21,PL214,1001121200909,Wiśniowa,7390,67.09518745,2019,PL_1001121200909,official
PL_1001121201401,PL,PL21,PL214,1001121201401,Koniusza,9020,88.51505879,2019,PL_1001121201401,official
PL_1001121201402,PL,PL21,PL214,1001121201402,Koszyce,5508,66.05532659,2019,PL_1001121201402,official
PL_1001121201403,PL,PL21,PL214,1001121201403,Nowe Brzesko,5752,54.41208067,2019,PL_1001121201403,official
PL_1001121201404,PL,PL21,PL214,1001121201404,Pałecznica,3583,47.86568907,2019,PL_1001121201404,official
PL_1001121201405,PL,PL21,PL214,1001121201405,Proszowice,16243,100.03494654000001,2019,PL_1001121201405,official
PL_1001121201406,PL,PL21,PL214,1001121201406,Radziemice,3417,57.98466653,2019,PL_1001121201406,official
PL_1001121201901,PL,PL21,PL214,1001121201901,Biskupice,10330,41.13340228,2019,PL_1001121201901,official
PL_1001121201902,PL,PL21,PL214,1001121201902,Gdów,18188,108.71809134,2019,PL_1001121201902,official
PL_1001121201903,PL,PL21,PL214,1001121201903,Kłaj,10691,64.78284524,2019,PL_1001121201903,official
PL_1001121201904,PL,PL21,PL214,1001121201904,Niepołomice,28455,96.29326737,2019,PL_1001121201904,official
PL_1001121201905,PL,PL21,PL214,1001121201905,Wieliczka,59414,99.67405577,2019,PL_1001121201905,official
PL_1001121216101,PL,PL21,PL213,1001121216101,Kraków,771069,326.84517241,2019,PL_1001121216101,official
PL_1001121220501,PL,PL21,PL218,1001121220501,Gorlice,27597,23.53815868,2019,PL_1001121220501,official
PL_1001121220502,PL,PL21,PL218,1001121220502,Biecz,16858,98.22937313,2019,PL_1001121220502,official
PL_1001121220503,PL,PL21,PL218,1001121220503,Bobowa,9778,49.79849865,2019,PL_1001121220503,official
PL_1001121220504,PL,PL21,PL218,1001121220504,Gorlice,17277,102.86706015,2019,PL_1001121220504,official
PL_1001121220505,PL,PL21,PL218,1001121220505,Lipinki,6806,66.46552599,2019,PL_1001121220505,official
PL_1001121220506,PL,PL21,PL218,1001121220506,Łużna,8514,56.29856327,2019,PL_1001121220506,official
PL_1001121220507,PL,PL21,PL218,1001121220507,Moszczenica,4922,37.61700637,2019,PL_1001121220507,official
PL_1001121220508,PL,PL21,PL218,1001121220508,Ropa,5498,49.09860982,2019,PL_1001121220508,official
PL_1001121220509,PL,PL21,PL218,1001121220509,Sękowa,5017,194.8294558,2019,PL_1001121220509,official
PL_1001121220510,PL,PL21,PL218,1001121220510,Uście Gorlickie,6837,287.58406305,2019,PL_1001121220510,official
PL_1001121220701,PL,PL21,PL218,1001121220701,Limanowa,15158,18.69967823,2019,PL_1001121220701,official
PL_1001121220702,PL,PL21,PL218,1001121220702,Mszana Dolna,7948,27.09923382,2019,PL_1001121220702,official
PL_1001121220703,PL,PL21,PL218,1001121220703,Dobra,9967,109.79913781,2019,PL_1001121220703,official
PL_1001121220704,PL,PL21,PL218,1001121220704,Jodłownik,8667,72.19300799,2019,PL_1001121220704,official
PL_1001121220705,PL,PL21,PL218,1001121220705,Kamienica,7861,95.2414049,2019,PL_1001121220705,official
PL_1001121220706,PL,PL21,PL218,1001121220706,Laskowa,8149,72.48691979,2019,PL_1001121220706,official
PL_1001121220707,PL,PL21,PL218,1001121220707,Limanowa,25466,152.23894798,2019,PL_1001121220707,official
PL_1001121220708,PL,PL21,PL218,1001121220708,Łukowica,10044,69.63590288,2019,PL_1001121220708,official
PL_1001121220709,PL,PL21,PL218,1001121220709,Mszana Dolna,17643,170.0644843,2019,PL_1001121220709,official
PL_1001121220710,PL,PL21,PL218,1001121220710,Niedźwiedź,7344,74.23735896,2019,PL_1001121220710,official
PL_1001121220711,PL,PL21,PL218,1001121220711,Słopnice,6720,56.82823169,2019,PL_1001121220711,official
PL_1001121220712,PL,PL21,PL218,1001121220712,Tymbark,6556,32.70528363,2019,PL_1001121220712,official
PL_1001121221001,PL,PL21,PL218,1001121221001,Grybów,6038,16.9635189,2019,PL_1001121221001,official
PL_1001121221002,PL,PL21,PL218,1001121221002,Chełmiec,28572,111.92769489,2019,PL_1001121221002,official
PL_1001121221003,PL,PL21,PL218,1001121221003,Gródek nad Dunajcem,9239,88.18658017,2019,PL_1001121221003,official
PL_1001121221004,PL,PL21,PL218,1001121221004,Grybów,25456,153.15802551,2019,PL_1001121221004,official
PL_1001121221005,PL,PL21,PL218,1001121221005,Kamionka Wielka,10363,65.01459708,2019,PL_1001121221005,official
PL_1001121221006,PL,PL21,PL218,1001121221006,Korzenna,14500,106.92476388,2019,PL_1001121221006,official
PL_1001121221007,PL,PL21,PL218,1001121221007,Krynica-Zdrój,16777,145.30495673,2019,PL_1001121221007,official
PL_1001121221008,PL,PL21,PL218,1001121221008,Łabowa,6032,119.13209417,2019,PL_1001121221008,official
PL_1001121221009,PL,PL21,PL218,1001121221009,Łącko,16499,132.96500616,2019,PL_1001121221009,official
PL_1001121221010,PL,PL21,PL218,1001121221010,Łososina Dolna,11049,84.74987552,2019,PL_1001121221010,official
PL_1001121221011,PL,PL21,PL218,1001121221011,Muszyna,11574,141.46698632,2019,PL_1001121221011,official
PL_1001121221012,PL,PL21,PL218,1001121221012,Nawojowa,8703,50.20270455,2019,PL_1001121221012,official
PL_1001121221013,PL,PL21,PL218,1001121221013,Piwniczna-Zdrój,10650,126.46900583,2019,PL_1001121221013,official
PL_1001121221014,PL,PL21,PL218,1001121221014,Podegrodzie,13170,64.73713824,2019,PL_1001121221014,official
PL_1001121221015,PL,PL21,PL218,1001121221015,Rytro,3807,41.92297915,2019,PL_1001121221015,official
PL_1001121221016,PL,PL21,PL218,1001121221016,Stary Sącz,23747,100.886231,2019,PL_1001121221016,official
PL_1001121226201,PL,PL21,PL218,1001121226201,Nowy Sącz,83896,57.57023947,2019,PL_1001121226201,official
PL_1001121230301,PL,PL21,PL21A,1001121230301,Alwernia,12640,73.83754832,2019,PL_1001121230301,official
PL_1001121230302,PL,PL21,PL21A,1001121230302,Babice,9146,54.24938762,2019,PL_1001121230302,official
PL_1001121230303,PL,PL21,PL21A,1001121230303,Chrzanów,47169,79.44595563,2019,PL_1001121230303,official
PL_1001121230304,PL,PL21,PL21A,1001121230304,Libiąż,22433,56.91797742,2019,PL_1001121230304,official
PL_1001121230305,PL,PL21,PL21A,1001121230305,Trzebinia,33997,105.33073328,2019,PL_1001121230305,official
PL_1001121231201,PL,PL21,PL21A,1001121231201,Bukowno,10197,64.50807708,2019,PL_1001121231201,official
PL_1001121231203,PL,PL21,PL21A,1001121231203,Bolesław,7786,40.76241407,2019,PL_1001121231203,official
PL_1001121231204,PL,PL21,PL21A,1001121231204,Klucze,15103,119.48634234,2019,PL_1001121231204,official
PL_1001121231205,PL,PL21,PL21A,1001121231205,Olkusz,49026,150.8938305,2019,PL_1001121231205,official
PL_1001121231206,PL,PL21,PL21A,1001121231206,Trzyciąż,7048,95.74183538,2019,PL_1001121231206,official
PL_1001121231207,PL,PL21,PL21A,1001121231207,Wolbrom,22875,146.77478029,2019,PL_1001121231207,official
PL_1001121231301,PL,PL21,PL21A,1001121231301,Oświęcim,38300,30.13695258,2019,PL_1001121231301,official
PL_1001121231302,PL,PL21,PL21A,1001121231302,Brzeszcze,21270,45.64633526,2019,PL_1001121231302,official
PL_1001121231303,PL,PL21,PL21A,1001121231303,Chełmek,12999,27.2956535,2019,PL_1001121231303,official
PL_1001121231304,PL,PL21,PL21A,1001121231304,Kęty,34193,76.44167708,2019,PL_1001121231304,official
PL_1001121231305,PL,PL21,PL21A,1001121231305,Osiek,8207,40.92417768,2019,PL_1001121231305,official
