gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
SE_0114,SE,SE11,SE110,0114,Upplands Väsby,45543,83.96948149,2019,SE_0114,official
SE_0115,SE,SE11,SE110,0115,Vallentuna,33432,370.81626013,2019,SE_0115,official
SE_0117,SE,SE11,SE110,0117,Österåker,44831,318.60541395,2019,SE_0117,official
SE_0120,SE,SE11,SE110,0120,Värmdö,44397,427.40934579,2019,SE_0120,official
SE_0123,SE,SE11,SE110,0123,Järfälla,78480,63.38871307,2019,SE_0123,official
SE_0125,SE,SE11,SE110,0125,Ekerö,28308,385.29319655,2019,SE_0125,official
SE_0126,SE,SE11,SE110,0126,Huddinge,111722,140.41155874,2019,SE_0126,official
SE_0127,SE,SE11,SE110,0127,Botkyrka,93106,210.32031223,2019,SE_0127,official
SE_0128,SE,SE11,SE110,0128,Salem,16786,72.03588206,2019,SE_0128,official
SE_0136,SE,SE11,SE110,0136,Haninge,89989,449.17218427,2019,SE_0136,official
SE_0138,SE,SE11,SE110,0138,Tyresö,48004,72.62276261,2019,SE_0138,official
SE_0139,SE,SE11,SE110,0139,Upplands-Bro,28756,326.45649668,2019,SE_0139,official
SE_0140,SE,SE11,SE110,0140,Nykvarn,10923,177.4838479,2019,SE_0140,official
SE_0160,SE,SE11,SE110,0160,Täby,71397,66.68733979,2019,SE_0160,official
SE_0162,SE,SE11,SE110,0162,Danderyd,33187,26.70320616,2019,SE_0162,official
SE_0163,SE,SE11,SE110,0163,Sollentuna,72528,57.9470044,2019,SE_0163,official
SE_0180,SE,SE11,SE110,0180,Stockholm,962154,209.97542229,2019,SE_0180,official
SE_0181,SE,SE11,SE110,0181,Södertälje,97381,609.47622105,2019,SE_0181,official
SE_0182,SE,SE11,SE110,0182,Nacka,103656,100.3052918,2019,SE_0182,official
SE_0183,SE,SE11,SE110,0183,Sundbyberg,50564,7.64294357,2019,SE_0183,official
SE_0184,SE,SE11,SE110,0184,Solna,80950,20.97233166,2019,SE_0184,official
SE_0186,SE,SE11,SE110,0186,Lidingö,47818,31.79891317,2019,SE_0186,official
SE_0187,SE,SE11,SE110,0187,Vaxholm,12023,58.39530328,2019,SE_0187,official
SE_0188,SE,SE11,SE110,0188,Norrtälje,61769,2093.44835157,2019,SE_0188,official
SE_0191,SE,SE11,SE110,0191,Sigtuna,48130,350.40436686,2019,SE_0191,official
SE_0192,SE,SE11,SE110,0192,Nynäshamn,28290,359.7992664,2019,SE_0192,official
SE_0305,SE,SE12,SE121,0305,Håbo,21564,190.094946,2019,SE_0305,official
SE_0319,SE,SE12,SE121,0319,Älvkarleby,9392,231.83244872,2019,SE_0319,official
SE_0330,SE,SE12,SE121,0330,Knivsta,18720,297.68231718,2019,SE_0330,official
SE_0331,SE,SE12,SE121,0331,Heby,13910,1231.38455365,2019,SE_0331,official
SE_0360,SE,SE12,SE121,0360,Tierp,21127,1605.30899156,2019,SE_0360,official
SE_0380,SE,SE12,SE121,0380,Uppsala,225164,2248.04811365,2019,SE_0380,official
SE_0381,SE,SE12,SE121,0381,Enköping,44429,1329.47695293,2019,SE_0381,official
