gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
MK_MK00101,MK,MK00,MK001,MK00101,Велес,54201,427.84642843,2019,MK_MK00101,geo
MK_MK00102,MK,MK00,MK001,MK00102,Градско,3551,236.26048714,2019,MK_MK00102,geo
MK_MK00103,MK,MK00,MK001,MK00103,Демир Капија,3982,310.75240014,2019,MK_MK00103,geo
MK_MK00104,MK,MK00,MK001,MK00104,Кавадарци,38755,1004.70222645,2019,MK_MK00104,geo
MK_MK00105,MK,MK00,MK001,MK00105,Лозово,2524,166.13640634,2019,MK_MK00105,geo
MK_MK00106,MK,MK00,MK001,MK00106,Неготино,19244,480.42278174,2019,MK_MK00106,geo
MK_MK00107,MK,MK00,MK001,MK00107,Росоман,4063,133.0079126,2019,MK_MK00107,geo
MK_MK00108,MK,MK00,MK001,MK00108,Свети Николе,17519,482.77412629,2019,MK_MK00108,geo
MK_MK00109,MK,MK00,MK001,MK00109,Чашка,8183,819.56635251,2019,MK_MK00109,geo
MK_MK00201,MK,MK00,MK002,MK00201,Берово,12646,597.78854888,2019,MK_MK00201,geo
MK_MK00202,MK,MK00,MK002,MK00202,Виница,19299,432.53477418,2019,MK_MK00202,geo
MK_MK00203,MK,MK00,MK002,MK00203,Делчево,15918,422.25893694,2019,MK_MK00203,geo
MK_MK00204,MK,MK00,MK002,MK00204,Зрновци,2968,55.81104186,2019,MK_MK00204,geo
MK_MK00205,MK,MK00,MK002,MK00205,Карбинци,3918,229.66114556,2019,MK_MK00205,geo
MK_MK00206,MK,MK00,MK002,MK00206,Кочани,37566,360.33028164,2019,MK_MK00206,geo
MK_MK00207,MK,MK00,MK002,MK00207,Македонска Каменица,7398,190.3214755,2019,MK_MK00207,geo
MK_MK00208,MK,MK00,MK002,MK00208,Пехчево,4782,208.06148572,2019,MK_MK00208,geo
MK_MK00209,MK,MK00,MK002,MK00209,Пробиштип,14874,325.90494834,2019,MK_MK00209,geo
MK_MK00210,MK,MK00,MK002,MK00210,Чешиново - Облешево,6742,131.94174378,2019,MK_MK00210,geo
MK_MK00211,MK,MK00,MK002,MK00211,Штип,48766,583.53753833,2019,MK_MK00211,geo
MK_MK00301,MK,MK00,MK003,MK00301,Вевчани,2417,22.79121828,2019,MK_MK00301,geo
MK_MK00303,MK,MK00,MK003,MK00303,Дебар,21003,150.18064115,2019,MK_MK00303,geo
MK_MK00304,MK,MK00,MK003,MK00304,Дебрца,3729,422.02684693,2019,MK_MK00304,geo
MK_MK00307,MK,MK00,MK003,MK00307,Кичево,56757,823.85827066,2019,MK_MK00307,geo
MK_MK00308,MK,MK00,MK003,MK00308,Македонски Брод,6044,889.11540898,2019,MK_MK00308,geo
MK_MK00310,MK,MK00,MK003,MK00310,Охрид,51519,393.44970557,2019,MK_MK00310,geo
MK_MK00311,MK,MK00,MK003,MK00311,Пласница,4967,54.45630788,2019,MK_MK00311,geo
MK_MK00312,MK,MK00,MK003,MK00312,Струга,66008,485.73091708,2019,MK_MK00312,geo
MK_MK00313,MK,MK00,MK003,MK00313,Центар Жупа,7136,103.16948921,2019,MK_MK00313,geo
MK_MK00401,MK,MK00,MK004,MK00401,Богданци,8078,114.21243411,2019,MK_MK00401,geo
MK_MK00402,MK,MK00,MK004,MK00402,Босилово,13932,161.93228917,2019,MK_MK00402,geo
MK_MK00403,MK,MK00,MK004,MK00403,Валандово,11673,328.36676802,2019,MK_MK00403,geo
MK_MK00404,MK,MK00,MK004,MK00404,Василево,13003,230.35427466,2019,MK_MK00404,geo
MK_MK00405,MK,MK00,MK004,MK00405,Гевгелија,22647,486.839985,2019,MK_MK00405,geo
MK_MK00406,MK,MK00,MK004,MK00406,Дојран,3280,129.11310322,2019,MK_MK00406,geo
MK_MK00407,MK,MK00,MK004,MK00407,Конче,3570,233.02074735,2019,MK_MK00407,geo
MK_MK00408,MK,MK00,MK004,MK00408,Ново Село,10600,237.68374411,2019,MK_MK00408,geo
MK_MK00409,MK,MK00,MK004,MK00409,Радовиш,29132,497.3864111,2019,MK_MK00409,geo
MK_MK00410,MK,MK00,MK004,MK00410,Струмица,57412,321.43015121,2019,MK_MK00410,geo
MK_MK00501,MK,MK00,MK005,MK00501,Битола,91290,787.27736625,2019,MK_MK00501,geo
MK_MK00502,MK,MK00,MK005,MK00502,Демир Хисар,7949,480.26847349,2019,MK_MK00502,geo
MK_MK00503,MK,MK00,MK005,MK00503,Долнени,14138,412.45757316,2019,MK_MK00503,geo
MK_MK00504,MK,MK00,MK005,MK00504,Кривогаштани,5465,89.07385255,2019,MK_MK00504,geo
MK_MK00505,MK,MK00,MK005,MK00505,Крушево,9297,190.7226739,2019,MK_MK00505,geo
MK_MK00506,MK,MK00,MK005,MK00506,Могила,6035,255.71877087,2019,MK_MK00506,geo
MK_MK00507,MK,MK00,MK005,MK00507,Новаци,3048,754.41657916,2019,MK_MK00507,geo
MK_MK00508,MK,MK00,MK005,MK00508,Прилеп,74499,1198.69295478,2019,MK_MK00508,geo
MK_MK00509,MK,MK00,MK005,MK00509,Ресен,16198,550.89889961,2019,MK_MK00509,geo
MK_MK00601,MK,MK00,MK006,MK00601,Боговиње,31075,141.67819726,2019,MK_MK00601,geo
MK_MK00602,MK,MK00,MK006,MK00602,Брвеница,16614,164.33291492,2019,MK_MK00602,geo
MK_MK00603,MK,MK00,MK006,MK00603,Врапчиште,27632,158.05207248,2019,MK_MK00603,geo
MK_MK00604,MK,MK00,MK006,MK00604,Гостивар,83838,514.42188558,2019,MK_MK00604,geo
MK_MK00605,MK,MK00,MK006,MK00605,Желино,28366,201.11176567,2019,MK_MK00605,geo
MK_MK00606,MK,MK00,MK006,MK00606,Јегуновце,10363,176.83341152,2019,MK_MK00606,geo
MK_MK00607,MK,MK00,MK006,MK00607,Маврово и Ростуше,8864,664.42256025,2019,MK_MK00607,geo
MK_MK00608,MK,MK00,MK006,MK00608,Теарце,23006,136.60109933,2019,MK_MK00608,geo
MK_MK00609,MK,MK00,MK006,MK00609,Тетово,92580,262.00800448,2019,MK_MK00609,geo
MK_MK00701,MK,MK00,MK007,MK00701,Кратово,9134,375.34134963,2019,MK_MK00701,geo
