gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
FR_01001,FR,FRK2,FRK21,01001,Abergement-Clémenciat,776,15.6608882,2020,FR_01001,official
FR_01002,FR,FRK2,FRK21,01002,Abergement-de-Varey,248,9.12505463,2020,FR_01002,official
FR_01004,FR,FRK2,FRK21,01004,Ambérieu-en-Bugey,14035,24.57755647,2020,FR_01004,official
FR_01005,FR,FRK2,FRK21,01005,Ambérieux-en-Dombes,1689,16.06330481,2020,FR_01005,official
FR_01006,FR,FRK2,FRK21,01006,Ambléon,111,6.03925815,2020,FR_01006,official
FR_01007,FR,FRK2,FRK21,01007,Ambronay,2726,33.62914504,2020,FR_01007,official
FR_01008,FR,FRK2,FRK21,01008,Ambutrix,752,5.19520717,2020,FR_01008,official
FR_01009,FR,FRK2,FRK21,01009,Andert-et-Condon,330,6.98551965,2020,FR_01009,official
FR_01010,FR,FRK2,FRK21,01010,Anglefort,1115,29.46523964,2020,FR_01010,official
FR_01011,FR,FRK2,FRK21,01011,Apremont,376,15.07234233,2020,FR_01011,official
FR_01012,FR,FRK2,FRK21,01012,Aranc,326,21.70290034,2020,FR_01012,official
FR_01013,FR,FRK2,FRK21,01013,Arandas,144,14.04549011,2020,FR_01013,official
FR_01014,FR,FRK2,FRK21,01014,Arbent,3367,23.7569229,2020,FR_01014,official
FR_01015,FR,FRK2,FRK21,01015,Arboys en Bugey,644,22.52202948,2020,FR_01015,official
FR_01016,FR,FRK2,FRK21,01016,Arbigny,463,17.61369887,2020,FR_01016,official
FR_01017,FR,FRK2,FRK21,01017,Argis,442,7.88877091,2020,FR_01017,official
FR_01019,FR,FRK2,FRK21,01019,Armix,28,6.92629948,2020,FR_01019,official
FR_01021,FR,FRK2,FRK21,01021,Ars-sur-Formans,1408,5.589587,2020,FR_01021,official
FR_01022,FR,FRK2,FRK21,01022,Artemare,1237,3.35439218,2020,FR_01022,official
FR_01023,FR,FRK2,FRK21,01023,Asnières-sur-Saône,66,4.69917576,2020,FR_01023,official
FR_01024,FR,FRK2,FRK21,01024,Attignat,3211,18.94241608,2020,FR_01024,official
FR_01025,FR,FRK2,FRK21,01025,Bâgé-Dommartin,4092,57.14395844,2020,FR_01025,official
FR_01026,FR,FRK2,FRK21,01026,Bâgé-le-Châtel,923,0.85968451,2020,FR_01026,official
FR_01027,FR,FRK2,FRK21,01027,Balan,2684,17.86814163,2020,FR_01027,official
FR_01028,FR,FRK2,FRK21,01028,Baneins,602,9.07092143,2020,FR_01028,official
FR_01029,FR,FRK2,FRK21,01029,Beaupont,689,14.05734623,2020,FR_01029,official
FR_01030,FR,FRK2,FRK21,01030,Beauregard,866,0.94128613,2020,FR_01030,official
FR_01031,FR,FRK2,FRK21,01031,Bellignat,3624,7.80703444,2020,FR_01031,official
FR_01032,FR,FRK2,FRK21,01032,Béligneux,3333,13.35265926,2020,FR_01032,official
FR_01033,FR,FRK2,FRK21,01033,Valserhône,16423,62.91359519,2020,FR_01033,official
FR_01034,FR,FRK2,FRK21,01034,Belley,9103,22.6298652,2020,FR_01034,official
FR_01035,FR,FRK2,FRK21,01035,Belleydoux,314,17.85739626,2020,FR_01035,official
FR_01036,FR,FRK2,FRK21,01036,Valromey-sur-Séran,1311,56.65529823,2020,FR_01036,official
FR_01037,FR,FRK2,FRK21,01037,Bénonces,298,15.35401254,2020,FR_01037,official
FR_01038,FR,FRK2,FRK21,01038,Bény,756,18.29072445,2020,FR_01038,official
FR_01039,FR,FRK2,FRK21,01039,Béon,454,10.23031087,2020,FR_01039,official
FR_01040,FR,FRK2,FRK21,01040,Béréziat,496,11.31495957,2020,FR_01040,official
FR_01041,FR,FRK2,FRK21,01041,Bettant,748,3.4517381,2020,FR_01041,official
FR_01042,FR,FRK2,FRK21,01042,Bey,279,2.80055915,2020,FR_01042,official
FR_01043,FR,FRK2,FRK21,01043,Beynost,4613,10.73322406,2020,FR_01043,official
FR_01044,FR,FRK2,FRK21,01044,Billiat,622,14.02681861,2020,FR_01044,official
