gisco_id,country,nuts_2,nuts_3,lau_id,lau_name,population,area_km2,year,fid,concordance
IT_001001,IT,ITC1,ITC11,001001,Agliè,2638,13.14729134,2020,IT_001001,geo
IT_001002,IT,ITC1,ITC11,001002,Airasca,3696,15.7519527,2020,IT_001002,geo
IT_001003,IT,ITC1,ITC11,001003,Ala di Stura,453,46.3548347,2020,IT_001003,geo
IT_001004,IT,ITC1,ITC11,001004,Albiano d'Ivrea,1641,11.78782194,2020,IT_001004,geo
IT_001006,IT,ITC1,ITC11,001006,Almese,6375,17.88423341,2020,IT_001006,geo
IT_001007,IT,ITC1,ITC11,001007,Alpette,246,5.63188169,2020,IT_001007,geo
IT_001008,IT,ITC1,ITC11,001008,Alpignano,16811,11.92205458,2020,IT_001008,geo
IT_001009,IT,ITC1,ITC11,001009,Andezeno,2058,7.4935089,2020,IT_001009,geo
IT_001010,IT,ITC1,ITC11,001010,Andrate,495,9.31308245,2020,IT_001010,geo
IT_001011,IT,ITC1,ITC11,001011,Angrogna,845,38.88455794,2020,IT_001011,geo
IT_001012,IT,ITC1,ITC11,001012,Arignano,1081,8.17253039,2020,IT_001012,geo
IT_001013,IT,ITC1,ITC11,001013,Avigliana,12599,23.22709956,2020,IT_001013,geo
IT_001014,IT,ITC1,ITC11,001014,Azeglio,1250,9.91330543,2020,IT_001014,geo
IT_001015,IT,ITC1,ITC11,001015,Bairo,802,7.08782943,2020,IT_001015,geo
IT_001016,IT,ITC1,ITC11,001016,Balangero,3136,13.01415108,2020,IT_001016,geo
IT_001017,IT,ITC1,ITC11,001017,Baldissero Canavese,535,4.51169507,2020,IT_001017,geo
IT_001018,IT,ITC1,ITC11,001018,Baldissero Torinese,3659,15.40668414,2020,IT_001018,geo
IT_001019,IT,ITC1,ITC11,001019,Balme,112,62.61268818,2020,IT_001019,geo
IT_001020,IT,ITC1,ITC11,001020,Banchette,3225,2.01888666,2020,IT_001020,geo
IT_001021,IT,ITC1,ITC11,001021,Barbania,1598,12.80930864,2020,IT_001021,geo
IT_001022,IT,ITC1,ITC11,001022,Bardonecchia,3159,132.14840543,2020,IT_001022,geo
IT_001023,IT,ITC1,ITC11,001023,Barone Canavese,578,3.99369288,2020,IT_001023,geo
IT_001024,IT,ITC1,ITC11,001024,Beinasco,17856,6.74293795,2020,IT_001024,geo
IT_001025,IT,ITC1,ITC11,001025,Bibiana,3476,18.59856099,2020,IT_001025,geo
IT_001026,IT,ITC1,ITC11,001026,Bobbio Pellice,546,94.14021792,2020,IT_001026,geo
IT_001027,IT,ITC1,ITC11,001027,Bollengo,2135,14.22693795,2020,IT_001027,geo
